"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"LPC 18:1","Com_636_neg","LPC 18:1","C26 H52 N O7 P",567.35404,9.733,566.34676,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",44639032.57,36394514.62,26430579.36,21960731.73,27298098.42,19121685.24,30876760.49,53935153.2999999,24.7688333723586,25.0615749422643,-0.292741569905669,0.422728903997096,0.313948233010327,"stable",0.593410809254575
"trans-Aconitic acid","Com_664_neg","trans-Aconitic acid","C6 H6 O6",174.01635,2.151,173.00907,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",112916677,119529807,121871123.1,91519040.1199999,107562386.1,148307483.8,88223195.49,103618667.8,26.6587093096083,26.8147532021837,-0.156043892575411,0.310671202759771,0.265792681828786,"stable",0.665838817232605
"2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","Com_723_neg","2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","C24 H29 N3 O",375.22927,5.497,374.22199,"Full match","No results","No results",NA,NA,NA,NA,3146736.966,2906720.825,2791777.728,2198213.043,2516355.815,3031421.129,3645227.594,3472360.284,21.4774859645288,21.4897129653726,-0.0122270008437972,0.937026407632334,0.487504204183819,"stable",0.0525735278988175
"Glycerol 3-phosphate","Com_728_neg","Glycerol 3-phosphate","C3 H9 O6 P",172.01366,1.457,171.00638,"Full match","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","Glycerophosphates",108919954,144681714.1,119652329.3,133632684.2,101511715.9,258225529.3,113376658.4,258581211.1,27.2474831383886,26.8804245444348,0.367058593953836,0.295561941364163,0.258674749184966,"stable",0.696366888754193
"4-Methylvaleric Acid","Com_779_neg","4-Methylvaleric Acid","C6 H12 O2",116.08377,5.778,115.07649,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",3927191.885,3833271.056,4072721.849,3288115.427,15193938.41,13849051.01,13079622.23,15480977.96,23.3507833309515,21.9109243675584,1.43985896339308,0.0280056843215649,0.113272999624697,"up",1.42028509564224
"2,3-Dinor-8-epi-prostaglandin F2α","Com_786_neg","2,3-Dinor-8-epi-prostaglandin F2α","C18 H30 O5",326.20942,6.864,325.20214,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",28988968.6,26167871.79,26293177.9,27221543.81,25889727.48,24149226.62,31105736.11,27192945.43,24.6874004101198,24.6928263719086,-0.00542596178881993,0.945983295372264,0.489881344797284,"stable",0.0503032063181051
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",18173055.16,17089038.23,13240644.67,10966386.13,15125169.54,8614141.79,4519763.38499999,21754255.5,23.351583717034,23.9334451807864,-0.581861463752499,0.213864270055406,0.226553446383805,"stable",0.820569128803719
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",2295872.428,3596577.113,1571094.105,2914992.304,46037979.3,1854245.696,10827774.63,2993484.164,22.5270820892125,21.1640474406275,1.36303464858503,0.194408004708754,0.217916114296973,"stable",0.858351108209075
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",36884673.23,58506643.7799999,52479031.56,33716541.89,23824074.17,27355418.62,18708617.79,34550418.07,24.6835185645258,25.5279510015886,-0.844432437062807,0.0259045361460689,0.111770350488782,"down",1.57150118052644
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",17281748.93,21960090.03,20845733.96,20139582.22,19117178.87,32923123.96,25436025.48,21272046.37,24.4734640075793,24.2481251192452,0.225338888334054,0.250643902482804,0.240532198213271,"stable",0.809695284171244
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3231861.295,3279539.328,3946233.809,2504827.788,2510709.74,2486743.791,2514947.455,2875056.495,21.2958051906307,21.7270135339957,-0.431208343365014,0.0277301459964017,0.113086751589404,"down",1.77808241573813
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",49508099.1300001,52254565.93,49037911.58,45072283.16,35422559.32,36508377.03,34067721.25,22225460.74,25.0106477237065,25.5825363976391,-0.571888673932669,0.0254065403863259,0.11138431711387,"down",1.43104670000281
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",24369352.01,24732601.91,23024287.28,22340704.19,19145961.7,23024357.11,23192059.82,19280581.66,24.3456277039243,24.5183761340596,-0.172748430135346,0.0503202896048749,0.136346090534866,"stable",1.25765790538088
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,30216687.6,32118274.94,19834360.36,16313388.18,11539178.69,10415441,11138686.61,13552948.29,23.5665980198624,24.6757439307767,-1.1091459109143,0.0184784331420057,0.10435503030999,"down",1.77637584384065
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",315911.1678,926606.761799999,301846.4339,1374078.794,153436.1722,6311575.529,273806.3648,431731.261800001,19.3978903322383,18.764737443087,0.633152889151255,0.582996183684315,0.371794883500566,"stable",0.378547986482291
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,23650569.88,23487295.14,26696718.87,18847530.95,14361330.76,11484641.91,10974376.31,15444143.44,23.732990597228,24.5503026526112,-0.817312055383201,0.00291707184848815,0.0627297426585836,"down",1.70699701799922
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",10992662.99,8578925.30699999,9903708.82599999,7813341.00499999,9132376.29600001,8945891.722,10711392.65,10132323.98,23.1475930796426,23.2206468522145,-0.0730537725719245,0.602825142321634,0.379639678806422,"stable",0.444658832870885
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",26300924.08,28160978.47,31838523.8,26735753.65,25264283.54,26231864.8,32067403.81,32982710.35,24.76349816388,24.7733581302276,-0.00985996634756248,0.93382084902189,0.486648062855884,"stable",0.0656753885068434
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",4528135.842,2874719.779,1846314.828,3919233.977,3529084.286,7320242.39900001,5643453.82099999,11512902.99,22.4682715959642,21.4605642857577,1.00770731020648,0.0973734729564892,0.17024676065151,"stable",1.26426809761351
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",3675790.688,3181973.217,3067530.903,2461696.417,2926170.102,2812988.766,3423203.674,3229746.785,21.4930762648716,21.6532532984628,-0.160177033591221,0.216696619321155,0.227732311886959,"stable",0.920807701553312
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,27857320.15,17947072.06,17714704.45,14683376.75,17436325.99,16135831.02,12014539.15,12176241.25,23.7725762454956,24.3024141215759,-0.529837876080247,0.113425297226218,0.178024207201523,"stable",1.41282957931774
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",13259328.96,8849655.87500001,9545562.901,8067680.29299999,7983024.586,8287268.802,7262074.877,5128040.877,22.7873236999443,23.3080310662605,-0.52070736631623,0.0765618861748224,0.158500016594671,"stable",1.39034618676048
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",3846621.141,5069915.39,2651923.647,2602716.224,2389761.534,1944374.088,2515098.867,1044038.486,20.9293646705653,21.8290994536716,-0.899734783106375,0.0574548058904316,0.143133246192839,"stable",1.37217094539529
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",22344693.78,22744057.08,29027782.65,44800102.81,43942237.21,47202564.15,53992998.9700001,47469129.02,25.4970441699443,24.5477820879599,0.949262081984394,0.00744323649869137,0.0786217132308843,"up",1.90077861244284
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",14784855.51,13930307.48,14646779.69,11401814.04,13382697.53,13276553.13,13489381.92,15136607.61,23.6631724879609,23.7844735804123,-0.12130109245145,0.143234206837071,0.192783730562211,"stable",0.963212669025373
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",233954.1741,243067.7557,213201.9961,196428.7256,220537.8744,175457.7487,208159.3684,196285.5623,17.6010001897202,17.8095756206558,-0.20857543093555,0.04284932768831,0.129072435218191,"stable",1.41156492615922
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1970732.87,1991161.157,1231498.113,2065455.019,35947173.72,1264294.808,10693798.64,1601809.083,22.061769311297,20.6891541172081,1.37261519408889,0.218760089527545,0.228579446252108,"stable",0.807627624572293
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,18535782.89,17096550.96,20051598.31,22660500.52,89758851.5800001,10845675.93,11383751.89,10778302.29,24.2051886624623,24.142741862904,0.0624467995583302,0.921103928895195,0.48322325398686,"stable",0.0640582770191195
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",1947344.529,2297287.521,2144933.055,1094030.207,4082307.636,2989438.536,4052735.048,2172688.417,21.3070264056567,21.0190259705353,0.288000435121337,0.465961957843005,0.329454178983582,"stable",0.476397050588419
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",5101301.401,3907284.168,5430728.754,4722429.5,5336584.668,4511466.199,1648520.543,2743414.254,21.7328059134316,22.1842943469925,-0.4514884335609,0.246906440564482,0.239232944656925,"stable",0.773413195353253
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",174189867.8,215555887,169423695.3,215250457.9,148837185.1,710001982.399999,273138458.6,237097546.1,28.0159622721176,27.4652108704591,0.550751401658452,0.222853770708726,0.230231561988,"stable",0.801761801166896
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",10834518.25,12756665.5,10707482.97,9628482.333,11412828.59,10525517.11,11046353.91,10932185.08,23.3499126394041,23.4419985499904,-0.0920859105863165,0.387365227954707,0.300052795038528,"stable",0.82637692623102
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,53619638.86,28623813.3,29001090.39,29197008.36,32921088.4,26211060.44,31955602.59,26493680.01,24.8008417545149,25.078858173891,-0.278016419376051,0.452015337916446,0.324617206867546,"stable",0.858093944514532
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",14340718.53,22434747.29,20289151.24,6365262.32300001,3766564.889,5607441.432,11452541.16,9295364.86599999,22.6925524373629,24.1556835835418,-1.46313114617896,0.00525783768343587,0.0728904240226569,"down",1.64321268273695
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",2037428.901,39091778.87,1124209.145,1101923.304,802816.877,1255916.164,2266399.83,3265681.701,20.5395072507673,22.09305306997,-1.55354581920271,0.431365775226298,0.317169599275323,"stable",0.89269479204805
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,569247.862899999,549941.5818,553237.049499999,512134.7665,510814.9807,482766.8495,515748.853500001,488176.023,18.9365846936805,19.0883848477269,-0.151800154046423,0.000935165696316925,0.0392424749150347,"stable",1.79750320228609
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",2435548.129,2618415.125,2789262.647,2559948.633,2527112.421,5590352.016,3011199.662,6195965.905,21.8112108521457,21.3158432772731,0.495367574872589,0.153888286831287,0.197126912989136,"stable",0.935534250207489
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",3230820.65,5083442.954,3878220.231,3488859.287,3995662.963,6590669.414,7482092.906,4669533.747,22.2612357091188,21.929269017656,0.331966691462824,0.287896576101629,0.254937104424735,"stable",0.78808149369775
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",35126720.64,51346192.08,41933950.02,43628998.89,42008909.43,31985193.02,35279882.14,2556410.749,24.3983815037814,25.3338116364039,-0.9354301326225,0.30183770291439,0.261670574273226,"stable",0.676792085709798
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",9586037.009,10229516.7,12537393.71,9660385.49800001,9900240.87000001,23524040.36,12104694.23,21363921.39,23.761610101325,23.352823954387,0.408786146937928,0.22674788258997,0.231768929741731,"stable",0.802769414303808
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",2206821.355,1694329.108,2297600.366,2295995.03,3269555.577,4311834.012,5243165.36099999,6154814.435,21.9373023923014,20.9658391902231,0.971463202078365,0.0160644558977514,0.100847898018789,"up",1.48130456408144
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",17281748.93,21960090.03,20707906.74,20139582.22,19117178.87,32923123.96,25436025.48,21272046.37,24.4734640075793,24.2449349715608,0.228529036018472,0.243381513021354,0.237984376896423,"stable",0.820057004579536
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",3989901.07,3773265.969,2775588.378,5249332.527,10282419.72,2443536.341,4140429.894,6197757.09300001,22.2765164163351,21.7265553700272,0.549961046307867,0.200171957946363,0.220577861653792,"stable",0.853950693657225
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,88083164.3600001,40807592.15,40923383.38,44049723.31,53257766.05,41409121.11,42135682.42,43131710.7000001,25.4106696407772,25.6537064346672,-0.243036793889967,0.579999912548812,0.370592201178591,"stable",0.653714268453504
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16520729.43,20175156.09,19947341.72,25475864.41,29174661.42,17759820.58,23608387.01,19067684.19,24.4320752903384,24.1645145710832,0.267560719255155,0.149853916677833,0.195532520907438,"stable",0.989498075767009
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",15837101.81,15314918.42,15628756.39,13281673.04,12986290.01,14576621.43,16196265.63,14271240.32,23.7612675696947,23.8943130019493,-0.133045432254598,0.0765218630738758,0.15847325849287,"stable",1.1533541514301
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11114190.53,10288348.42,9304294.88700001,6100591.147,8391945.086,5314687.787,9536288.97800001,18708445.32,23.044965559511,23.2832910011302,-0.238325441619203,0.500877978700271,0.340931654782517,"stable",0.440832521380278
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,81583167.2899999,112349819.2,45254428.1499999,35301775.52,26623771.73,25723238.22,28559759.05,18746327.94,24.6567206281734,26.1522487916833,-1.49552816350992,0.0452025975163064,0.131178946323017,"down",1.72643067866266
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",2447876.774,1965091.112,1755948.17,1054898.067,1149572.327,1453049.693,1882560.611,1240121.277,20.3396610515584,20.9576943697876,-0.61803331822917,0.025707149835395,0.111618812613942,"down",1.48727000604526
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,31278496.07,23983968.31,28335855.32,18132049.85,13527320.66,11816424.78,12713909.5,12474000.11,23.6936053928023,24.7234534241804,-1.02984803137816,0.0010019133646427,0.0392424749150347,"down",1.83990368403469
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,32813851.29,28888116.71,35223936.39,28818719.87,19798154.45,19165950.16,19799125.54,19214588.86,24.3292079732504,24.940609073485,-0.611401100234644,0.0048895512478086,0.0717988017204889,"down",1.65763382423827
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1753294.56,1410573.317,1747469.495,1445801.308,1523286.836,1701958.344,1629463.894,1947303.956,20.6459941960243,20.635441009394,0.010553186630311,0.937912588663323,0.487740382001709,"stable",0.0686533745684735
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",2164085.817,2311299.12,2281691.561,2429590.361,2308264.423,1864490.557,1269132.887,2760693.592,20.9706039676536,21.1024237266912,-0.131819759037601,0.541496830283804,0.354979397054694,"stable",0.397344805986318
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",22156684.67,16452000.13,10422979.45,8753824.833,9167422.68499999,7039975.2,9199918.61199999,23194005.37,23.3074288151958,23.8954209143617,-0.587992099165895,0.233116730968118,0.234214190278143,"stable",0.915471705027929
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,19873338.54,15635596,12887725.98,9543173.851,10687562.65,6062504.498,4892100.038,16020403.67,23.0444758773383,23.920718727722,-0.876242850383615,0.0486988103857367,0.134737487988255,"down",1.27349446166015
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",172151.8818,166664.7077,154753.1704,157275.3971,155381.4432,135376.2937,142286.2999,149896.8462,17.1734103012119,17.3265069924531,-0.153096691241284,0.0546332435824472,0.140317992043889,"stable",1.39041411954191
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",285071602.5,261687795.1,245885788.2,215261391.1,249520753.1,230548391.6,358482947.7,314506605.7,28.000487521098,27.9744778669899,0.026009654108158,0.870659639995232,0.469175657441077,"stable",0.109927554390007
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",31529821,36422642.78,37640439.71,8533621.56100001,7109132.91699999,24465893.9,27375535.57,19137485.16,23.8453038632972,25.0647753533263,-1.21947149002913,0.0366806684439994,0.122876447982918,"down",1.34692560852477
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,20013303.59,20219787,26437339.57,21916978.31,14073061.82,13087931.32,15165029.35,12036540.28,23.8297749233893,24.3932647093134,-0.56348978592413,0.0315148416937351,0.116644240155757,"down",1.4266298344611
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",8407863.652,8217405.64300001,9331323.92399999,6090151.4,8542715.32000001,10763593.86,8140883.34700001,13696198.57,23.1175985132889,23.0424032505781,0.075195262710789,0.729893841450962,0.425604919189595,"stable",0.227015762096248
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,519595.137200001,1076969.002,32260189.95,29913867.28,43900511.6,25526927.75,14214160.34,36094461.88,24.7387323595107,21.3229417653367,3.41579059417403,0.201524180512215,0.22118930513469,"stable",1.40174904628471
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",3111154.074,7965785.798,3911596.186,5125641.31,5438527.937,7025229.52000001,12265173.29,24205871.7,23.0970235583767,22.1312432261183,0.96578033225838,0.155962911340399,0.197924330633792,"stable",1.04283839528652
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",4848699.079,5077378.04399999,5897865.017,5048122.31099999,6847936.042,8722657.191,9113060.627,42962252.93,23.3013920082964,22.3255266379838,0.975865370312594,0.142979753756734,0.192674609290911,"stable",0.961500654759418
