"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"10-Undecenoic acid","Com_591_neg","10-Undecenoic acid","C11 H20 O2",184.14624,6.506,183.13896,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",44537677.82,41885044.19,38793306.59,38316616.52,41797999.89,57272259.9,25.4265768682873,25.3125864258265,0.113990442460803,0.591351940037522,0.551430128668408,"stable",0.519260683646501
"2,4-Dinitrophenol","Com_597_neg","2,4-Dinitrophenol","C6 H4 N2 O5",184.01197,5.994,183.00469,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Dinitrophenols",35058897.94,14233648.18,39600360.19,19186535.4,16966330.69,44689493.09,24.5410648269752,24.6883632244356,-0.147298397460371,0.829303723891074,0.617505822338602,"stable",0.201945943935669
"LPC 16:1","Com_604_neg","LPC 16:1","C24 H48 N O7 P",539.32255,8.943,538.31528,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",30336783.85,23355351.38,22065823.76,14724079.17,50168326.57,22111629.18,24.5967498490603,24.5757082989007,0.0210415501596266,0.97199611423393,0.654242498946612,"stable",0.0344746808633172
"LPC 14:0","Com_619_neg","LPC 14:0","C22 H46 N O7 P",513.30673,8.673,512.29945,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",17019423.04,14629744.77,12712943.38,9186215.734,22801690.97,10416144.44,23.6286649135484,23.8076249380868,-0.178960024538402,0.711019628424108,0.581482371051267,"stable",0.361535122154491
"N6-Succinyl Adenosine","Com_629_neg","N6-Succinyl Adenosine","C14 H17 N5 O8",383.10778,5.049,382.10051,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",8868016.75600001,9950978.63300001,11065545.43,15620540.54,12556737.37,13046363.18,23.705347907344,23.242052759539,0.463295147805006,0.025943836831747,0.242355863938572,"up",1.52930447025897
"LPC 18:1","Com_636_neg","LPC 18:1","C26 H52 N O7 P",567.35404,9.733,566.34676,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",44639032.57,36394514.62,26430579.36,19121685.24,53935153.2999999,32604055.47,24.9439923267027,25.0615749422643,-0.117582615561609,0.824111866308776,0.616021400852106,"stable",0.21269002405713
"trans-Aconitic acid","Com_664_neg","trans-Aconitic acid","C6 H6 O6",174.01635,2.151,173.00907,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",112916677,119529807,121871123.1,148307483.8,103618667.8,112709837.7,26.8395876873695,26.8147532021837,0.0248344851857816,0.889615091872142,0.633944741888564,"stable",0.13698285299436
"2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","Com_723_neg","2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","C24 H29 N3 O",375.22927,5.497,374.22199,"Full match","No results","No results",NA,NA,NA,NA,3146736.966,2906720.825,2791777.728,3031421.129,3472360.284,6894674.992,21.9920330624943,21.4897129653726,0.502320097121661,0.303665901445893,0.436455697096168,"stable",0.9914278115727
"Glycerol 3-phosphate","Com_728_neg","Glycerol 3-phosphate","C3 H9 O6 P",172.01366,1.457,171.00638,"Full match","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","Glycerophosphates",108919954,144681714.1,119652329.3,258225529.3,258581211.1,128416916,27.6087862079388,26.8804245444348,0.728361663503939,0.15196573312996,0.342972582168671,"stable",1.2611427723644
"4-Methylvaleric Acid","Com_779_neg","4-Methylvaleric Acid","C6 H12 O2",116.08377,5.778,115.07649,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",3927191.885,3833271.056,4072721.849,13849051.01,15480977.96,8396758.283,23.5362260292529,21.9109243675584,1.62530166169453,0.0259103983499194,0.242315878480871,"up",1.67478892245859
"2,3-Dinor-8-epi-prostaglandin F2α","Com_786_neg","2,3-Dinor-8-epi-prostaglandin F2α","C18 H30 O5",326.20942,6.864,325.20214,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",28988968.6,26167871.79,26293177.9,24149226.62,27192945.43,47445707.74,24.9073256613261,24.6928263719086,0.2144992894175,0.550607582051846,0.539178250346412,"stable",0.587446646241071
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",18173055.16,17089038.23,13240644.67,8614141.79,21754255.5,17705289.9,23.8302490262247,23.9334451807864,-0.103196154561715,0.82829778208884,0.617219107250378,"stable",0.211126945156755
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",2295872.428,3596577.113,1571094.105,1854245.696,2993484.164,3040516.111,21.2905600001672,21.1640474406275,0.126512559539705,0.778793869974841,0.602558021961333,"stable",0.264787952879214
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",36884673.23,58506643.7799999,52479031.56,27355418.62,34550418.07,18919090.71,24.6402875151053,25.5279510015886,-0.887663486483266,0.0543825796881832,0.266249381165783,"stable",1.4283208421829
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",17281748.93,21960090.03,20845733.96,32923123.96,21272046.37,22280402.01,24.5747751060385,24.2481251192452,0.326649986793264,0.24294940921273,0.404313994646428,"stable",1.03551404132809
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3231861.295,3279539.328,3946233.809,2486743.791,2875056.495,1592298.943,21.1012217016746,21.7270135339957,-0.625791832321049,0.122448140852815,0.327124282604478,"stable",1.33163787733115
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",49508099.1300001,52254565.93,49037911.58,36508377.03,22225460.74,43485854.89,24.9671590171484,25.5825363976391,-0.615377380490752,0.166698088762276,0.350155321463157,"stable",1.28254917558098
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",24369352.01,24732601.91,23024287.28,23024357.11,19280581.66,28889064.6,24.4804409778764,24.5183761340596,-0.0379351561832131,0.844486047645894,0.621781534079517,"stable",0.193926875597997
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,30216687.6,32118274.94,19834360.36,10415441,13552948.29,26340801.2,23.8850399581153,24.6757439307767,-0.790703972661465,0.177061520775272,0.356954713007476,"stable",1.15962086016063
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",315911.1678,926606.761799999,301846.4339,6311575.529,431731.261800001,770247.3422,20.2881016877645,18.764737443087,1.5233642446775,0.32856706136893,0.448758132927252,"stable",0.898591788737809
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,23650569.88,23487295.14,26696718.87,11484641.91,15444143.44,6051305.749,23.2875247036973,24.5503026526112,-1.26277794891394,0.0838275001556953,0.294812101513799,"stable",1.4886127047341
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",10992662.99,8578925.30699999,9903708.82599999,8945891.722,10132323.98,23398609.4,23.6150583663171,23.2206468522145,0.394411514102615,0.463013788430621,0.508176600559289,"stable",0.712095078612518
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",26300924.08,28160978.47,31838523.8,26231864.8,32982710.35,3176687.24,23.7397050942245,24.7733581302276,-1.0336530360031,0.437691471377088,0.497768204664242,"stable",0.763930509033578
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",4528135.842,2874719.779,1846314.828,7320242.39900001,11512902.99,29355393.45,23.6891101897796,21.4605642857577,2.22854590402183,0.0420138177050325,0.254818258381688,"up",1.49683915982049
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",3675790.688,3181973.217,3067530.903,2812988.766,3229746.785,6337204.907,21.8806924080661,21.6532532984628,0.227439109603342,0.597055921447012,0.553052590694857,"stable",0.518174169630904
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,27857320.15,17947072.06,17714704.45,16135831.02,12176241.25,10819517.09,23.6161542768147,24.3024141215759,-0.686259844761146,0.0698342645641216,0.277726171434475,"stable",1.37951241498811
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",13259328.96,8849655.87500001,9545562.901,8287268.802,5128040.877,25764860.25,23.2971143499167,23.3080310662605,-0.0109167163438144,0.989031105027356,0.658162050679965,"stable",0.0135173454641405
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",3846621.141,5069915.39,2651923.647,1944374.088,1044038.486,1118020.306,20.3257109355898,21.8290994536716,-1.50338851808187,0.0186869184120197,0.232305598299136,"down",1.56590798034494
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",22344693.78,22744057.08,29027782.65,47202564.15,47469129.02,31650808.16,25.3028623803711,24.5477820879599,0.755080292411197,0.0385464905229709,0.252929500576319,"up",1.51089538435629
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",14784855.51,13930307.48,14646779.69,13276553.13,15136607.61,19286900.9,23.9050112950711,23.7844735804123,0.120537714658784,0.526222640104948,0.531239839629438,"stable",0.622560762155641
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",233954.1741,243067.7557,213201.9961,175457.7487,196285.5623,304374.1501,17.739614994847,17.8095756206558,-0.0699606258087258,0.802769988476414,0.609796485667173,"stable",0.245850163914718
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1970732.87,1991161.157,1231498.113,1264294.808,1601809.083,4723939.79999999,21.0175771344344,20.6891541172081,0.328423017226267,0.642499760364973,0.565247904420906,"stable",0.446612124111462
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,18535782.89,17096550.96,20051598.31,10845675.93,10778302.29,49238393.69,24.0951745375663,24.142741862904,-0.0475673253376847,0.954017825015142,0.650007223435367,"stable",0.0573598037168071
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",1947344.529,2297287.521,2144933.055,2989438.536,2172688.417,4031257.174,21.5017637911996,21.0190259705353,0.482737820664248,0.19577315045962,0.371354738525082,"stable",1.18560635616388
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",5101301.401,3907284.168,5430728.754,4511466.199,2743414.254,11743529.14,22.3260228978696,22.1842943469925,0.141728550877055,0.841648198962643,0.620989606083551,"stable",0.196664654397561
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",174189867.8,215555887,169423695.3,710001982.399999,237097546.1,179863884.2,28.2154945303029,27.4652108704591,0.750283659843731,0.34010085478002,0.454055571823471,"stable",0.920130317915969
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",10834518.25,12756665.5,10707482.97,10525517.11,10932185.08,16831622.52,23.57137905029,23.4419985499904,0.129380500299593,0.622198759028572,0.559954831711363,"stable",0.474439010421442
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,53619638.86,28623813.3,29001090.39,26211060.44,26493680.01,36479747.33,24.8078032342206,25.078858173891,-0.271054939670371,0.479970242720158,0.51474920824927,"stable",0.658707006537507
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",14340718.53,22434747.29,20289151.24,5607441.432,9295364.86599999,8222899.51399999,22.8460690164437,24.1556835835418,-1.30961456709809,0.0115567491332777,0.221082895829123,"down",1.61146686523879
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",2037428.901,39091778.87,1124209.145,1255916.164,3265681.701,1792247.211,20.8908665666337,22.09305306997,-1.2021865033363,0.530647003123209,0.532716439404311,"stable",0.610057052462244
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,569247.862899999,549941.5818,553237.049499999,482766.8495,488176.023,2120488.016,19.5979912996108,19.0883848477269,0.509606451883904,0.546940100579957,0.53801489285512,"stable",0.597315627331431
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",2435548.129,2618415.125,2789262.647,5590352.016,6195965.905,25550049.46,23.1947427407939,21.3158432772731,1.87889946352086,0.116393594101697,0.323125645473018,"stable",1.40958682814279
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",3230820.65,5083442.954,3878220.231,6590669.414,4669533.747,3188159.169,22.1370442922915,21.929269017656,0.207775274635544,0.597546756483009,0.553191199525228,"stable",0.493253258674751
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",35126720.64,51346192.08,41933950.02,31985193.02,2556410.749,5550155.103,22.8735619133766,25.3338116364039,-2.46024972302731,0.147283693851082,0.340795297906169,"stable",1.32229876664997
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",9586037.009,10229516.7,12537393.71,23524040.36,21363921.39,40679997.86,24.7047073158762,23.352823954387,1.35188336148914,0.0294408446385251,0.246093475571903,"up",1.60391079313359
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",2206821.355,1694329.108,2297600.366,4311834.012,6154814.435,6419333.48299999,22.4023820735443,20.9658391902231,1.43654288332126,0.00413044304652805,0.203481988582927,"up",1.68346181639673
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",17281748.93,21960090.03,20707906.74,32923123.96,21272046.37,22280402.01,24.5747751060385,24.2449349715608,0.329840134477681,0.239115456498426,0.401940333315174,"stable",1.04343848990948
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",3989901.07,3773265.969,2775588.378,2443536.341,6197757.09300001,13203161.35,22.4794113282955,21.7265553700272,0.752855958268228,0.397634370840005,0.479818475034745,"stable",0.81629678203151
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,88083164.3600001,40807592.15,40923383.38,41409121.11,43131710.7000001,41774648.11,25.327271729527,25.6537064346672,-0.32643470514013,0.470084694658265,0.510954409751149,"stable",0.713348866896332
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16520729.43,20175156.09,19947341.72,17759820.58,19067684.19,15203131.39,24.0415350472316,24.1645145710832,-0.122979523851679,0.411835588326205,0.486333387920239,"stable",0.735160302617964
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",15837101.81,15314918.42,15628756.39,14576621.43,14271240.32,17902044.85,23.885793825506,23.8943130019493,-0.00851917644326861,0.94261835939666,0.647267595756329,"stable",0.0714464441449365
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11114190.53,10288348.42,9304294.88700001,5314687.787,18708445.32,7509485.223,23.1130074781812,23.2832910011302,-0.170283522948974,0.78393810816646,0.604133622188918,"stable",0.271862407202224
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,81583167.2899999,112349819.2,45254428.1499999,25723238.22,18746327.94,69580354.08,24.9429501032294,26.1522487916833,-1.20929868845386,0.163381925409365,0.347857528839454,"stable",1.16667834660856
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",2447876.774,1965091.112,1755948.17,1453049.693,1240121.277,1122850.664,20.2704790106202,20.9576943697876,-0.687215359167432,0.0202701273503707,0.234657727156965,"down",1.56930903420769
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,31278496.07,23983968.31,28335855.32,11816424.78,12474000.11,12459022.11,23.5457995339175,24.7234534241804,-1.17765389026291,0.00658520256554657,0.213334421795755,"down",1.73389819146412
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,32813851.29,28888116.71,35223936.39,19165950.16,19214588.86,10587394.81,23.9078617525365,24.940609073485,-1.03274732094847,0.0590171771881366,0.269647530717261,"stable",1.52999194308595
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1753294.56,1410573.317,1747469.495,1701958.344,1947303.956,10642074.83,21.6450290252572,20.635441009394,1.00958801586316,0.357100117830233,0.461442487812395,"stable",0.89632469033614
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",2164085.817,2311299.12,2281691.561,1864490.557,2760693.592,3414436.941,21.3100552203754,21.1024237266912,0.207631493684246,0.502560002045161,0.523052511563541,"stable",0.66095651985739
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",22156684.67,16452000.13,10422979.45,7039975.2,23194005.37,14760644.7,23.6765466533369,23.8954209143617,-0.218874261024787,0.733954656345477,0.588545724447493,"stable",0.320668858918694
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,19873338.54,15635596,12887725.98,6062504.498,16020403.67,5126156.264,22.9181118911675,23.920718727722,-1.00260683655446,0.180735613531593,0.359235696813042,"stable",1.19783774493099
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",172151.8818,166664.7077,154753.1704,135376.2937,149896.8462,133954.1341,17.0905352280212,17.3265069924531,-0.23597176443198,0.0273306627195449,0.243938568980028,"stable",1.52552303509196
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",285071602.5,261687795.1,245885788.2,230548391.6,314506605.7,122844099.9,27.6270875883525,27.9744778669899,-0.347390278637327,0.47660870245548,0.513470199483859,"stable",0.698131869564855
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",31529821,36422642.78,37640439.71,24465893.9,19137485.16,38168925.57,24.6400206075734,25.0647753533263,-0.424754745752942,0.2798385581445,0.424946072366622,"stable",1.01647208689048
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,20013303.59,20219787,26437339.57,13087931.32,12036540.28,7531536.674,23.3357213340924,24.3932647093134,-1.05754337522105,0.0319704197324434,0.248341634538616,"down",1.5602135476917
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",8407863.652,8217405.64300001,9331323.92399999,10763593.86,13696198.57,14696130.38,23.6252872357237,23.0424032505781,0.582883985145578,0.0355821176652869,0.251051022706614,"up",1.5766561024541
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,519595.137200001,1076969.002,32260189.95,25526927.75,36094461.88,597145.190100001,22.9661709883376,21.3229417653367,1.64322922300096,0.567125547601809,0.544290342853815,"stable",0.525303664125287
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",3111154.074,7965785.798,3911596.186,7025229.52000001,24205871.7,2682632.516,22.8760618836582,22.1312432261183,0.744818657539955,0.516670591947126,0.52799469556967,"stable",0.61369107883464
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",4848699.079,5077378.04399999,5897865.017,8722657.191,42962252.93,12167743.2,23.9831536165107,22.3255266379838,1.65762697852689,0.139673086018364,0.337011588308464,"stable",1.34497039525099
