"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",7461416.13099999,8581384.326,12220827.65,23018279.61,10596686.04,15138650.11,17705289.9,24858506.66,27746146.49,24.1693028719352,23.1355452221785,1.03375764975666,0.0147379770873894,0.355389137915256,"up",2.01661904632445
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6525085.43800001,1889324.394,4424153.528,2107665.03,1402243.604,2012114.676,3040516.111,2013616.154,2899550.308,21.0519067744764,21.8546581275749,-0.802751353098444,0.263745751257854,0.811067634634903,"stable",1.55838626103587
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",30102163.32,39506145.61,4750241.186,23941430.06,44875207.97,23973652.15,18919090.71,22567779.9,2840182.914,24.0810034414148,24.0861689775257,-0.00516553611092618,0.996544285052419,0.941929374939467,"stable",0.00507601138208345
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",10092173.95,10535647.71,5361859.606,8259423.472,8177300.258,9918808.22,22280402.01,9989978.59600001,5847044.516,23.2205227365461,22.9832704437385,0.237252292807653,0.589515470359303,0.905618900207745,"stable",0.536506265237824
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",1462140.489,1169070.273,821479.828700001,1069951.556,1424000.059,1082070.358,1592298.943,1213749.875,993307.5194,20.2085991850514,20.0948154517363,0.113783733315117,0.69837008303841,0.919140502181078,"stable",0.504272257925247
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",41943811.43,32428444.06,32237234.72,26311699.94,23472840.63,31450047.51,43485854.89,32982827.84,18241376.91,24.7517025018996,25.0716452525428,-0.319942750643236,0.18416100898356,0.749845263879607,"stable",1.08661234802089
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",26706985.78,25255287.4,20152951.75,21501490.71,25612761.28,22865149.49,28889064.6,22597076.38,11377237.06,24.3447066139121,24.5084279243001,-0.163721310388006,0.496451134540981,0.889874697712376,"stable",0.554578967351475
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,24229162.09,18101618.66,20554728.46,30917113.84,62069594.31,34868478.18,26340801.2,30566277.01,8275371.544,24.7202219685349,24.3109411763643,0.409280792170598,0.355447189501246,0.852626758427453,"stable",0.693794947871302
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",7309495.857,1044540.595,9630205.01000001,8423207.474,403769.4238,1130627.443,770247.3422,800651.290399999,12257165.54,20.7417835743015,21.9983042288949,-1.25652065459338,0.38207152138497,0.861473731925147,"stable",0.870043018859867
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,17990867.81,17618262.52,16064789.45,24782219.68,54250877.7399999,19657061.94,6051305.749,19377174.52,9248152.77299999,24.06031555354,24.0362428329568,0.0240727205831703,0.959887176816559,0.939845120172526,"stable",0.036634516249298
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",12822246.1,12744503.6,9770525.409,15439953.52,14388271.97,16694259.43,23398609.4,15216699.9,6578915.12199999,23.7733156221052,23.4785074093823,0.29480821272292,0.3261607472007,0.841491424267551,"stable",0.768752047072542
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1080385.557,1162229.52,711921.3804,600356.3865,391316.8764,377665.4508,3176687.24,1111694.992,319043.9203,19.377833912012,19.8776456014905,-0.499811689478523,0.405970084603151,0.868556581357041,"stable",0.636530056622546
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",22971339.2,14512523.13,4804918.172,16720412.75,7666615.82100001,26253257.58,29355393.45,31509305.11,8109087.859,24.0297939611724,23.4800690309008,0.549724930271605,0.521381925400363,0.894585436479843,"stable",0.755959227285882
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",4123964.31699999,3697297.791,2761144.09,4048374.412,3727875.726,4631375.428,6337204.907,4667528.882,1715154.578,21.8968988056494,21.7301583271533,0.166740478496067,0.609978972182467,0.908495456545268,"stable",0.418965351870617
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,16920472.63,10945904.71,9931685.721,634014.0481,349074.7382,8345460.88899999,10819517.09,9497531.32899999,9198253.24200001,21.7265124004503,23.5465871921721,-1.82007479172172,0.107002290250754,0.641011134233227,"stable",1.21052153617178
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",8974552.15499999,7428617.605,5456908.45100001,6249541.616,6376237.028,7197654.204,25764860.25,7169921.64499999,2081245.128,22.7233551592867,22.7672410866653,-0.0438859273785717,0.934636665089811,0.938320192323832,"stable",0.0631444654166774
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1128834.663,2173627.988,2213481.177,2094164.658,1943104.947,1032064.369,1118020.306,985250.9054,2683149.709,20.5371866822858,20.7453206848837,-0.208134002597902,0.633007289675265,0.911529816055395,"stable",0.48721476810213
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",45957755.17,45126214.0799999,21046343.64,59305563.51,72452060.23,57312814.44,31650808.16,49512136.5000001,21643357.03,25.4248301208944,25.0694445624007,0.355385558493634,0.479056721040236,0.88633059982029,"stable",0.748559693324388
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",12276649.08,12239804.22,12408602.83,12830018.3,10504625.22,14308912.74,19286900.9,10784382.05,5218296.90799999,23.4311096251083,23.5531093286315,-0.121999703523205,0.656739285917788,0.914453293403136,"stable",0.323637475633731
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",13412670.82,13150916.39,11684740.69,23273699.8,24182495.58,22822953.6,304374.1501,19091092.48,17504084.83,23.3177850247004,23.6012918630533,-0.283506838352871,0.79309107153557,0.928103444160496,"stable",0.190773825006917
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",5859747.957,1771491.333,3697656.382,2257159.576,1579592.199,2547153.937,4723939.79999999,1825465.066,1774518.437,21.1180067227373,21.6857066301156,-0.567699907378312,0.383403512420671,0.861888522086366,"stable",1.10076555537235
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,123607762.5,73849363.1,56114064.73,77427561.8100001,98281588.2700001,75882768.9500001,49238393.69,54704644.0300001,624987.664499999,24.9076565381874,26.2537117779462,-1.34605523975885,0.302069040154966,0.830986137774022,"stable",0.773529967307673
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",2722387.055,15801633.3,5917232.282,2662429.549,4918108.97700001,28421335.82,4031257.174,8292771.304,4741482.626,22.5729305511621,22.5955007385703,-0.0225701874081423,0.980839140224712,0.941054360198013,"stable",0.0265083165221703
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",8895735.23899999,17194368.5,12487714.24,19714224.03,3263910.42,7400474.804,11743529.14,7179049.884,3507581.309,22.7821432212333,23.5647071026443,-0.782563881411001,0.155606388687806,0.716934557047309,"stable",1.14619641272416
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",186825958.8,162666807.7,117105039.3,96631080.3599999,108107163.9,112660386.6,179863884.2,86084262.59,54690293.84,26.5746056461836,27.1858974203877,-0.611291774204108,0.0882575766172319,0.600190362994911,"stable",1.44674254399131
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",17288431.38,18668355.76,11671926.11,20406585.81,17372930.42,18215432.09,16831622.52,19540353.66,7570265.62899999,23.92134396957,23.8913114965487,0.0300324730213219,0.924224952163384,0.93766865859001,"stable",0.0873244953343599
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,29451159.52,27129919.38,19512828.76,32437025.86,29090186.62,33250571.78,36479747.33,28694929.63,9990324.659,24.6465047121566,24.5743740426888,0.0721306694677573,0.836544424659547,0.931582518448494,"stable",0.168410746782473
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",3876015.819,3616542.048,1596099.682,24833372.38,21623084.55,15948288.1,8222899.51399999,10615609.96,8322681.972,23.6930434796974,21.426147282607,2.26689619709041,0.0105331460051891,0.319954836602773,"up",2.31606032379127
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",1335408.309,971632.4699,2573096.821,1129920.938,1988028.62,1244685.135,1792247.211,1034401.09,5360701.179,20.7309566116012,20.5113249939015,0.219631617699704,0.7048437904742,0.919823620273836,"stable",0.372162223362806
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,6058548.89,8514795.99499999,5585889.969,9746626.70399999,7750773.281,6002335.489,2120488.016,6265222.71,4286150.266,22.3742705283045,22.655145705783,-0.280875177478553,0.468996949229956,0.884174842676416,"stable",0.579340806034005
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",4982565.869,5122841.28399999,4312065.07,10191531.25,9297033.377,9021238.63399999,25550049.46,6742005.52300001,6642990.555,23.248178526309,22.1923059097158,1.05587261659323,0.0139589221906454,0.349970472646144,"up",1.82226125555862
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2808122.179,4103117.394,6939812.49900001,4720606.532,2188596.233,1918294.437,3188159.169,2344354.779,2015010.066,21.3018192112139,22.0386428438114,-0.73682363259752,0.178700480438757,0.744156967147174,"stable",1.56185191139997
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",14807208.46,15684925.42,21956189.42,15490583.88,17024498.79,5695247.669,5550155.103,5958168.61,12420200.94,23.1373406143345,24.0369320113195,-0.899591396984963,0.0413258327725386,0.469183347285764,"down",1.56091691104851
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",24238097.05,25899395.18,20311592.72,34298068.22,27529770.83,23632949.46,40679997.86,21850791.68,14612967.53,24.6166923229802,24.4776627361523,0.139029586827839,0.576424924836354,0.903681962556471,"stable",0.435255064801838
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",43590742.61,47075799.8500001,28093132.77,34165595.51,28682691.25,27163959.9,6419333.48299999,40824456.75,15006686.25,24.3718221674909,25.2032382984625,-0.83141613097153,0.117824106449459,0.660436188335246,"stable",1.22365362357937
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",10092173.95,10535647.71,5361859.606,8259423.472,8177300.258,9918808.22,22280402.01,9989978.59600001,5847044.516,23.2205227365461,22.9832704437385,0.237252292807653,0.589515470359303,0.905618900207745,"stable",0.536506265237824
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",6238323.66300001,7719381.986,13501447.13,12376010.16,6319377.622,9471857.20400001,13203161.35,17800572.43,15271308.04,23.4886217624888,23.0464638690628,0.442157893426085,0.331152827327376,0.843506978665489,"stable",1.06053496853223
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,38359106.37,42233638.12,25929030.94,57277915.2100001,62314761.61,60885277.2,41774648.11,44025357.04,38784951.29,25.573514284562,25.0510066408194,0.522507643742546,0.115497513502481,0.656473820696617,"stable",1.74716828155897
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",33739925.39,34387137,22675858.07,31068492.15,26303251.26,24635954.84,15203131.39,33754217.61,18481132.8,24.5163213684629,24.8259909751627,-0.309669606699817,0.294377387425948,0.827332565801205,"stable",0.990693639495563
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",16156478.63,16081209.44,12333737.15,15533725.22,15813951.1,13308972.14,17902044.85,14649593.89,6860107.321,23.6795448285235,23.8135295675892,-0.133984739065685,0.593626239923924,0.906211176693238,"stable",0.434185910353176
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",10174339.94,11924590.39,9837562.49000001,19288496.14,12259041.14,19118086.34,7509485.223,21864819.66,15089271.01,23.8344042316189,23.338579235286,0.495824996332882,0.091659162919084,0.60839809846673,"stable",1.27404598874525
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,58552474.12,45445893.12,33314312.16,40326835.49,130630214.8,117807148.5,69580354.08,79813875.4800001,11906604.7,25.8075956266306,25.4101707193376,0.397424907293047,0.511743353916686,0.892812792660432,"stable",0.505613647578762
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",1148435.444,1094609.993,835156.4161,1084044.549,1238234.648,1009726.6,1122850.664,1120278.445,517281.015500001,19.9013547471316,19.9549702440855,-0.0536154969539346,0.827249643563624,0.930866939974669,"stable",0.185805326185599
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,25002755.48,22137683.53,10623165.14,24906565.36,71024087.2999999,25143221.94,12459022.11,11115428.18,3835867.834,24.0138938786043,24.1054316786023,-0.0915377999980578,0.899066068803106,0.936035987233387,"stable",0.104491783371006
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,28923895.11,24808922.34,13947606.47,26200473.28,43484411.99,21168942.78,10587394.81,12235398.3,4480408.042,23.8880218564976,24.3612094915894,-0.473187635091772,0.432760418897316,0.875682090701083,"stable",0.64581394619396
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1711244.353,2228775.326,2503221.996,1562971.84,11588555.45,2045193.104,10642074.83,14910550.85,8691327.81100001,22.5383524840762,21.0165963070132,1.52175617706308,0.0443029545514511,0.474942635810785,"up",1.50830018286762
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",9329518.73100001,8715587.54800001,9518559.80199999,11501392.46,11222128.95,11469362.41,3414436.941,14206118.02,12723910.95,23.2317823770445,23.1302831991994,0.101499177845074,0.758114760008601,0.925035090957577,"stable",0.224840055485256
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",2443892.323,4260576.974,5434515.487,4491195.846,2225321.041,2274700.884,14760644.7,3784572.64,4441618.544,22.0085168512949,21.8723622211504,0.136154630144496,0.805385762546618,0.929123197321174,"stable",0.215981203679616
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,1865284.749,3165535.114,4816251.478,5548507.18,2693192.65,2845057.244,5126156.264,5391929.24299999,6053507.41800001,22.0642894176072,21.5414872384783,0.522802179128863,0.323751931973271,0.840500177709145,"stable",1.172722731662
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",118432.6011,114516.8711,1158222.279,114090.4563,121297.5487,120118.4666,133954.1341,107603.3171,7299116.77599999,17.8513568293678,17.9341293658001,-0.0827725364322944,0.957604818794577,0.939710390783365,"stable",0.051625088119921
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",54301806.24,46992774.05,39776576.43,68505793.03,62848334.85,75603805.7800001,122844099.9,47455990.34,18351689.95,25.7681331919628,25.4752827410454,0.292850450917403,0.488484782319935,0.888279387433704,"stable",0.522155109462912
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",8355881.58599999,7794983.187,5698427.33400001,7017751.682,5987936.95700001,3442845.412,38168925.57,1934172.724,2533827.207,22.3855737003134,22.7768691608221,-0.391295460508701,0.572186665051588,0.903037699323962,"stable",0.420099329757046
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,22890456.46,17643078.52,9571424.15,17279662.88,33754278.49,12665095.02,7531536.674,7564587.45699999,3079647.516,23.3158616576236,23.9037146829263,-0.587853025302699,0.36883876633326,0.857213484318381,"stable",0.760897859748394
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",24702866.5,25354612.79,17446853.92,31768309.52,27605877.11,26079586.3,14696130.38,21101838.13,13565398.17,24.3515335218013,24.4034612010751,-0.0519276792737493,0.852988937344302,0.932812898371511,"stable",0.162821626540285
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,335084.546,308541.1325,13225691.75,291229.5648,369015.0515,313402.6028,597145.190100001,305970.77,182482.1245,18.2984878712397,20.0820362596014,-1.78354838836176,0.423813287411799,0.87338989806311,"stable",1.2964756546811
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",1156800.394,3684390.7,5597622.913,3553586.175,6376998.396,5705371.422,2682632.516,9036406.22199999,4412780.27,22.2241619843889,21.4570286715735,0.767133312815346,0.379763808424921,0.860749167577257,"stable",1.19247876376506
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",9189563.96800001,8233400.83300001,3910410.63,10126297.31,7915588.414,10661832.98,12167743.2,11272883.22,4328588.34,23.0903662329455,22.6678368976497,0.422529335295764,0.407384367846469,0.86895310329496,"stable",0.956903866941639
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",7069984.30999999,7226387.769,6538316.526,7604660.416,11135551.73,9104506.396,11478086.56,9234250.758,6097936.758,23.0860172554873,22.7262022048,0.359815050687263,0.0509532534806428,0.485745255212092,"stable",1.46518774496194
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",2335203.14,4935760.547,19585286,6721531.66399999,8797217.32200001,1840618.132,3203456.685,1317017.438,9017556.701,21.9341799263364,22.5377414866545,-0.603561560318091,0.593694206294424,0.906220906773713,"stable",0.639849638946456
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",15818137.87,13389435.91,11123229.42,8849658.41199999,6759083.11300001,7865276.59,5565168.59,3524826.992,2916836.056,22.3842900635756,23.665580218934,-1.28129015535837,0.00387042897450556,0.202729484486762,"down",2.06862764984798
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,33280571.91,33963510.69,23199855.4,35192180.3,31675919.55,33402591.04,6958786.50899999,46316120.5,20550857.56,24.5778670111285,24.8244238748812,-0.246556863752716,0.592623626475366,0.906067407392785,"stable",0.411978077109304
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",11007437.19,9079708.672,16947496.74,7151876.768,5392751.966,6886007.136,6131205.29999999,10274435.08,10404573.99,22.8331210868875,23.5069195705344,-0.673798483646902,0.105132500787072,0.637381020627936,"stable",1.76141273668367
