"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"trans-Aconitic acid","Com_664_neg","trans-Aconitic acid","C6 H6 O6",174.01635,2.151,173.00907,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",112916677,119529807,121871123.1,148307483.8,88223195.49,103618667.8,26.7217931798,26.8147532021837,-0.0929600223836822,0.745884271659546,0.533243076503765,"stable",0.337528123252775
"2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","Com_723_neg","2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","C24 H29 N3 O",375.22927,5.497,374.22199,"Full match","No results","No results",NA,NA,NA,NA,3146736.966,2906720.825,2791777.728,3031421.129,3645227.594,3472360.284,21.6855418450074,21.4897129653726,0.195828879634742,0.257420850764017,0.353646166989927,"stable",1.19571081028585
"Glycerol 3-phosphate","Com_728_neg","Glycerol 3-phosphate","C3 H9 O6 P",172.01366,1.457,171.00638,"Full match","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","Glycerophosphates",108919954,144681714.1,119652329.3,258225529.3,113376658.4,258581211.1,27.5488823401271,26.8804245444348,0.668457795692273,0.321364916219391,0.372866873547163,"stable",1.04314347397945
"4-Methylvaleric Acid","Com_779_neg","4-Methylvaleric Acid","C6 H12 O2",116.08377,5.778,115.07649,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",3927191.885,3833271.056,4072721.849,13849051.01,13079622.23,15480977.96,23.7493648660785,21.9109243675584,1.83844049852014,0.000627827498765642,0.0787529273657308,"up",1.65521435069892
"2,3-Dinor-8-epi-prostaglandin F2α","Com_786_neg","2,3-Dinor-8-epi-prostaglandin F2α","C18 H30 O5",326.20942,6.864,325.20214,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",28988968.6,26167871.79,26293177.9,24149226.62,31105736.11,27192945.43,24.7042933514968,24.6928263719086,0.0114669795882065,0.945741883397232,0.591596215993192,"stable",0.0820222674706179
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",18173055.16,17089038.23,13240644.67,8614141.79,4519763.38499999,21754255.5,23.1736285885038,23.9334451807864,-0.75981659228265,0.431275977581438,0.421138948174081,"stable",0.816795126560289
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",2295872.428,3596577.113,1571094.105,1854245.696,10827774.63,2993484.164,21.9013428753206,21.1640474406275,0.737295434693088,0.316246015010428,0.370591769844388,"stable",0.670879037552035
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",36884673.23,58506643.7799999,52479031.56,27355418.62,18708617.79,34550418.07,24.6349075895676,25.5279510015886,-0.89304341202098,0.142686636693594,0.296655465023649,"stable",1.34008718816475
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",17281748.93,21960090.03,20845733.96,32923123.96,25436025.48,21272046.37,24.6384744378285,24.2481251192452,0.390349318583272,0.291411963740297,0.364085792165769,"stable",1.12813085837992
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3231861.295,3279539.328,3946233.809,2486743.791,2514947.455,2875056.495,21.3210273819342,21.7270135339957,-0.405986152061491,0.00391841768879405,0.163219330458391,"down",1.4464947948006
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",49508099.1300001,52254565.93,49037911.58,36508377.03,34067721.25,22225460.74,24.8497787685102,25.5825363976391,-0.732757629128962,0.0737252934349446,0.263295401524827,"stable",1.41403954643282
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",24369352.01,24732601.91,23024287.28,23024357.11,23192059.82,19280581.66,24.3748101339156,24.5183761340596,-0.143566000144006,0.125515652101252,0.288019400996784,"stable",1.01723569573154
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,30216687.6,32118274.94,19834360.36,10415441,11138686.61,13552948.29,23.4711332590175,24.6757439307767,-1.20461067175924,0.0666568584479367,0.260185487428251,"stable",1.53705794848715
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",315911.1678,926606.761799999,301846.4339,6311575.529,273806.3648,431731.261800001,19.790713082496,18.764737443087,1.02597563940897,0.621356236478899,0.487628242960866,"stable",0.534886536817101
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,23650569.88,23487295.14,26696718.87,11484641.91,10974376.31,15444143.44,23.5737982257617,24.5503026526112,-0.976504426849477,0.00929699737897371,0.185137433694255,"down",1.57264983624511
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",10992662.99,8578925.30699999,9903708.82599999,8945891.722,10711392.65,10132323.98,23.2392994575428,23.2206468522145,0.0186526053283558,0.926272049601527,0.586560902049122,"stable",0.119722002989418
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",26300924.08,28160978.47,31838523.8,26231864.8,32067403.81,32982710.35,24.8515426260178,24.7733581302276,0.078184495790218,0.302844811045678,0.367184732167357,"stable",0.472852972246459
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",4528135.842,2874719.779,1846314.828,7320242.39900001,5643453.82099999,11512902.99,22.89611841682,21.4605642857577,1.43555413106228,0.142074581112674,0.296375622469456,"stable",1.3810247658634
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",3675790.688,3181973.217,3067530.903,2812988.766,3423203.674,3229746.785,21.5845258974399,21.6532532984628,-0.0687274010228691,0.707476289080182,0.520064823085606,"stable",0.472626754513816
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,27857320.15,17947072.06,17714704.45,16135831.02,12014539.15,12176241.25,23.6665360110196,24.3024141215759,-0.635878110556249,0.014256380396299,0.197070284979147,"down",1.29447254549816
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",13259328.96,8849655.87500001,9545562.901,8287268.802,7262074.877,5128040.877,22.6881306643341,23.3080310662605,-0.619900401926404,0.0740780829397252,0.263436814508565,"stable",1.24566201196439
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",3846621.141,5069915.39,2651923.647,1944374.088,2515098.867,1044038.486,20.7156005093548,21.8290994536716,-1.11349894431687,0.0106693753661924,0.187496842545122,"down",1.27604046074375
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",22344693.78,22744057.08,29027782.65,47202564.15,53992998.9700001,47469129.02,25.5597057184525,24.5477820879599,1.01192363049254,0.0237536849423072,0.21282827671703,"up",1.6028808748695
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",14784855.51,13930307.48,14646779.69,13276553.13,13489381.92,15136607.61,23.7330789291233,23.7844735804123,-0.0513946512890264,0.472746666197252,0.43579077871554,"stable",0.60825419375058
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",233954.1741,243067.7557,213201.9961,175457.7487,208159.3684,196285.5623,17.5568958784964,17.8095756206558,-0.252679742159369,0.100175471942858,0.273074086967401,"stable",1.34475590115823
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1970732.87,1991161.157,1231498.113,1264294.808,10693798.64,1601809.083,21.4104811117316,20.6891541172081,0.721326994523487,0.50748774218821,0.446858761796543,"stable",0.56280682321651
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,18535782.89,17096550.96,20051598.31,10845675.93,11383751.89,10778302.29,23.3909053463199,24.142741862904,-0.751836516584021,0.0139669503620972,0.196407473082791,"down",1.63203819718293
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",1947344.529,2297287.521,2144933.055,2989438.536,4052735.048,2172688.417,21.5043191371529,21.0190259705353,0.485293166617588,0.181038959308929,0.320414391481386,"stable",1.11307194046245
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",5101301.401,3907284.168,5430728.754,4511466.199,1648520.543,2743414.254,21.3818154782498,22.1842943469925,-0.802478868742753,0.129930870000492,0.290406651299026,"stable",1.11374222467756
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",174189867.8,215555887,169423695.3,710001982.399999,273138458.6,237097546.1,28.4164035083443,27.4652108704591,0.951192637885153,0.219978532752435,0.339443399992474,"stable",1.13400373953265
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",10834518.25,12756665.5,10707482.97,10525517.11,11046353.91,10932185.08,23.3688443836916,23.4419985499904,-0.073154166298778,0.407755326576348,0.412029766456044,"stable",0.661550416161041
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,53619638.86,28623813.3,29001090.39,26211060.44,31955602.59,26493680.01,24.7441276194524,25.078858173891,-0.334730554438543,0.449330980141169,0.427726105367331,"stable",0.783453791773346
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",14340718.53,22434747.29,20289151.24,5607441.432,11452541.16,9295364.86599999,23.0053852310655,24.1556835835418,-1.15029835247635,0.00929658061852187,0.185136621742748,"down",1.4044605697537
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",2037428.901,39091778.87,1124209.145,1255916.164,2266399.83,3265681.701,21.003744150454,22.09305306997,-1.08930891951608,0.575267800666289,0.469075824539325,"stable",0.525393751336413
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,569247.862899999,549941.5818,553237.049499999,482766.8495,515748.853500001,488176.023,18.9181060611507,19.0883848477269,-0.170278786576151,0.0562914036074586,0.254414027302752,"stable",1.54715241949889
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",2435548.129,2618415.125,2789262.647,5590352.016,3011199.662,6195965.905,22.1664374715959,21.3158432772731,0.85059419432282,0.120077759758251,0.284898288151753,"stable",1.3121909048122
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",3230820.65,5083442.954,3878220.231,6590669.414,7482092.906,4669533.747,22.5472836997458,21.929269017656,0.618014682089832,0.108152811208523,0.277252038752057,"stable",1.23437918072106
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",35126720.64,51346192.08,41933950.02,31985193.02,35279882.14,2556410.749,23.7629771623774,25.3338116364039,-1.57083447402654,0.332216558839443,0.378132857245222,"stable",0.883923138736629
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",9586037.009,10229516.7,12537393.71,23524040.36,12104694.23,21363921.39,24.1217896603337,23.352823954387,0.768965705946648,0.127000382826363,0.288836257890161,"stable",1.2749011295718
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",2206821.355,1694329.108,2297600.366,4311834.012,5243165.36099999,6154814.435,22.3050535856165,20.9658391902231,1.3392143953934,0.0207312454328846,0.207646974774112,"up",1.58969018101651
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",17281748.93,21960090.03,20707906.74,32923123.96,25436025.48,21272046.37,24.6384744378285,24.2449349715608,0.39353946626769,0.285876126265011,0.362516414723373,"stable",1.13441666971985
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",3989901.07,3773265.969,2775588.378,2443536.341,4140429.894,6197757.09300001,21.9217343499774,21.7265553700272,0.195178979950168,0.752222874422802,0.535348669834808,"stable",0.374647846402601
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,88083164.3600001,40807592.15,40923383.38,41409121.11,42135682.42,43131710.7000001,25.3314100012554,25.6537064346672,-0.322296433411754,0.489045754667572,0.441109915325213,"stable",0.663598528432876
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16520729.43,20175156.09,19947341.72,17759820.58,23608387.01,19067684.19,24.2531787038202,24.1645145710832,0.0886641327369944,0.40457764272749,0.410750248074382,"stable",0.457188491355894
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",15837101.81,15314918.42,15628756.39,14576621.43,16196265.63,14271240.32,23.8376394327296,23.8943130019493,-0.05667356921969,0.496561766174461,0.443486332404779,"stable",0.727260537334593
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11114190.53,10288348.42,9304294.88700001,5314687.787,9536288.97800001,18708445.32,23.2279121249762,23.2832910011302,-0.0553788761540375,0.934740304535534,0.588766149515674,"stable",0.0866841614447602
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,81583167.2899999,112349819.2,45254428.1499999,25723238.22,28559759.05,18746327.94,24.514718032325,26.1522487916833,-1.63753075935833,0.0151440613695912,0.19896957595587,"down",1.4737970517305
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",2447876.774,1965091.112,1755948.17,1453049.693,1882560.611,1240121.277,20.5189890934955,20.9576943697876,-0.438705276292062,0.161784523022342,0.308917439369626,"stable",1.15943946848453
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,31278496.07,23983968.31,28335855.32,11816424.78,12713909.5,12474000.11,23.5555384960425,24.7234534241804,-1.16791492813794,0.014323710207029,0.197221256791978,"down",1.62890429875975
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,32813851.29,28888116.71,35223936.39,19165950.16,19799125.54,19214588.86,24.2088914448381,24.940609073485,-0.731717628646901,0.0173241491021444,0.202928814752766,"down",1.61770457712794
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1753294.56,1410573.317,1747469.495,1701958.344,1629463.894,1947303.956,20.7425923042548,20.635441009394,0.107151294860838,0.296274800077685,0.365426670791261,"stable",0.635029026381521
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",2164085.817,2311299.12,2281691.561,1864490.557,1269132.887,2760693.592,20.8341203694697,21.1024237266912,-0.268303357221473,0.50171128550661,0.445087719544263,"stable",0.633743401354728
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",22156684.67,16452000.13,10422979.45,7039975.2,9199918.61199999,23194005.37,23.449192409368,23.8954209143617,-0.446228504993666,0.646152095716109,0.497408328202117,"stable",0.570823420667944
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,19873338.54,15635596,12887725.98,6062504.498,4892100.038,16020403.67,22.8956373737511,23.920718727722,-1.02508135397082,0.265446748034322,0.35629435181118,"stable",1.12495554025662
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",172151.8818,166664.7077,154753.1704,135376.2937,142286.2999,149896.8462,17.1195544452251,17.3265069924531,-0.206952547228031,0.141600342870423,0.29615749576495,"stable",1.42336389359878
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",285071602.5,261687795.1,245885788.2,230548391.6,358482947.7,314506605.7,28.1421128972155,27.9744778669899,0.167635030225661,0.555173049311327,0.462754251959582,"stable",0.645469703464617
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",31529821,36422642.78,37640439.71,24465893.9,27375535.57,19137485.16,24.4801834787064,25.0647753533263,-0.5845918746199,0.096506733601215,0.271698339763721,"stable",1.43243884243926
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,20013303.59,20219787,26437339.57,13087931.32,15165029.35,12036540.28,23.6722987121642,24.3932647093134,-0.720965997149243,0.0784697961742452,0.265102110742689,"stable",1.51230584294591
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",8407863.652,8217405.64300001,9331323.92399999,10763593.86,8140883.34700001,13696198.57,23.3412275425698,23.0424032505781,0.298824291991608,0.21404082311234,0.336863155515242,"stable",0.92138488466659
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,519595.137200001,1076969.002,32260189.95,25526927.75,14214160.34,36094461.88,24.4905387605946,21.3229417653367,3.16759699525792,0.186180230034377,0.323241233701374,"stable",1.07108759211796
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",3111154.074,7965785.798,3911596.186,7025229.52000001,12265173.29,24205871.7,23.6070106415231,22.1312432261183,1.47576741540485,0.132551342398891,0.291765752296422,"stable",1.23949831965063
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",4848699.079,5077378.04399999,5897865.017,8722657.191,9113060.627,42962252.93,23.8441356032086,22.3255266379838,1.51860896522476,0.152698207581002,0.303343092023733,"stable",1.17289618722822
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",8412987.96000001,11086377.24,9051890.33399999,9219511.43400001,10665874.04,9121458.132,23.2011969223718,23.1720863977378,0.0291105246339534,0.649356247072476,0.498644949472931,"stable",0.172288382234134
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",10810324.24,17112026.52,11658337.79,21078359.88,15270062.84,2580007.244,23.1641352092232,23.6230908398539,-0.458955630630722,0.666735916949569,0.505247892910583,"stable",0.384503336011959
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",4318186.34,4243713.766,4916674.69600001,6075471.452,5675352.761,5080881.039,22.4158302758113,22.0960471547861,0.319783121025264,0.146110068042581,0.299011266438772,"stable",1.40542165069643
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,4251843.845,3846849.469,4148801.737,4533232.592,4278066.382,4963079.162,22.1278134093209,21.9597221375934,0.168091271727491,0.0741539857457133,0.263467083403127,"stable",1.23185092038634
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5781588.19900001,5527965.61,4457823.135,2548125.003,1770194.286,7965026.63,21.6539095524098,22.3164198605962,-0.662510308186373,0.476089989556536,0.436900854752073,"stable",0.741682862456532
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",2759202.767,2644210.322,1897072.762,2104845.96,2937628.652,4743014.824,21.5562922587699,21.1951897123538,0.361102546416131,0.54901255914936,0.460759555363163,"stable",0.711753992406845
