"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"LPC 18:1","Com_636_neg","LPC 18:1","C26 H52 N O7 P",567.35404,9.733,566.34676,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",15474915.62,22258263.96,14543902.52,28652493.95,24934026.4,23799735.62,16666924.69,23992182.09,21686074.06,24.4541705543733,24.0283923480722,0.425778206301107,0.138765984151557,0.275375295736295,"stable",1.35334779372495
"trans-Aconitic acid","Com_664_neg","trans-Aconitic acid","C6 H6 O6",174.01635,2.151,173.00907,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",29215576.96,30515999.87,30449080.37,43384234.21,44333754.13,29804347.58,45251192.82,52201057.07,63250664.71,25.4308657767588,24.8410640969924,0.589801679766389,0.00967500285727712,0.0941309476495953,"up",1.55735965226059
"2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","Com_723_neg","2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","C24 H29 N3 O",375.22927,5.497,374.22199,"Full match","No results","No results",NA,NA,NA,NA,4575823.129,6061697.009,4905270.324,3707312.944,3390985.296,5196908.858,122877062.9,3659176.375,4247645.878,22.75306631375,22.2942637938674,0.45880251988261,0.606486916239058,0.494260209717539,"stable",0.305402213030393
"Glycerol 3-phosphate","Com_728_neg","Glycerol 3-phosphate","C3 H9 O6 P",172.01366,1.457,171.00638,"Full match","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","Glycerophosphates",85052112.66,82687271.9999999,58987640.53,89295471.68,30899079.34,110890147.3,98405323.4500001,145250284.1,131496797.9,26.442391890357,26.152305013887,0.290086876470088,0.460288897382359,0.441320810551859,"stable",0.467528834894905
"4-Methylvaleric Acid","Com_779_neg","4-Methylvaleric Acid","C6 H12 O2",116.08377,5.778,115.07649,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",9773173.292,9498662.742,12607076.04,18857537.1,21646714.19,7765793.41700001,17313583.25,6922370.614,11602065.86,23.61018311274,23.3291396684862,0.281043444253857,0.398530998333213,0.417421761242303,"stable",0.526794656918954
"2,3-Dinor-8-epi-prostaglandin F2α","Com_786_neg","2,3-Dinor-8-epi-prostaglandin F2α","C18 H30 O5",326.20942,6.864,325.20214,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",26281889.4,26484623.2,26443800.2,25828668.37,17115976.7,23333652.55,23421500.49,13398087.36,16572682.24,24.2110627858203,24.6542144966071,-0.443151710786783,0.0325015092586944,0.161010676210055,"down",1.30562586983426
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",2582886.251,2684693.929,1750044.385,2846620.148,2510458.116,2355233.349,2693002.956,3358481.258,3150290.777,21.4158319764204,21.1319463171808,0.283885659239527,0.283970004962646,0.367088540772162,"stable",1.13716731826551
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3207352.508,2899459.833,2958566.498,3143135.42,1939425.989,3105588.341,13336408,1411111.309,1890005.63,21.4974387903147,21.5255903686913,-0.0281515783766082,0.954838299823394,0.606088244789533,"stable",0.0333248322897673
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",19679392.31,13649146.04,1788354.057,25587725.7,16992470.54,32044486.81,29679036.68,12126154.14,10420748.86,24.2047381640076,22.9008968831699,1.30384128083779,0.34907222570878,0.396879929706956,"stable",1.1185823535141
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",27189475.34,18308851.47,26496367.56,27142190.53,26362219.26,28795998.24,27832571.76,16148507.2,15997842.54,24.4553182817008,24.4939580630497,-0.0386397813488806,0.881631494382962,0.586891776949905,"stable",0.11712553191987
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",2385297.892,2410539.234,1621381.244,3494579.012,3055187.532,444708.1506,27585990.06,1649833.318,1864275.077,21.3739201084599,21.0051514764874,0.36876863197244,0.668956610306355,0.518760157992949,"stable",0.255687984384218
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",35791710.46,27716694.33,30271787.01,45764770.25,13453840.78,42655158.89,37239612.58,30728287.65,18267937.05,24.7702791520322,24.8896148430777,-0.119335691045482,0.714034041523205,0.535014421899534,"stable",0.224248632072232
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",25921032.59,23763656.79,26865809.78,22873758.32,19892420.51,27602309,23720730.21,19879698.83,24181121.17,24.4471677777697,24.6030471215257,-0.155879343755931,0.130089534540016,0.268280891004322,"stable",0.995382019492022
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,13024382.95,15140558.32,15081993.68,16511986.35,12045264.46,28669221.11,28076400.26,13953885.04,17615235.29,24.1365518369841,23.777650191311,0.358901645673061,0.15897663979837,0.289992360749223,"stable",0.859652968903381
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",937116.4691,915638.4725,1135594.719,1676709.271,1294253.458,1710292.274,11970370.02,1499047.684,5849010.278,21.3658402799977,19.9191013363486,1.44673894364915,0.042352939747436,0.178146687763324,"up",1.23405323271595
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,13599606.01,17802328.64,6742652.215,3972390.523,6107322.44700001,17583081.37,22849021.32,10257009.37,10006778.86,23.2535965604259,23.4891696351074,-0.235573074681472,0.69343981267463,0.527726807235438,"stable",0.306595084276136
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",11448933.94,10933711.82,11466403.75,11258778.2,8753861.89,11091090.26,11932775.46,6693756.954,9535041.968,23.2094253143333,23.4272998340711,-0.21787451973783,0.147912400689243,0.282296446883312,"stable",0.875077649640038
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",5140858.608,5475156.476,5126678.618,5382738.003,7024152.677,5205611.012,5294024.878,5196122.124,5576490.099,22.4118835016433,22.3225465661664,0.0893369354768403,0.273991209813261,0.361785274064557,"stable",0.680833361522509
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",7068100.66600001,7869648.42199999,9739869.66199999,8238430.04699999,8959552.42999999,5983187.288,7430790.277,6743863.555,8397559.612,22.8488638120784,22.9587433154122,-0.109879503333808,0.538181247162629,0.46669836900063,"stable",0.548726628741889
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",3334110.608,3346203.381,3621841.949,3370936.787,2593207.504,3896097.152,3213962.058,2461979.02,2486148.97,21.4962354009174,21.7104187998126,-0.214183398895159,0.120611966217439,0.259867136367891,"stable",0.94777614979129
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,20306319.4,26247536.61,536711.1888,23780719.24,38080018.63,49329969.87,31108984.78,323231.8535,24980916.55,23.8348569731041,22.6516301884244,1.18322678467963,0.611082154741419,0.496147097336391,"stable",0.467190786104145
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",6405837.20399999,5667334.64,6517153.361,7006786.283,3881854.311,7101260.206,6339593.793,4556561.732,5106965.088,22.3979645944129,22.5603350596834,-0.16237046527052,0.343654138089123,0.394677190591677,"stable",0.58755007242879
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",3537570.372,3497093.686,3659766.676,2675440.654,2133661.889,3015477.546,2135970.72,1551676.744,2135392.294,21.086354508901,21.7651242251397,-0.67876971623873,0.00370251781779452,0.0636697003826912,"down",1.7134597541442
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",41225976.96,32821501.72,30870591.59,37797945.3,44889264.85,39095052.95,54147398.4,42015997.22,41820973.85,25.3574502890062,25.0483060184164,0.309144270589833,0.114608883789414,0.254136941884609,"stable",1.39634338545945
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",14645597.75,14782342.96,14869703.12,12502358.83,9169236.653,14279261.14,31851467.1,7805480.21699999,11898022.42,23.6327693493627,23.8157359546823,-0.182966605319528,0.554474572910086,0.471874887615489,"stable",0.348943237586925
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",610261.7778,729628.9867,586122.9044,190942.629,234834.6196,214099.5993,235541.7834,209594.4639,274707.7349,17.780398404725,19.2855719729448,-1.50517356821984,0.000142694965441971,0.010953689314535,"down",2.11212455000134
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",2277380.612,2427731.155,2381097.297,2994490.158,1674173.916,3277025.634,8610061.586,1855221.528,1435259.442,21.3577474566233,21.1711054580517,0.186641998571613,0.65078474543077,0.511881665240341,"stable",0.266936075986791
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,115806274.7,17635807.58,107539466.8,108193947.3,15273298.65,12258383.39,88671196.2899999,66910141.6900001,80748307.1600001,25.4609051233752,25.8464778239564,-0.385572700581225,0.733911013288024,0.541838057154907,"stable",0.308979977906474
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",9292266.89699999,3268734.058,4013921.312,6672915.11099999,6638464.67599999,4232436.926,9276695.03200001,6534619.186,22947522.49,22.9303412214042,22.2414935467992,0.688847674605043,0.291156181487868,0.370771777574598,"stable",0.886250203393583
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",3099973.577,2326997.189,4399726.076,5363586.57100001,5164215.395,2726557.289,1606759.887,3708865.297,4502879.50299999,21.7623698651253,21.5942815999446,0.168088265180707,0.674442636252381,0.520798816124724,"stable",0.312774392320608
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",219493689.4,182593409.5,246309569.2,194386279.2,207752014.3,233522596.7,109195412.3,141463369.8,170324802.1,27.3475881459884,27.6765203703455,-0.328932224357104,0.157231981580169,0.288824365382302,"stable",0.950578781905964
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",12512553.1,9540806.755,11122013,11696247.88,10186935.34,13159997.51,11980277.01,9781175.225,11751385,23.4385794794823,23.3898224270387,0.0487570524436229,0.73095481610954,0.540835919443424,"stable",0.326887977880593
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,27773574.31,23281651.41,24767635.22,23232846.37,22280721.76,24191678.67,20131505.75,18403150.85,20208871.96,24.3453082374192,24.587284124108,-0.24197588668876,0.0564193621078781,0.195435800762225,"stable",1.44870976145082
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",617239.854599999,586684.9605,615933.5333,591599.586099999,596953.7863,569268.798799999,573939.799299999,520431.2252,541947.7535,19.1079923144538,19.210037775377,-0.102045460923186,0.0364859523081026,0.168530957569066,"stable",1.35236507307529
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",1430042.525,2580144.955,1740779.695,1701355.119,1003219.622,2231230.016,819930.7072,1224021.128,690092.173,20.1647726283297,20.8259831701729,-0.661210541843115,0.118268384438448,0.257669178014451,"stable",1.11223461192124
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,508587.5256,477418.26,533764.1588,471689.7178,460197.0615,547108.9988,495117.7398,414364.725,426029.6537,18.833231290098,18.9489578938121,-0.115726603714101,0.172456244435026,0.299828918796183,"stable",0.922943987740816
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",8984939.328,8330787.905,8390065.867,8163640.37100001,12350246.07,9620351.83199999,11632782.61,7090275.72199999,8449708.14,23.1593415261386,23.0297831849968,0.129558341141784,0.363868371719419,0.402676311347509,"stable",0.548464483255453
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",10795017.66,11953370.91,12334014.36,12974922.83,16649474.78,12405200.28,8005584.06,6914317.166,9305915.77299999,23.3310141543683,23.4769718500052,-0.14595769563687,0.50078792693727,0.45491315575994,"stable",0.407049597695296
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",45334240.47,42749654.76,47991161.43,32926445.24,37474328.41,36984478.93,37955511.31,50844674.15,49316276.4,25.267586541431,25.4332575346373,-0.165670993206351,0.18960043201275,0.311576189558082,"stable",0.816777097304544
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",21734375.62,24145268.14,23401011.19,26143238.43,32203783.69,19574539.03,19714493.22,24865957.46,29160729.62,24.5668469683123,24.4595933335261,0.107253634786225,0.432156712912128,0.430955792833797,"stable",0.481715913134693
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",5694735.853,6759656.042,5140046.795,5367321.45,5066271.00000001,5044734.37000001,4438475.741,4294213.867,2750815.977,22.0669390421739,22.4743553216738,-0.407416279499863,0.0650434109879908,0.203312926169959,"stable",1.2249452719253
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",27189475.34,18308851.47,26496367.56,27142190.53,26362219.26,28795998.24,27832571.76,16148507.2,15997842.54,24.4553182817008,24.4939580630497,-0.0386397813488806,0.881631494382962,0.586891776949905,"stable",0.11712553191987
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",8311997.60199999,10753112.38,7242987.006,10148766.94,7002259.93400001,9413741.661,3192001.303,6963886.549,4977488.571,22.6275007978144,23.0443893739252,-0.416888576110772,0.211628628428916,0.324904840011923,"stable",0.816930521206926
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,17088264.98,9033878.58100001,18144203.05,1612670.208,8280691.973,11818050.21,11528644.16,6176785.558,7245162.106,22.6504265790761,23.7488073451062,-1.09838076603017,0.0821589850323302,0.220656663275253,"stable",1.14180910647758
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",44131735.36,39928189.23,37252665.28,48905332.3900001,55862661.36,42320893.34,37475212.67,37739304.99,34934827.23,25.3334827794247,25.2656859219127,0.0677968575119401,0.612097314954497,0.496562043160172,"stable",0.337260624325101
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",16681669.12,13491508.69,16770198.96,15064824.45,15433800.89,18384484.83,16291783.69,11559111.17,14883650.44,23.8506082399386,23.8922350441551,-0.0416268042164845,0.773455114474348,0.554834639784706,"stable",0.228574872578484
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",4263739.356,9573133.31000001,5043891.609,5927812.279,6718534.36299999,5773612.725,4344736.208,8219009.822,10242907.43,22.6582197700467,22.4934511430066,0.1647686270401,0.705535463293697,0.532034487549119,"stable",0.381973666525774
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,37088195.52,49226669.15,37301532.11,62819659.31,25691078.22,65591588.3000001,109455632.5,43860703.09,42591809.97,25.6537922705736,25.283375027713,0.370417242860583,0.286200402514863,0.368243584256745,"stable",0.665469918320014
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",79431939.6099999,45167941.25,52651148.01,11332186.98,7774365.00700001,9160261.88699999,25851015.12,32287682.1,36352242.91,24.0224854973965,25.7739911234851,-1.75150562608862,0.00736535808162831,0.0807695370796938,"down",1.59168131241993
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,18749735.36,25904557.14,10161481.35,10746680.55,8342172.128,24960757.51,23557060.81,10264621.07,17275401.02,23.7909311521385,24.0212256267572,-0.230294474618645,0.657125208731549,0.514303908807538,"stable",0.388566116230825
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,27024557.15,33837730.37,19311607.17,23396806.82,14317539.88,29112089.25,29404665.77,14862432.38,18853931.82,24.3082123976649,24.6342873361938,-0.326074938528905,0.331921042708563,0.389750697098877,"stable",0.787592660358675
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,6687247.20799999,4096345.302,2146641.179,12866471.93,10857068.16,9875170.40400001,17059927.12,4070571.994,3561284.793,22.9949155427031,21.8908455164484,1.10407002625467,0.133271563284382,0.270946411123815,"stable",1.19165647583028
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",2197049.802,1910530.778,1916737.059,2554497.611,1812499.618,1732314.727,2219368.965,2051193.61,1936846.557,20.9555759374824,20.934299739752,0.0212761977304119,0.848150403293392,0.577474541857096,"stable",0.133461802676772
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",6263500.321,6414656.46,3379126.948,9105172.333,13288150.05,8851687.35499999,10030943.45,13026078.41,10999469.18,23.3571994843535,22.2932324621828,1.06396702217073,0.0591583446833011,0.198116128847276,"stable",1.83900639507133
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,1647551.913,1980804.092,1228503.998,2890615.372,3645510.141,2875723.738,2978565.66,3451876.709,3351069.904,21.6029090589785,20.599339461614,1.00356959736447,0.0291239879205415,0.154125945041069,"up",1.99654375031284
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",148075.6897,135889.3597,143613.6153,128411.6056,113040.7333,140751.1705,142703.787,202581.6328,114766.984,17.0698071266465,17.1199604184703,-0.0501532918238361,0.715214560701411,0.535425358779131,"stable",0.219791379022172
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",76240009.4799999,61829584.3000001,70392829.9300001,52668174.0700001,20750495.5,66237102.2,44562467.17,17336070.9,29383633.52,25.0338859415696,26.044921361193,-1.01103541962337,0.0226238955991605,0.137831540739756,"down",1.37432025033402
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",7026358.57399999,3461460.074,5146660.32400001,4221863.98,6381503.036,2788073.472,11617664.46,4791132.646,7702714.62500001,22.4274063753238,22.2541667291383,0.17323964618549,0.692723936445369,0.52746937182219,"stable",0.297676630773378
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,21484998.51,22112641.95,10865735.53,13756310.24,7830892.333,20423219.6,19561658.31,9088137.155,13179933.71,23.6478267969821,24.0428256371671,-0.394998840185039,0.386142294363943,0.412203397800955,"stable",0.75436975556325
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",21504385.12,21587955.88,15496329.08,22247874.24,25622878.02,21257817.29,19543401.17,14456065.51,24695645.98,24.3204477837671,24.2024246711917,0.118023112575329,0.583692346417091,0.484687468529561,"stable",0.457013508721076
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,27455863.6,27689063.11,29783659.64,371817.3938,29698254.36,452216.6328,426893.2821,32541913.13,329841.1757,20.6842479524427,24.7538138524442,-4.0695659000015,0.0282072252932152,0.1520919933891,"down",1.33960100250856
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",23763211.51,9216722.37300001,21564856.46,24413677.04,26283145.37,23745602.77,20547255.59,16502289.02,21885431.44,24.3903417654861,24.0000758765212,0.39026588896488,0.465309419580327,0.443087138432605,"stable",0.910845353069371
