"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","Com_723_neg","2-[({4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]phenyl}imino)methyl]phenol","C24 H29 N3 O",375.22927,5.497,374.22199,"Full match","No results","No results",NA,NA,NA,NA,2231425.438,1983239.05,28045785.9,2292971.81,2680223.364,2967019.561,21.3277640004707,22.2500806658785,-0.922316665407827,0.511457765440257,0.51782657126118,"stable",0.628670286102472
"Glycerol 3-phosphate","Com_728_neg","Glycerol 3-phosphate","C3 H9 O6 P",172.01366,1.457,171.00638,"Full match","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","Glycerophosphates",168206062.2,173848126.2,40778154.45,196141784.5,187656950.1,146349566.8,27.3852291281425,26.6600666280922,0.725162500050285,0.324757727193248,0.475991997570704,"stable",0.834292410276262
"4-Methylvaleric Acid","Com_779_neg","4-Methylvaleric Acid","C6 H12 O2",116.08377,5.778,115.07649,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",13567706.87,24683268.47,14317713.35,12286111.52,19125984.98,13057132.19,23.792630162942,24.0073338145455,-0.214703651603514,0.107450269966887,0.364066509115322,"stable",0.546560959792797
"2,3-Dinor-8-epi-prostaglandin F2α","Com_786_neg","2,3-Dinor-8-epi-prostaglandin F2α","C18 H30 O5",326.20942,6.864,325.20214,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",37452484.59,24201140.89,21446194.18,26275406.04,24921067.58,28489390.52,24.6606645606328,24.6804493781445,-0.0197848175117521,0.94780938316719,0.646695241292661,"stable",0.0716884848768853
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",7461416.13099999,8581384.326,12220827.65,23018279.61,10596686.04,15138650.11,23.8817065748003,23.1355452221785,0.746161352621826,0.231686215424263,0.439714493832056,"stable",1.26236937018239
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6525085.43800001,1889324.394,4424153.528,2107665.03,1402243.604,2012114.676,20.7889336132243,21.8546581275749,-1.06572451435057,0.0922600556362134,0.361948819842604,"stable",1.25343260845593
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",30102163.32,39506145.61,4750241.186,23941430.06,44875207.97,23973652.15,24.815789217696,24.0861689775257,0.729620240170238,0.465825743243838,0.507559643622751,"stable",0.619570431609081
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",10092173.95,10535647.71,5361859.606,8259423.472,8177300.258,9918808.22,23.0608460634911,22.9832704437385,0.0775756197525865,0.865955149041179,0.62579611640835,"stable",0.213653065561036
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",1462140.489,1169070.273,821479.828700001,1069951.556,1424000.059,1082070.358,20.1719982333816,20.0948154517363,0.0771827816453161,0.79891434094525,0.606743592614523,"stable",0.250730341369861
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",41943811.43,32428444.06,32237234.72,26311699.94,23472840.63,31450047.51,24.6800830313565,25.0716452525428,-0.391562221186266,0.172226896624714,0.403077399665986,"stable",1.35411963166284
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",26706985.78,25255287.4,20152951.75,21501490.71,25612761.28,22865149.49,24.471646608865,24.5084279243001,-0.0367813154351175,0.824268635874094,0.614172915452635,"stable",0.229492923182368
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,24229162.09,18101618.66,20554728.46,30917113.84,62069594.31,34868478.18,25.2749019188279,24.3109411763643,0.963960742463534,0.150781552443343,0.389218125776877,"stable",1.49516516413923
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",7309495.857,1044540.595,9630205.01000001,8423207.474,403769.4238,1130627.443,20.5792675330472,21.9983042288949,-1.41903669584772,0.274371180886292,0.458691951481818,"stable",0.72370145787799
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,17990867.81,17618262.52,16064789.45,24782219.68,54250877.7399999,19657061.94,24.8281631960083,24.0362428329568,0.791920363051542,0.19881188866646,0.421192995127163,"stable",1.2069997752941
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",12822246.1,12744503.6,9770525.409,15439953.52,14388271.97,16694259.43,23.8838012776428,23.4785074093823,0.405293868260475,0.160814315390531,0.395736858376788,"stable",1.48413646967889
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1080385.557,1162229.52,711921.3804,600356.3865,391316.8764,377665.4508,18.766728913227,19.8776456014905,-1.11091668826352,0.0404877397122518,0.343857206102389,"down",1.59021627888491
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",22971339.2,14512523.13,4804918.172,16720412.75,7666615.82100001,26253257.58,23.8370862313477,23.4800690309008,0.357017200446897,0.767266284026438,0.597058722705473,"stable",0.374805332069072
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",4123964.31699999,3697297.791,2761144.09,4048374.412,3727875.726,4631375.428,21.9739476356729,21.7301583271533,0.243789308519506,0.43453953978365,0.502040951188201,"stable",0.962284910775356
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,16920472.63,10945904.71,9931685.721,634014.0481,349074.7382,8345460.88899999,20.2266306692242,23.5465871921721,-3.31995652294785,0.163190047787098,0.397192325729138,"stable",1.37943567787874
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",8974552.15499999,7428617.605,5456908.45100001,6249541.616,6376237.028,7197654.204,22.6528960459368,22.7672410866653,-0.11434504072848,0.714346588046685,0.579752868885242,"stable",0.459890689622225
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1128834.663,2173627.988,2213481.177,2094164.658,1943104.947,1032064.369,20.6216591219132,20.7453206848837,-0.12366156297055,0.849770428648749,0.621367577488714,"stable",0.244835349131191
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",45957755.17,45126214.0799999,21046343.64,59305563.51,72452060.23,57312814.44,25.9015139675765,25.0694445624007,0.832069405175755,0.121415625625886,0.365854595568301,"stable",1.33273327188488
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",12276649.08,12239804.22,12408602.83,12830018.3,10504625.22,14308912.74,23.5693173217235,23.5531093286315,0.0162079930919994,0.908895463504348,0.637058726370326,"stable",0.112506175603203
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",13412670.82,13150916.39,11684740.69,23273699.8,24182495.58,22822953.6,24.4812130696102,23.6012918630533,0.879921206556904,0.00312391596789525,0.246181704562996,"up",1.79732314872357
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",5859747.957,1771491.333,3697656.382,2257159.576,1579592.199,2547153.937,20.9925508082424,21.6857066301156,-0.693155821873177,0.192546830657508,0.417163563755103,"stable",0.977386243765917
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,123607762.5,73849363.1,56114064.73,77427561.8100001,98281588.2700001,75882768.9500001,26.311343566983,26.2537117779462,0.0576317890368045,0.889430034717756,0.632038399352383,"stable",0.147165889996946
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",2722387.055,15801633.3,5917232.282,2662429.549,4918108.97700001,28421335.82,22.7781517399991,22.5955007385703,0.182651001428834,0.887884023421428,0.63163370772503,"stable",0.131460501232496
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",8895735.23899999,17194368.5,12487714.24,19714224.03,3263910.42,7400474.804,22.8966966752722,23.5647071026443,-0.668010427372092,0.581255127905669,0.539832794810551,"stable",0.701411958299204
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",186825958.8,162666807.7,117105039.3,96631080.3599999,108107163.9,112660386.6,26.6537586432777,27.1858974203877,-0.53213877711001,0.177335282962177,0.406575909007013,"stable",1.42568187205041
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",17288431.38,18668355.76,11671926.11,20406585.81,17372930.42,18215432.09,24.1505090542596,23.8913114965487,0.259197557710941,0.35221596205243,0.483737024862386,"stable",0.920044081641167
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,29451159.52,27129919.38,19512828.76,32437025.86,29090186.62,33250571.78,24.9106810797518,24.5743740426888,0.336307037063019,0.260719544872386,0.453133803776036,"stable",1.20162159938698
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",3876015.819,3616542.048,1596099.682,24833372.38,21623084.55,15948288.1,24.2862480325609,21.426147282607,2.8601007499539,0.00652290500226026,0.270646191502348,"up",1.73329751403782
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",1335408.309,971632.4699,2573096.821,1129920.938,1988028.62,1244685.135,20.426015632212,20.5113249939015,-0.0853093616895357,0.900888534548483,0.635010339088538,"stable",0.159526156527213
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,6058548.89,8514795.99499999,5585889.969,9746626.70399999,7750773.281,6002335.489,22.8731576362452,22.655145705783,0.218011930462222,0.465799398315203,0.507555260789794,"stable",0.670339050789823
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",4982565.869,5122841.28399999,4312065.07,10191531.25,9297033.377,9021238.63399999,23.178033532895,22.1923059097158,0.985727623179169,0.00414327392524044,0.257156754077008,"up",1.78607656487164
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2808122.179,4103117.394,6939812.49900001,4720606.532,2188596.233,1918294.437,21.3678359805604,22.0386428438114,-0.670806863250995,0.47105494158082,0.50842135299041,"stable",0.941051995271627
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",14807208.46,15684925.42,21956189.42,15490583.88,17024498.79,5695247.669,23.4491081095623,24.0369320113195,-0.587823901757211,0.478269807608921,0.509583960589315,"stable",0.874568766369211
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",24238097.05,25899395.18,20311592.72,34298068.22,27529770.83,23632949.46,24.7468032024592,24.4776627361523,0.269140466306865,0.157769099387549,0.39382350336933,"stable",1.05885110703454
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",43590742.61,47075799.8500001,28093132.77,34165595.51,28682691.25,27163959.9,24.8316361566007,25.2032382984625,-0.371602141861725,0.193462566969183,0.417763885758601,"stable",1.07731962203182
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",10092173.95,10535647.71,5361859.606,8259423.472,8177300.258,9918808.22,23.0608460634911,22.9832704437385,0.0775756197525865,0.865955149041179,0.62579611640835,"stable",0.213653065561036
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",6238323.66300001,7719381.986,13501447.13,12376010.16,6319377.622,9471857.20400001,23.1092032996042,23.0464638690628,0.0627394305414448,0.905475539538677,0.636186637729382,"stable",0.13057271824992
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,38359106.37,42233638.12,25929030.94,57277915.2100001,62314761.61,60885277.2,25.8413787816808,25.0510066408194,0.79037214086134,0.0698578591331447,0.357235198515015,"stable",1.59132784639067
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",33739925.39,34387137,22675858.07,31068492.15,26303251.26,24635954.84,24.6973162478159,24.8259909751627,-0.12867472734677,0.471669465305915,0.508521554060505,"stable",0.510880123593789
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",16156478.63,16081209.44,12333737.15,15533725.22,15813951.1,13308972.14,23.823163622577,23.8135295675892,0.00963405498781711,0.867474815831658,0.626206620455047,"stable",0.057953235338519
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",10174339.94,11924590.39,9837562.49000001,19288496.14,12259041.14,19118086.34,23.9790049734663,23.338579235286,0.640425738180301,0.166709692343574,0.399500997446789,"stable",1.47168289818768
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,58552474.12,45445893.12,33314312.16,40326835.49,130630214.8,117807148.5,26.3460006991138,25.4101707193376,0.935829979776237,0.334387276608982,0.478823924907966,"stable",1.12851254606755
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",1148435.444,1094609.993,835156.4161,1084044.549,1238234.648,1009726.6,20.0777930667907,19.9549702440855,0.122822822705174,0.368708997535368,0.487937429902762,"stable",0.627293689068152
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,25002755.48,22137683.53,10623165.14,24906565.36,71024087.2999999,25143221.94,25.0784979998357,24.1054316786023,0.97306632123334,0.194080402433967,0.418166681070778,"stable",1.10806136213204
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,28923895.11,24808922.34,13947606.47,26200473.28,43484411.99,21168942.78,24.784176803626,24.3612094915894,0.422967312036686,0.281000450477328,0.461241005776873,"stable",0.781252552644187
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1711244.353,2228775.326,2503221.996,1562971.84,11588555.45,2045193.104,21.668621132057,21.0165963070132,0.652024825043856,0.529391681283664,0.523851055602856,"stable",0.60709965228796
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",9329518.73100001,8715587.54800001,9518559.80199999,11501392.46,11222128.95,11469362.41,23.4421433728269,23.1302831991994,0.311860173627526,0.00800455156074321,0.275300384032461,"up",1.76069408000651
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",2443892.323,4260576.974,5434515.487,4491195.846,2225321.041,2274700.884,21.4338318917542,21.8723622211504,-0.438530329396137,0.577207972802513,0.53865664808005,"stable",0.759993662317878
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,1865284.749,3165535.114,4816251.478,5548507.18,2693192.65,2845057.244,21.7348601631102,21.5414872384783,0.193372924631809,0.809909988081798,0.610000384110525,"stable",0.333090066001869
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",118432.6011,114516.8711,1158222.279,114090.4563,121297.5487,120118.4666,16.8540359655154,17.9341293658001,-1.08009340028476,0.42805085853031,0.500811941034564,"stable",0.798177061567776
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",54301806.24,46992774.05,39776576.43,68505793.03,62848334.85,75603805.7800001,26.0356831215395,25.4752827410454,0.560400380494126,0.0936012764743536,0.362162343957167,"stable",1.60060879384412
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",8355881.58599999,7794983.187,5698427.33400001,7017751.682,5987936.95700001,3442845.412,22.3237916812626,22.7768691608221,-0.453077479559475,0.0856643757782559,0.360805789059611,"stable",0.978486435962389
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,22890456.46,17643078.52,9571424.15,17279662.88,33754278.49,12665095.02,24.2151644486679,23.9037146829263,0.311449765741621,0.508345536590324,0.516752559128711,"stable",0.487398077328984
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",24702866.5,25354612.79,17446853.92,31768309.52,27605877.11,26079586.3,24.7586582464093,24.4034612010751,0.355197045334265,0.114872282264358,0.36490432833124,"stable",1.22984077381559
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,335084.546,308541.1325,13225691.75,291229.5648,369015.0515,313402.6028,18.3009250228577,20.0820362596014,-1.78111123674369,0.429673652927103,0.501122223779838,"stable",0.809552412443541
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",1156800.394,3684390.7,5597622.913,3553586.175,6376998.396,5705371.422,22.2697265737304,21.4570286715735,0.812697902156849,0.219035219478134,0.433062651235414,"stable",0.886182174712131
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",9189563.96800001,8233400.83300001,3910410.63,10126297.31,7915588.414,10661832.98,23.1779402438138,22.6678368976497,0.510103346164122,0.392738237722527,0.493536897819851,"stable",0.961499474021594
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",7069984.30999999,7226387.769,6538316.526,7604660.416,11135551.73,9104506.396,23.1284238243009,22.7262022048,0.402221619500917,0.121151332592098,0.365802819582667,"stable",1.40595624736116
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",2335203.14,4935760.547,19585286,6721531.66399999,8797217.32200001,1840618.132,22.1869111097759,22.5377414866545,-0.350830376878669,0.841294539757725,0.619006283603481,"stable",0.277191789461146
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",15818137.87,13389435.91,11123229.42,8849658.41199999,6759083.11300001,7865276.59,22.8908841774764,23.665580218934,-0.774696041457567,0.0327983024481762,0.33682337911578,"down",1.64058607783102
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,33280571.91,33963510.69,23199855.4,35192180.3,31675919.55,33402591.04,24.9930304695434,24.8244238748812,0.168606594662243,0.460602332089932,0.506682365395809,"stable",0.757533067690131
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",11007437.19,9079708.672,16947496.74,7151876.768,5392751.966,6886007.136,22.6159056473773,23.5069195705344,-0.891013923157104,0.0502108458686008,0.349892358043492,"stable",1.51541393938729
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",10859882.4,6461958.79299999,2355584.081,7052615.32999999,4562683.744,12518622.08,22.8162501963168,22.3878995543646,0.428350641952168,0.707814184622625,0.577513012014862,"stable",0.485681282874424
