"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,569247.862899999,549941.5818,553237.049499999,512134.7665,510814.9807,18.9643026424751,19.0883848477269,-0.124082205251828,0.0139668812356319,0.196943960267779,"stable",1.49364663619542
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",2435548.129,2618415.125,2789262.647,2559948.633,2527112.421,21.2783709229703,21.3158432772731,-0.0374723543027571,0.577164429991716,0.433205284565945,"stable",0.438822796083002
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",3230820.65,5083442.954,3878220.231,3488859.287,3995662.963,21.8321637231783,21.929269017656,-0.0971052944776858,0.682311729439709,0.474665206162185,"stable",0.331809988599944
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",35126720.64,51346192.08,41933950.02,43628998.89,42008909.43,25.3514880158875,25.3338116364039,0.0176763794835573,0.921891500722161,0.549713916264295,"stable",0.0769689650324036
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",9586037.009,10229516.7,12537393.71,9660385.49800001,9900240.87000001,23.2213407628119,23.352823954387,-0.131483191575153,0.376703715327108,0.354318323087515,"stable",0.695668529094677
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",2206821.355,1694329.108,2297600.366,2295995.03,3269555.577,21.3856756023289,20.9658391902231,0.419836412105813,0.312479266457171,0.329092594305109,"stable",1.05628835379318
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",17281748.93,21960090.03,20707906.74,20139582.22,19117178.87,24.2259483622055,24.2449349715608,-0.018986609355359,0.876746522431789,0.537257127290485,"stable",0.123483571894683
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",3989901.07,3773265.969,2775588.378,5249332.527,10282419.72,22.8086895158717,21.7265553700272,1.08213414584442,0.242508746705687,0.315061108616769,"stable",1.28820566569019
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,88083164.3600001,40807592.15,40923383.38,44049723.31,53257766.05,25.5295591000599,25.6537064346672,-0.124147334607287,0.77710992087079,0.507166793744478,"stable",0.225434305464501
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16520729.43,20175156.09,19947341.72,25475864.41,29174661.42,24.7004201701156,24.1645145710832,0.535905599032393,0.0376175770615396,0.218871621748174,"up",1.41051992572795
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",15837101.81,15314918.42,15628756.39,13281673.04,12986290.01,23.6467097751423,23.8943130019493,-0.247603226806962,0.00374793737204636,0.166592669500433,"stable",1.53233317402842
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11114190.53,10288348.42,9304294.88700001,6100591.147,8391945.086,22.7705457113133,23.2832910011302,-0.512745289816952,0.244343098604656,0.315464737249969,"stable",1.29161769048688
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,81583167.2899999,112349819.2,45254428.1499999,35301775.52,26623771.73,24.869724521946,26.1522487916833,-1.28252426973731,0.0644240157893793,0.242554126162155,"stable",1.26958778856372
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",2447876.774,1965091.112,1755948.17,1054898.067,1149572.327,20.0706689886528,20.9576943697876,-0.88702538113483,0.014414745715628,0.197923873393038,"down",1.45561034962736
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,31278496.07,23983968.31,28335855.32,18132049.85,13527320.66,23.9007057379419,24.7234534241804,-0.822747686238493,0.103851727207533,0.266298971115586,"stable",1.41367898756786
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,32813851.29,28888116.71,35223936.39,28818719.87,19798154.45,24.5096827658688,24.940609073485,-0.430926307616254,0.340410824314771,0.339319264245985,"stable",1.14059883170934
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1753294.56,1410573.317,1747469.495,1445801.308,1523286.836,20.5010970336785,20.635441009394,-0.134343975715485,0.326959136529835,0.333395909751022,"stable",0.764026929858218
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",2164085.817,2311299.12,2281691.561,2429590.361,2308264.423,21.1753293649294,21.1024237266912,0.0729056382382076,0.250017566463405,0.316682071997066,"stable",1.03987958137208
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",22156684.67,16452000.13,10422979.45,8753824.833,9167422.68499999,23.0947834239374,23.8954209143617,-0.800637490424243,0.125544821598447,0.276391983266385,"stable",1.16064083731303
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,19873338.54,15635596,12887725.98,9543173.851,10687562.65,23.2677336327191,23.920718727722,-0.652985095002812,0.0541685979699442,0.23575786060212,"stable",1.3058269759139
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",172151.8818,166664.7077,154753.1704,157275.3971,155381.4432,17.254194085192,17.3265069924531,-0.0723129072611606,0.250690591579042,0.316823405338951,"stable",0.894424375799574
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",285071602.5,261687795.1,245885788.2,215261391.1,249520753.1,27.7880494569218,27.9744778669899,-0.186428410068093,0.290509280906973,0.324190350482337,"stable",1.07108142176413
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",31529821,36422642.78,37640439.71,8533621.56100001,7109132.91699999,22.8929844401834,25.0647753533263,-2.17179091314297,0.00866242169409622,0.180696496206342,"down",1.54035326967606
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,20013303.59,20219787,26437339.57,21916978.31,14073061.82,24.065989240227,24.3932647093134,-0.327275469086459,0.482028992855663,0.391626794875025,"stable",0.8411561730432
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",8407863.652,8217405.64300001,9331323.92399999,6090151.4,8542715.32000001,22.7821549693677,23.0424032505781,-0.260248281210441,0.474183057882053,0.388707694944085,"stable",0.943086901926425
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,519595.137200001,1076969.002,32260189.95,29913867.28,43900511.6,25.1110227578848,21.3229417653367,3.78808099254818,0.172556697746723,0.294700179621523,"stable",1.04918714637111
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",3111154.074,7965785.798,3911596.186,5125641.31,5438527.937,22.332042933657,22.1312432261183,0.200799707538675,0.672267605200549,0.470968643682654,"stable",0.332336807408311
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",4848699.079,5077378.04399999,5897865.017,5048122.31099999,6847936.042,22.4872766159282,22.3255266379838,0.161749977944346,0.593996961479318,0.440276871362046,"stable",0.66259380958056
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",8412987.96000001,11086377.24,9051890.33399999,10219900.62,8922304.49599999,23.186931392705,23.1720863977378,0.0148449949672411,0.929490809752661,0.551745131946202,"stable",0.0779715233041766
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",10810324.24,17112026.52,11658337.79,16458162.82,15867843.92,23.9459513705032,23.6230908398539,0.322860530649315,0.255043370509798,0.317722407672913,"stable",0.890563628693806
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",4318186.34,4243713.766,4916674.69600001,4236043.87200001,4493286.682,22.0568128909298,22.0960471547861,-0.0392342638562511,0.655244268097582,0.46458326809709,"stable",0.370147348841371
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,4251843.845,3846849.469,4148801.737,4052972.334,4179937.1,21.9727993493864,21.9597221375934,0.013077211793,0.807308697439624,0.516692157052014,"stable",0.198404197054041
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",5781588.19900001,5527965.61,4457823.135,3485277.286,6808622.08999999,22.215886719096,22.3164198605962,-0.100533141500193,0.870151651739758,0.535379485253088,"stable",0.228277899245091
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",2759202.767,2644210.322,1897072.762,1942194.483,1563881.368,20.7329779447957,21.1951897123538,-0.462211767558088,0.145962397362034,0.283589741079385,"stable",1.13242359655946
"N-Sulfo-glucosamine sodium salt","Com_2046_neg","N-Sulfo-glucosamine sodium salt","C6 H12 N Na O8 S",281.01809,1.539,280.01081,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses",18179104.33,25732274.5,15505180.48,8509409.83699999,9649335.524,23.11131290777,24.2063668054515,-1.09505389768149,0.0250483422666021,0.211880825021979,"down",1.41174470651624
"D-Mannitol 1-phosphate","Com_2098_neg","D-Mannitol 1-phosphate","C6 H15 O9 P",262.04852,5.253,261.04124,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",5704305.515,5768800.349,6810744.239,7482016.19600001,8503542.47099999,22.9273141014636,22.5342802504356,0.393033851027958,0.0661394507726125,0.243515825380415,"stable",1.35263860896725
"Dantron","Com_2109_neg","Dantron","C14 H8 O4",240.04156,1.678,239.03429,"Full match","No results","No results","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones",19201706.02,35227420.86,32161524.01,21504070.12,36836005.22,24.7463598444617,24.7345863713198,0.0117734731418793,0.982466111597964,0.565411254931208,"stable",0.0231238111297287
"LPE O-20:1","Com_2122_neg","LPE O-20:1","C25 H52 N O6 P",493.3533,11.314,492.34602,"No results","Full match","No results",NA,NA,NA,NA,14590363.19,12203326.16,9188113.34000001,10059057.71,11486354.15,23.3577047216812,23.4902069239166,-0.132502202235365,0.587256376172505,0.437466344318688,"stable",0.436415263759168
"alpha-Ketoglutaric acid","Com_2138_neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02158,1.682,145.0142,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",14972582.38,42585073.08,40641214.94,47426861.39,39042440.02,25.3588704723682,24.8187014731462,0.540168999222033,0.388756433088696,0.358932104255371,"stable",0.676021030049534
"ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","Com_2167_neg","ethyl 2-cyano-3-(tetrahydro-3-thiophenylamino)acrylate","C10 H14 N2 O2 S",226.07927,6.36,225.07199,"Invalid mass","No results","No results",NA,NA,NA,NA,198386.9782,192223.3349,209115.5944,198794.7775,1589248.009,19.1004165907117,17.6081076301631,1.49230896054867,0.501471030207321,0.399130608225663,"stable",0.945874936336429
"LPC 12:0","Com_2231_neg","LPC 12:0","C20 H42 N O7 P",485.27585,7.817,484.26858,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1794528.342,1658226.783,1704271.822,1582043.398,1553167.837,20.5800700258955,20.7123690663859,-0.132299040490437,0.0453166862549607,0.227921396766514,"stable",1.34122806889282
"(±)9(10)-DiHOME","Com_2268_neg","(±)9(10)-DiHOME","C18 H34 O4",296.23495,8.245,295.22767,"Invalid mass","No results","No match",NA,NA,NA,NA,6281130.302,5980161.37099999,7744632.314,7357475.095,7224141.51899999,22.7975870237078,22.6597036894734,0.137883334234399,0.351060306645233,0.34390312726049,"stable",0.734345478720716
"LPE O-18:1","Com_2298_neg","LPE O-18:1","C23 H48 N O6 P",465.32196,10.113,464.31468,"No results","Full match","No results",NA,NA,NA,NA,16451306.38,15174520.76,11289244.48,6570274.458,7963611.90900001,22.7862568457793,23.7517640122412,-0.96550716646189,0.0220752295381435,0.209187669530595,"down",1.42656395692602
"LNAPE 18:1/N-18:0","Com_2336_neg","LNAPE 18:1/N-18:0","C41 H80 N O8 P",745.56285,11.813,744.55553,"No results","Full match","No results",NA,NA,NA,NA,35384119.88,27689026.07,28207426.44,22925878.51,27167362.13,24.5729224188672,24.8496604606786,-0.276738041811402,0.212939501668648,0.307777125802521,"stable",1.0520669536214
"Glu-Thr","Com_2337_neg","Glu-Thr","C9 H16 N2 O6",248.10076,1.512,247.09349,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1389429.834,2539165.011,2954955.484,2579886.297,3666547.621,21.5524334495796,21.058896412836,0.493537036743604,0.323332281671309,0.332343922528271,"stable",0.804874998135062
"4-Pyridoxic acid","Com_2378_neg","4-Pyridoxic acid","C8 H9 N O4",183.05321,5.789,164.03537,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",11823333.21,11445304.26,11029138.53,8723407.578,8668816.91700001,23.051932025015,23.4460675771374,-0.39413555212235,0.00455672694490204,0.166592669500433,"down",1.52937675355302
"Perfluorooctanoic acid (PFOA)","Com_2381_neg","Perfluorooctanoic acid (PFOA)","C8 H F15 O2",413.97419,6.973,412.96691,"Full match","No results","No results","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl carboxylic acid and derivatives",965091.7674,7110082.937,8881645.48999999,11838806.74,8545531.657,23.2618795803819,21.9080457063624,1.3538338740195,0.314029720240864,0.329566839903062,"stable",0.787148540338991
"3-Methylindole","Com_2444_neg","3-Methylindole","C9 H9 N",131.07355,5.655,176.07175,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-methylindoles",2840960.606,2714602.854,1979161.572,1999805.841,1598463.276,20.7698413374716,21.2422383586297,-0.472397021158145,0.142857228020735,0.282606112729248,"stable",1.15614759356294
"1-(4-Methoxyphenyl)-2-propanone","Com_2453_neg","1-(4-Methoxyphenyl)-2-propanone","C10 H12 O2",164.08376,6.451,163.0765,"No results","No results","Full match",NA,NA,NA,NA,1212644.684,1239957.79,1500786.71,807644.9319,1045262.048,19.8093974454315,20.3229575216348,-0.513560076203287,0.168054471071712,0.292941897598717,"stable",1.31037198265946
"PE 18:1_20:4","Com_2495_neg","PE 18:1_20:4","C43 H76 N O8 P",765.53188,8.851,764.52461,"No results","Full match","No results",NA,NA,NA,NA,4151660.528,35441551.06,24863541.41,26673932.23,12940746.76,24.1471723604522,23.8772413077242,0.269931052728005,0.821177907295557,0.520944514610942,"stable",0.185094173971424
"Cer 18:1;2O/16:0","Com_2498_neg","Cer 18:1;2O/16:0","C34 H67 N O3",537.51207,11.073,582.51029,"No results","Full match","No results",NA,NA,NA,NA,11624686.73,11133269.29,16559079.52,10347250.29,9070954.10299999,23.2077834852895,23.6200605375722,-0.412277052282679,0.143273180689917,0.282739945479482,"stable",1.08086778402078
"2'-O-Methyladenosine","Com_2553_neg","2'-O-Methyladenosine","C11 H15 N5 O4",281.11099,1.476,280.10372,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",3100954.738,2537710.507,6149943.50599999,3408773.133,4812569.129,21.9495984942469,21.7971729450316,0.152425549215295,0.762187233304714,0.502319875427542,"stable",0.25277207133011
"LPI 18:3","Com_2569_neg","LPI 18:3","C27 H47 O12 P",594.28093,8.911,593.27365,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",260525.2566,365740.1063,406175.9749,639331.120999999,830034.6105,19.4745078829201,18.3677561367769,1.1067517461432,0.0317438532511958,0.216240768497312,"up",1.41452526845943
"LPE 20:3","Com_2589_neg","LPE 20:3","C25 H46 N O7 P",503.30145,9.58,502.29418,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",3984244.416,2870337.915,2671703.949,3220985.597,5045986.487,21.9428878455178,21.5759975344878,0.366890311029941,0.445496436688654,0.37855449066464,"stable",0.83234043283355
"LPG 22:6","Com_2640_neg","LPG 22:6","C28 H45 O9 P",556.28018,9.337,555.2729,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",3733341.068,3839134.248,2761487.856,2101553.872,2838748.941,21.2199244204583,21.7004666053397,-0.480542184881337,0.212284834892586,0.307597261456849,"stable",1.14243928962412
"LPI 14:0","Com_2682_neg","LPI 14:0","C23 H45 O12 P",544.26501,8.682,543.25773,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",2147776.534,1784794.282,2408075.043,2150926.946,2491774.95,21.1426347193754,21.0003959172653,0.142238802110089,0.452931209061772,0.380896399828891,"stable",0.641173495623622
"LPG 16:0","Com_2704_neg","LPG 16:0","C22 H45 O9 P",484.28033,9.981,483.27305,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",9263750.08900001,8944106.98900001,5974809.03600001,4417119.701,6629653.04100001,22.3675882186729,22.9153773635459,-0.547789144873015,0.26624533225504,0.319922147791398,"stable",1.05393795858128
"LPA 16:0","Com_2748_neg","LPA 16:0","C19 H39 O7 P",410.24362,9.537,409.23634,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",628762.248900001,658399.2684,526921.1291,513195.4453,691540.129500001,19.1843011436933,19.1993285960055,-0.0150274523122178,0.95704586853527,0.55895909023893,"stable",0.0657937605131987
"L-Malate","Com_2796_neg","L-Malate","C4 H6 O5",134.02154,4.985,133.01426,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3111386.694,9011066.02499999,9909674.53800001,6414956.04899999,6451505.697,22.6171062127944,22.6375996275442,-0.020493414749879,0.972959749219531,0.563020570635486,"stable",0.0265149885211372
"LPS 19:0","Com_2815_neg","LPS 19:0","C25 H50 N O9 P",539.32245,10.517,538.31517,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",1449215.129,1084956.289,953601.592499999,3507768.619,3289348.822,21.6957463670371,20.1263576500837,1.56938871695334,0.00925184927085623,0.182151556960469,"up",1.50121416625716
"LPC 14:1","Com_2828_neg","LPC 14:1","C22 H44 N O7 P",511.29099,8.1,510.28372,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",530648.2763,778079.206600001,561676.4241,967132.292099999,804846.522199999,19.7508539472473,19.2287778764798,0.522076070767486,0.0960906890929402,0.261829767106447,"stable",1.20665401891761
"2-(3,4-dimethoxyphenyl)ethanamine","Com_2843_neg","2-(3,4-dimethoxyphenyl)ethanamine","C10 H15 N O2",181.1103,6.583,180.10302,"No results","No results","Full match",NA,NA,NA,NA,4687498.577,2982632.584,5158402.824,2683857.077,4141499.011,21.6687990143791,21.9890115564432,-0.32021254206413,0.498100662110739,0.39779599595841,"stable",0.661679315007489
"2-deoxyglucose-6-phosphate","Com_2855_neg","2-deoxyglucose-6-phosphate","C6 H13 O8 P",244.03475,1.466,243.02748,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Monoalkyl phosphates",802223.2494,779396.0504,859602.058800001,1143610.584,889165.953100001,19.9436288141683,19.6329835866261,0.310645227542164,0.325627097190743,0.333011497379757,"stable",1.20300528759707
"Guanosine 5'-diphospho-??-L-fucose","Com_2877_neg","Guanosine 5'-diphospho-??-L-fucose","C16 H25 N5 O15 P2",589.08285,4.455,588.07558,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine nucleotide sugars","Purine nucleotide sugars",20778036.4,19443646.11,21945984.58,23416239.45,19438157.15,24.3466970908272,24.3029350303576,0.0437620604696853,0.802234353414445,0.515117417520888,"stable",0.320738241685785
"6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","Com_2887_neg","6-(2-furyl)-2-hydroxy-4-(2-thienyl)nicotinonitrile","C14 H8 N2 O2 S",268.02732,5.069,267.01994,"Invalid mass","No results","No results",NA,NA,NA,NA,8681342.62800001,7935454.366,9279389.71300001,8289586.399,7839999.767,22.9426454358688,23.0383222155082,-0.0956767796394082,0.302392148069417,0.326478960283016,"stable",0.813509891202614
"Ala-trp","Com_2959_neg","Ala-trp","C14 H17 N3 O3",275.12633,6.075,136.55589,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",401365.6578,913721.943400001,1940874.228,1363882.397,2992685.811,20.9461486070823,19.768076177619,1.17807242946334,0.270843363778569,0.320780578601009,"stable",0.904179402153637
"Prostaglandin A2","Com_3022_neg","Prostaglandin A2","C20 H30 O4",334.21459,7.269,333.20739,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1756915.891,1779366.043,1842307.814,1683691.151,7041445.371,21.7153181277232,20.7735427628086,0.941775364914644,0.52908437973233,0.411985187453849,"stable",0.894319413935638
"Asaraldehyde","Com_3043_neg","Asaraldehyde","C10 H12 O4",196.07338,6.579,195.06611,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives",11214078.54,13444550.24,12689307.1,10960194.27,10172787.67,23.3319908884322,23.5654786194355,-0.233487731003347,0.0891328724615349,0.257318886436537,"stable",1.21231260967088
"Ala-Leu","Com_3108_neg","Ala-Leu","C9 H18 N2 O3",202.1318,5.185,201.12453,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4703841.74100001,4588044.192,5423278.42000001,4572207.06599999,5083276.516,22.2008932959532,22.2218632515781,-0.0209699556249419,0.858988615875521,0.532166263984028,"stable",0.165836432613312
"N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","Com_3145_neg","N1-[5-(3,5-dimethylpiperidino)-4-fluoro-2-nitrophenyl]acetamide","C15 H20 F N3 O3",309.14812,5.51,308.14084,"Full match","No results","No results",NA,NA,NA,NA,167422.9874,155357.3819,172043.6544,159585.0708,151497.794,17.2464517144285,17.3302615078508,-0.0838097934223825,0.246063582515338,0.315838762245013,"stable",0.941236770558541
