"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Phosphoethanolamine","Com_742_pos","Phosphoethanolamine","C2 H8 N O4 P",141.01934,1.338,142.02664,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",92827135.02,107939162.7,103945269.8,121673374.8,107686651.5,91361685.0700001,35971387.47,93317731.7199999,26.3123565503702,26.5949784278491,-0.282621877478896,0.421835541992963,0.374286196483313,"stable",0.530362244342608
"2-(tert-butyl)-1,3-thiazolane-4-carboxylic acid","Com_803_pos","2-(tert-butyl)-1,3-thiazolane-4-carboxylic acid","C8 H15 N O2 S",189.08277,5.553,190.09004,"Full match","No results","No results",NA,NA,NA,NA,841296.946300001,799267.052300001,2173472.946,2006157.156,3103423.668,4966620.748,716160.552900001,681014.6794,20.7145030966082,20.1140481276546,0.600454968953546,0.447806513855472,0.383307949806922,"stable",0.563348520067143
"D-Alanyl-D-alanine","Com_813_pos","D-Alanyl-D-alanine","C6 H12 N2 O3",160.08507,1.496,161.09233,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",60137291.27,71659802.76,44399799.38,35511149.25,41468446.85,25516331.81,34196610.45,4255988.412,24.4081219582579,25.7801557033035,-1.37203374504555,0.0870529441031156,0.182166325391737,"stable",1.12351721330628
"PS 16:0_16:1","Com_814_pos","PS 16:0_16:1","C38 H72 N O10 P",733.49002,10.191,734.49733,"No results","Full match","No results",NA,NA,NA,NA,57941947.16,56023347.4999999,65020952.3999999,15949878.37,9783499.566,6207258.415,14209148,15037747.14,23.4633775743024,25.8273436794157,-2.36396610511325,0.000495384454977252,0.0258068941453603,"down",1.88081563046253
"Benzamidine","Com_822_pos","Benzamidine","C7 H8 N2",120.0692,4.926,279.10156,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",8014351.998,7090450.48000001,10010081.33,19234219,35540800.76,68804397.4100001,26219561.68,20675643.66,24.8523422684618,22.9821835546732,1.87015871378862,0.00312590152823784,0.0405218161412021,"up",1.71286358406281
"Normorphine","Com_824_pos","Normorphine","C16 H17 N O3",271.12456,5.725,272.13183,"Invalid mass","No results","No results","Alkaloids and derivatives","Morphinans","Not available","Morphinans",8025451.917,6196902.772,10056136.7,8958080.046,9516859.05500001,7757537.71,6996724.005,2474272.146,22.6281600978541,22.9202799785684,-0.292119880714285,0.5030625133644,0.400532063161531,"stable",0.46599046490337
"2-Linoleoyl glycerol","Com_829_pos","2-Linoleoyl glycerol","C21 H38 O4",314.28231,10.402,337.27153,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",31885757.34,24312543.86,22343179.42,23360930.31,15019131.67,4612221.321,3858468.424,9521005.16899999,23.10344042119,24.6249791627971,-1.52153874160704,0.0343805282590857,0.109941459876575,"down",1.36051436974202
"Dihydrothymine","Com_830_pos","Dihydrothymine","C5 H8 N2 O2",128.05872,1.419,129.06599,"Full match","No results","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydropyrimidines",42742948.84,29861322.22,38384670.71,21140778.49,34757438.75,27305887.34,17783823.9,29591531.63,24.5979591156119,25.1249949183259,-0.527035802713982,0.0650289546997228,0.157983331358525,"stable",1.28370205095629
"2-methyl-2,3,4,5-tetrahydro-1,5-benzoxazepin-4-one","Com_839_pos","2-methyl-2,3,4,5-tetrahydro-1,5-benzoxazepin-4-one","C10 H11 N O2",159.06867,5.264,160.07593,"Invalid mass","No results","No results",NA,NA,NA,NA,14460115.17,13674259.76,13858315.8,16957787,19141394.71,28593064.92,19723389.94,25840138.08,24.3662627541542,23.7382612365335,0.628001517620739,0.0104979870952456,0.0603971630261257,"up",1.6063609567678
"D-(+)-Camphor","Com_850_pos","D-(+)-Camphor","C10 H16 O",152.12036,6.017,153.12765,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Bicyclic monoterpenoids",44103534.81,67820766.4200001,54367155.16,46264397.19,65355681.4299999,58459534.52,77822650.9999999,58678824.76,25.8492333629686,25.701948903017,0.147284459951646,0.535561693753457,0.410119812359263,"stable",0.552233397606774
"Guanidineacetic acid","Com_869_pos","Guanidineacetic acid","C3 H7 N3 O2",117.05403,1.354,118.06131,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",42216181.94,43522329.87,32115804.1,57492027.7400001,72786972.3399999,70047635.21,14572335.41,52860503.85,25.4816568242614,25.214441769131,0.267215055130411,0.581220229185463,0.427357527692959,"stable",0.36780619942859
"Oxymatrine","Com_903_pos","Oxymatrine","C15 H24 N2 O2",264.18184,6.086,265.18912,"Invalid mass","No results","No results","Alkaloids and derivatives","Lupin alkaloids","Matrine alkaloids","Matrine alkaloids",2708183.109,3785089.575,3002247.426,1744503.694,6889479.427,4009147.769,7649183.676,2645234.887,21.9174103387021,21.5794671057705,0.33794323293165,0.4674903568431,0.389732548680905,"stable",0.486089155439648
"3-hydroxyquinuclidine-3-carbonitrile hydrochloride","Com_910_pos","3-hydroxyquinuclidine-3-carbonitrile hydrochloride","C8 H12 N2 O",152.09296,1.261,153.10024,"Invalid mass","No results","No results",NA,NA,NA,NA,95824910.7000001,77403853.4599999,81530427.63,87359981.1399999,87526948.4,60274866.06,75056210.54,78782267.46,26.2003164142276,26.3335449047543,-0.133228490526655,0.366088755675473,0.352502056078509,"stable",0.689190837684214
"Epigallocatechin","Com_929_pos","Epigallocatechin","C15 H14 O7",306.07619,4.61,307.08347,"No results","Invalid mass","No results","Phenylpropanoids and polyketides","Flavonoids","Flavans","Epigallocatechins",166619219.6,206927756.5,216860550.7,172772636.2,173538348.7,147937261.2,135133440.5,143964396,27.1972670616919,27.5429079712677,-0.345640909575788,0.0736658328958223,0.168339679264742,"stable",1.47285534770113
"2'-Deoxycytidine","Com_948_pos","2'-Deoxycytidine","C9 H13 N3 O4",227.09081,1.916,228.09806,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",1268069.025,1204779.41,1174232.016,1142813.183,1166436.959,2719022.47,1809273.303,1385751.438,20.5683415400207,20.2126085011442,0.355733038876568,0.203971380921819,0.271580250569083,"stable",0.840890162849493
"Arachidonoyl amide","Com_964_pos","Arachidonoyl amide","C20 H33 N O",303.25422,9.941,304.26149,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","Fatty amides",162739414.1,110899288,93203684.5099999,84947341.9699999,90118806.85,55381663.9200001,117959039.9,144549021.2,26.4817979507492,26.8255156585396,-0.343717707790461,0.347948408766322,0.344589928838779,"stable",0.729498889853438
"(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine","Com_981_pos","(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine","C11 H22 N2 O2",214.1686,5.442,215.17587,"No results","No results","Full match","Organic nitrogen compounds","Organonitrogen compounds","Cyclohexylamines","Cyclohexylamines",1011810.465,2889555.724,957340.872500001,934068.2144,883656.572300001,794962.3938,898556.2553,907806.934800001,19.7512194041988,20.4265323585885,-0.675312954389643,0.32231901546284,0.332609843655288,"stable",1.16810190214543
"2-(4-chlorophenyl)-4-(4-nitrophenyl)-1,3-thiazole","Com_989_pos","2-(4-chlorophenyl)-4-(4-nitrophenyl)-1,3-thiazole","C15 H9 Cl N2 O2 S",316.00878,1.298,317.01603,"Full match","No results","No results",NA,NA,NA,NA,578666.172,499804.2814,529722.1117,510572.5109,552288.9606,479099.404,485892.6443,470522.6121,18.9281936392079,19.0294172409292,-0.101223601721287,0.246866404372633,0.291781193314744,"stable",1.00085870204246
"3-hydroxy-2-octylpentanedioic acid","Com_1006_pos","3-hydroxy-2-octylpentanedioic acid","C13 H24 O5",242.15215,6.718,243.15969,"Invalid mass","No results","No results",NA,NA,NA,NA,1118354.487,889800.3401,995512.5031,929946.238899999,907747.997100001,815153.119399999,962598.701200001,1071812.025,19.8327254180793,19.9270493860662,-0.0943239679868384,0.458966088238186,0.386991876559488,"stable",0.660147485920886
"PE O-16:1_22:6","Com_1010_pos","PE O-16:1_22:6","C43 H74 N O7 P",747.52081,9.092,748.5281,"No results","Full match","No results",NA,NA,NA,NA,209049049.4,199542177.4,208254155.4,272131458.5,233212490.5,131049359.1,172254320.4,147265122.3,27.4552277703977,27.6150515884817,-0.159823818084014,0.467230143617041,0.389649801791289,"stable",0.477354427481268
"NADH","Com_1032_pos","NADH","C21 H29 N7 O14 P2",665.12533,2.789,333.56994,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",139581738.8,160539470.2,156989863,223189640.9,176269095.1,255031449.2,221874698.9,244337548.3,27.7284938652026,27.1803279779092,0.548165887293475,0.00266839381340103,0.0397892651032875,"up",1.72312062476662
"PC O-16:0","Com_1065_pos","PC O-16:0","C24 H50 N O7 P",495.33312,9.312,496.34036,"No results","Full match","Full match",NA,NA,NA,NA,16584342.13,14543673.77,8688627.13000001,8451730.222,9173222.95800001,7804593.68900001,9871600.74500001,20664281.06,23.3142386216507,23.6093012213102,-0.295062599659484,0.474277201458332,0.391870792661099,"stable",0.580842420452902
"Prolylleucine","Com_1066_pos","Prolylleucine","C11 H20 N2 O3",228.14769,2.05,229.15497,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",122340448.1,136855948.4,145606588.6,124215566.6,133973705.4,124102170.7,94116252.23,102123578.1,26.7732559544835,27.0039698410108,-0.230713886527326,0.105957157781697,0.198810556208544,"stable",1.11872891176539
"(S)-10-Hydroxycamptothecin","Com_1070_pos","(S)-10-Hydroxycamptothecin","C20 H16 N2 O5",364.10562,2.249,365.11288,"Full match","No results","No results","Alkaloids and derivatives","Camptothecins","Not available","Camptothecins",2878470.407,16624313.21,1568759.008,2694209.71,3011311.404,980761.923600001,1105237.952,922494.684600001,20.5356082581216,22.0082848890027,-1.47267663088102,0.283132151284468,0.312214181768389,"stable",1.11245088719007
"1-adamantyl piperidino sulfoxide","Com_1083_pos","1-adamantyl piperidino sulfoxide","C15 H25 N O S",267.16598,6.194,268.17327,"Full match","No results","No results",NA,NA,NA,NA,2133710.88,4528148.519,3597702.608,1137091.204,2789590.715,969327.305700001,1627941.493,324907.726,20.0718901784697,21.6380225415634,-1.56613236309364,0.0416902445825133,0.12244503024778,"down",1.32356426719061
"7-Ketocholesterol","Com_1094_pos","7-Ketocholesterol","C27 H44 O2",400.33463,10.101,401.34191,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives",1602925.005,1439039.818,597865.3256,1860244.903,1944161.11,893850.6285,3507832.737,2458054.409,20.8917371332611,20.0861371982765,0.805599934984677,0.219242402674027,0.279332622955735,"stable",1.03450773201866
"Estrone","Com_1100_pos","Estrone","C18 H22 O2",287.19216,8.266,288.19944,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",44165248.85,38367515.97,44422225.49,29307434.92,46204244.86,23496556.84,34741247.07,13118624.16,24.6894981503229,25.3315228893956,-0.642024739072681,0.103726516880714,0.196494530795036,"stable",1.07388981860689
"Cytidine 5'-monophosphate (hydrate)","Com_1142_pos","Cytidine 5'-monophosphate (hydrate)","C9 H14 N3 O8 P",345.03426,1.367,346.04149,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",15613252.49,71873531.64,16617060.11,79381037.4299999,19502932.53,19451304.28,18939633.81,15238060.49,24.5417846855999,24.6604622793678,-0.118677593767877,0.895290835658393,0.53478827203104,"stable",0.124121049152834
"2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid","Com_1143_pos","2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid","C10 H18 O4",224.10269,6.2,225.10996,"Invalid mass","No results","No results",NA,NA,NA,NA,37243308.38,36467689.23,38025091.04,16095435.48,37789834.13,31652102.59,39937732.94,35408290.54,24.8712548183332,25.1503472388326,-0.279092420499371,0.308918891783404,0.325936685194395,"stable",0.670976321833556
"7-methyl-3-nitroimidazo[1,2-a]pyridine","Com_1170_pos","7-methyl-3-nitroimidazo[1,2-a]pyridine","C8 H7 N3 O2",199.0338,1.269,200.04107,"Invalid mass","No results","No results",NA,NA,NA,NA,6811266.545,6669768.63800001,7099502.25399999,10239820.08,11787475.94,18586746.04,13124141.79,13258323.88,23.6464648443785,22.709327798951,0.937137045427477,0.00232393802543176,0.0390739100098099,"up",1.78761525081366
"Norfenefrine","Com_1173_pos","Norfenefrine","C8 H11 N O2",153.07693,1.245,154.08422,"Invalid mass","No results","No results","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids",74267347.1499999,57223256.09,62080345.23,65943569.43,65666021.95,43641118.68,57141670.68,54648526.4199999,25.7588552512981,25.9346520701121,-0.175796818814081,0.307599884638478,0.325263600205303,"stable",0.790476507973824
"4-Guanidinobutyric acid","Com_1176_pos","4-Guanidinobutyric acid","C5 H11 N3 O2",145.08532,1.818,146.0926,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",37852641.44,38784356.22,43778955.25,50524299.36,55309585.0499999,45324627.9,34149730.28,58656086.7299999,25.5152880868041,25.2555321171779,0.259755969626163,0.143839113364499,0.232802114667586,"stable",0.975013695062416
"3-(4-pyridylmethylidene)chroman-4-one","Com_1218_pos","3-(4-pyridylmethylidene)chroman-4-one","C15 H11 N O2",237.0826,5.931,238.08987,"Invalid mass","No results","No results",NA,NA,NA,NA,14430198.04,13100917.83,18241096.16,12589132.64,18496782.89,18663485.49,13512451.05,4790353.037,23.5519296595277,23.848813802744,-0.296884143216342,0.475983779360881,0.392402485787576,"stable",0.47970235322184
"N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide","Com_1243_pos","N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide","C13 H13 Cl N4 O",276.07664,6.359,277.08392,"Full match","No results","No results",NA,NA,NA,NA,10049545.9,8564380.62000001,9026421.008,12421922.58,8722096.47699999,7582599.80399999,8372823.46599999,10183520.7,23.1507811358744,23.1320890331924,0.0186921026819498,0.899616840666069,0.535987314614217,"stable",0.0879134976016667
"Nonadecanoic acid","Com_1265_pos","Nonadecanoic acid","C19 H38 O2",298.28786,7.464,316.32169,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",67678197.4000001,4687809.079,35489531.33,36201715.16,37746555.65,3239867.738,23728525.41,12692251.86,24.000892740844,24.4178534591133,-0.416960718269308,0.773157653092244,0.49817816815196,"stable",0.27620132297271
"N1-prop-2-ynyl-2,5-di(2,2,2-trifluoroethoxy)benzene-1-sulfonamide","Com_1281_pos","N1-prop-2-ynyl-2,5-di(2,2,2-trifluoroethoxy)benzene-1-sulfonamide","C13 H11 F6 N O4 S",391.02725,1.579,392.03452,"Invalid mass","No results","No results",NA,NA,NA,NA,27333997.07,16444989.14,25352517.16,26774292.04,36264240.92,10374083.45,14568693.96,17725366.91,24.1937100642037,24.4236544946741,-0.229944430470354,0.579026790313075,0.42643248725699,"stable",0.402185160470515
"2-Phenylacetamide","Com_1316_pos","2-Phenylacetamide","C8 H9 N O",135.06633,1.227,153.10016,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetamides","Phenylacetamides",95824910.7000001,77403853.4599999,81530427.63,87359981.1399999,90002993.8599999,60274866.06,75056210.54,78782267.46,26.2083655581928,26.3335449047543,-0.125179346561488,0.402343158081528,0.367069116653099,"stable",0.633953985297244
"Ciprostene","Com_1319_pos","Ciprostene","C22 H36 O4",381.28839,7.506,382.29561,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",7591735.011,11908736.66,6904958.47700001,5330371.981,7138436.32799999,2238359.491,5201813.247,6009778.879,22.2072910845393,23.0269055168647,-0.819614432325356,0.074441579021817,0.169209992095402,"stable",1.23529622414513
"PC O-16:1","Com_1360_pos","PC O-16:1","C24 H48 N O7 P",493.31749,8.741,494.3247,"No results","Full match","Full match",NA,NA,NA,NA,5462080.31300001,8885013.98399999,5379686.02000001,2888626.408,7163313.603,4582147.15,7505380.082,13316609.54,22.5735914821632,22.6076840853066,-0.0340926031434314,0.940761145331217,0.54708976389401,"stable",0.0531165702701692
"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol","Com_1364_pos","7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol","C15 H28 O2",257.23586,8.427,258.24315,"Invalid mass","No results","No results",NA,NA,NA,NA,12344433.23,14580112.88,7745718.548,8122487.722,8055332.04100001,6805315.64799999,8079587.579,14662507.47,23.068942446512,23.4132744887674,-0.344332042255378,0.360105824508741,0.349941470928588,"stable",0.797364901758124
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid","Com_1397_pos","(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid","C11 H20 O4",216.13648,6.405,234.17036,"Full match","No results","Full match",NA,NA,NA,NA,5640190.645,4704049.845,4494384.61,4644397.419,4494671.691,4546893.731,5461464.60599999,4148506.443,22.145662243798,22.230825524306,-0.0851632805080129,0.51760156844081,0.404671518997821,"stable",0.585858627021887
"FNH","Com_1403_pos","FNH","C19 H24 N6 O5",208.08842,2.347,209.0957,"Invalid mass","No results","No results",NA,NA,NA,NA,1896513.395,12135571.24,1905805.165,1573363.134,1734093.104,1350565.895,1379974.711,1283251.722,20.4727771895626,21.7498753402751,-1.27709815071258,0.287897184840821,0.314842451614596,"stable",1.2384279119557
"UDP","Com_1404_pos","UDP","C9 H14 N2 O12 P2",404.0026,1.999,405.00988,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",170702292.2,164934808.2,166788002.4,170165123.1,169665477,175276644.6,192824982.4,167454971.5,27.381490233586,27.3192227078609,0.0622675257251757,0.176389224689564,0.255651768611557,"stable",0.899984982063743
"N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea","Com_1422_pos","N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea","C23 H32 N4 O",380.25449,7.487,381.26176,"Invalid mass","No results","No results",NA,NA,NA,NA,664590.3675,2188592.691,685997.1944,1022934.592,696003.081399999,439767.1326,899626.9287,735500.6725,19.4773462701811,19.9305070210938,-0.453160750912627,0.515349740812243,0.40404019921523,"stable",0.695793923948217
"Octopine","Com_1474_pos","Octopine","C9 H18 N4 O4",246.13314,1.994,247.14042,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",4318564.705,4808474.268,5374400.407,9489340.60100001,11414334.25,37740687.94,7408509.258,23913725.89,23.8247849215117,22.1989802073706,1.62580471414108,0.0193275751994038,0.0837580096626728,"up",1.49394972125551
"GNH","Com_1483_pos","GNH","C12 H18 N6 O5",163.06688,5.016,164.07416,"Invalid mass","No results","No match",NA,NA,NA,NA,2143596.613,9651879.426,1357338.625,952634.426199999,936666.7353,1663533.8,1650867.345,1904001.186,20.3759909854167,21.5354432426164,-1.15945225719971,0.30611418858603,0.3245018760947,"stable",1.13116228816195
"Noroxycodone-d3","Com_1495_pos","Noroxycodone-d3","C17 H16 [2]H3 N O4",304.15013,5.261,305.15741,"Full match","No results","No results",NA,NA,NA,NA,15516804.54,22314977.38,23372101.28,21858993.25,22358343.9,22133124,21481688.82,25377835.4,24.4298814284545,24.2590404230083,0.170841005446221,0.458979380269145,0.386996198818649,"stable",0.851571152807101
"4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one","Com_1544_pos","4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one","C16 H14 Cl N5 O2",343.0842,2.054,344.09148,"Full match","No results","No results",NA,NA,NA,NA,4391582.637,4754893.457,6199234.14,12471845.56,11742454.49,13256447.44,8871771.75899999,14113514.01,23.5097915775516,22.2703165562472,1.2394750213044,0.00216145117189754,0.0386690466645076,"up",1.87008362974746
"5-OxoETE","Com_1549_pos","5-OxoETE","C20 H30 O3",318.21754,8.119,319.22482,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",12511770.17,13051413.55,15501177.68,1815012.216,16311419.89,14013724.16,32454164.48,20725066.01,23.5496075145981,23.7001199347268,-0.150512420128642,0.845463025917326,0.52051699788342,"stable",0.127364907481926
"PC O-32:2","Com_1571_pos","PC O-32:2","C40 H78 N O7 P",715.55175,10.402,716.5589,"No results","Full match","No results",NA,NA,NA,NA,57075005.18,91808870.3399999,84081579.24,114942510.5,87051298.14,101916583.4,66820307.77,60429417.88,26.3194088558845,26.1812574648395,0.138151391045032,0.637777551137731,0.450220263743688,"stable",0.393498228440782
"5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one","Com_1597_pos","5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one","C13 H13 N O3",231.08758,5.613,232.09485,"Invalid mass","No results","No results",NA,NA,NA,NA,21129200.9,24581332.07,21790832.71,21898169.89,12132959.75,11773010.84,41729989.62,47217621.07,24.4426236791737,24.4203375416336,0.022286137540096,0.961015792534784,0.552362431910477,"stable",0.0319794512970046
"4-(Diethylamino)benzaldehyde","Com_1611_pos","4-(Diethylamino)benzaldehyde","C11 H15 N O",177.11557,6.481,178.12287,"Full match","No results","No results",NA,NA,NA,NA,6805732.017,7726886.18,6537607.20100001,6997777.62099999,10687022.23,7074367.995,6159041.472,6703431.20500001,22.8145469068859,22.7400352992205,0.0745116076653822,0.651188756380595,0.455376349302775,"stable",0.312804864133021
"SM 8:0;2O/26:0","Com_1627_pos","SM 8:0;2O/26:0","C39 H81 N2 O6 P",704.58393,8.862,705.59121,"No results","Full match","No results",NA,NA,NA,NA,125132669.1,125718351.6,129537055.4,319538018.1,270481750.2,181536536.5,201552712.8,180971053.6,27.7431637476253,26.9177642947353,0.825399452889965,0.00730020039625016,0.0518593085466949,"up",1.67074784450482
"L-Alanyl-L-proline","Com_1628_pos","L-Alanyl-L-proline","C8 H14 N2 O3",186.10083,1.408,187.10811,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",845061.211000001,811956.2162,869959.916200001,825185.081299999,824084.155800001,841111.635500001,799532.761100001,861345.217999999,19.6627515595212,19.68344271063,-0.020691151108764,0.578408697083963,0.42617127840312,"stable",0.514083062688278
"N-acetyl-D-glucosamine","Com_1662_pos","N-acetyl-D-glucosamine","C8 H15 N O6",221.09023,1.476,222.09745,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",966670.840299999,1298129.822,1670396.223,1307837.378,1286497.381,1915009.025,1286755.827,1268888.648,20.4106259010349,20.2874757871184,0.123150113916477,0.662082352335598,0.45949386693125,"stable",0.433377363405094
"D-(+)-Maltose","Com_1673_pos","D-(+)-Maltose","C12 H22 O11",364.09863,1.395,365.1059,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","O-glycosyl compounds",24439419.02,30677259.07,827371.149899999,1024844.367,16662259.03,16823735.74,26512968.49,20005244.03,23.3750237211837,23.0238493440912,0.351174377092512,0.864359406756226,0.526031024333716,"stable",0.169533467453802
"PC O-30:0","Com_1675_pos","PC O-30:0","C38 H78 N O7 P",691.55216,10.295,692.55944,"No results","Full match","No results",NA,NA,NA,NA,90325282.3299999,82355726.87,77876596.02,83152366.5499999,73765615.2999999,45448872.8599999,62185388.0999999,61722462.4500001,25.9305609778497,26.3128928843189,-0.382331906469169,0.0599831783213724,0.151304804324038,"stable",1.2234438091207
"2-morpholino-1-phenyl-1-ethanol","Com_1687_pos","2-morpholino-1-phenyl-1-ethanol","C12 H17 N O2",189.11896,6.911,190.12624,"Invalid mass","No results","No results",NA,NA,NA,NA,379939.0684,2263879.376,351095.4193,340112.4948,341580.9359,643392.8949,342068.2564,1249785.561,18.938006948906,19.3557592838654,-0.417752334959374,0.693627459517847,0.471073506338124,"stable",0.410593862087631
"tetranor-12(R)-HETE","Com_1693_pos","tetranor-12(R)-HETE","C16 H26 O3",283.21506,7.145,306.20432,"Invalid mass","No results","No results",NA,NA,NA,NA,15187093.16,18241208.82,14681346.76,11538601.26,12622649.12,9966533.62700001,14072312.17,11723693.69,23.5054833373699,23.9281738029624,-0.422690465592535,0.0232012180944408,0.0907237523588674,"down",1.59472484180038
"Nitrosonornicotine","Com_1695_pos","Nitrosonornicotine","C9 H11 N3 O",177.0923,6.234,178.09958,"Invalid mass","No results","No results","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines",14357768.38,14119015.63,13292126.22,14032679.54,13071608.3,17678041.67,15504579.21,12140838.24,23.7754462734667,23.7301776426527,0.0452686308140038,0.672420412588949,0.463344237800269,"stable",0.283245719018148
"Nicotinic acid","Com_1723_pos","Nicotinic acid","C6 H5 N O2",123.02996,1.238,124.03726,"Invalid mass","No results","No results","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",48932752.4,39111143.59,42532519.22,46515961.29,47298019.91,34589229.51,20634802.68,44158545.95,25.1410168276329,25.3691454855401,-0.228128657907146,0.392237561147579,0.363164734026176,"stable",0.576836464449712
"PC O-32:0","Com_1725_pos","PC O-32:0","C40 H82 N O7 P",719.57656,11.277,720.58383,"No results","Invalid mass","No results",NA,NA,NA,NA,123603712,69175493.1800001,127872566.1,98041782.65,69436463.08,51478762.09,20737852.48,79244237.21,25.7518246775186,26.6183453524136,-0.866520674895032,0.124884180337634,0.216860042742049,"stable",1.06272753303102
"Theobromine","Com_1728_pos","Theobromine","C7 H8 N4 O2",180.06368,1.512,181.07105,"Invalid mass","No match","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",93621055.5100001,95015753.3499999,156008396.1,82462480.15,90288649.1,73701655.3800001,67675354.6300001,67799890.4400001,26.177475261597,26.733013840219,-0.555538578621992,0.137307596236704,0.227559300144026,"stable",1.47350005387475
