"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"LPI 16:0","Com_794_neg","LPI 16:0","C25 H49 O12 P",572.29654,9.866,571.28926,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",7461416.13099999,8581384.326,12220827.65,17705289.9,24858506.66,27746146.49,24.45689916907,23.1355452221785,1.3213539468915,0.00662976329764926,0.27838925679511,"up",1.96704856264315
"15-Deoxy-Δ12,14-prostaglandin D2","Com_796_neg","15-Deoxy-Δ12,14-prostaglandin D2","C20 H30 O4",316.20362,8.175,315.19635,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6525085.43800001,1889324.394,4424153.528,3040516.111,2013616.154,2899550.308,21.3148799357286,21.8546581275749,-0.53977819184632,0.259425176303039,0.455328710730774,"stable",0.931013776456555
"L-Cysteinesulfinic acid","Com_874_neg","L-Cysteinesulfinic acid","C3 H7 N O4 S",153.00953,1.375,152.00224,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",30102163.32,39506145.61,4750241.186,18919090.71,22567779.9,2840182.914,23.3462176651336,24.0861689775257,-0.739951312392094,0.00287905780186282,0.27838925679511,"down",0.564949761994128
"D-Proline","Com_913_neg","D-Proline","C5 H9 N O2",115.06329,1.46,160.06149,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",10092173.95,10535647.71,5361859.606,22280402.01,9989978.59600001,5847044.516,23.3801994096012,22.9832704437385,0.39692896586272,0.403164737055443,0.474326815302454,"stable",0.632636867666904
"Heptanoic acid","Com_960_neg","Heptanoic acid","C7 H14 O2",130.09941,5.911,129.09213,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",1462140.489,1169070.273,821479.828700001,1592298.943,1213749.875,993307.5194,20.2452001367212,20.0948154517363,0.150384684984918,0.146553107396132,0.419069654900652,"stable",0.50226715777396
"Eicosapentaenoic acid","Com_980_neg","Eicosapentaenoic acid","C20 H30 O2",302.22447,9.481,301.21719,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",41943811.43,32428444.06,32237234.72,43485854.89,32982827.84,18241376.91,24.8233219724426,25.0716452525428,-0.248323280100205,0.477723329329733,0.484989446812675,"stable",0.650468835921553
"(+/-)-Cannabichromeorcin","Com_989_neg","(+/-)-Cannabichromeorcin","C17 H22 O2",258.16195,8.045,257.15467,"Full match","No results","No results","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","1-benzopyrans",26706985.78,25255287.4,20152951.75,28889064.6,22597076.38,11377237.06,24.2177666189592,24.5084279243001,-0.290661305340894,0.406254873706202,0.474598663624901,"stable",0.700156619824468
"PE 16:0_20:4","Com_994_neg","PE 16:0_20:4","C41 H74 N O8 P",739.51588,11.395,738.50911,"No results","Full match","No results",NA,NA,NA,NA,24229162.09,18101618.66,20554728.46,26340801.2,30566277.01,8275371.544,24.165542018242,24.3109411763643,-0.145399158122334,0.834253909435619,0.579326537335013,"stable",0.254707126904721
"Equol","Com_998_neg","Equol","C15 H14 O3",242.09208,5.526,241.08481,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",7309495.857,1044540.595,9630205.01000001,770247.3422,800651.290399999,12257165.54,20.9042996155559,21.9983042288949,-1.09400461333906,0.42360191423408,0.476935507120301,"stable",0.670685889194652
"PE 16:0_22:6","Com_1002_neg","PE 16:0_22:6","C43 H74 N O8 P",763.51677,11.087,762.50947,"No results","Full match","No results",NA,NA,NA,NA,17990867.81,17618262.52,16064789.45,6051305.749,19377174.52,9248152.77299999,23.2924679110716,24.0362428329568,-0.743774921885198,0.271198518059449,0.457560224266022,"stable",1.29193335712074
"Phenylpyruvic acid","Com_1030_neg","Phenylpyruvic acid","C9 H8 O3",164.04736,5.608,163.04012,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Phenylpyruvic acid derivatives","Phenylpyruvic acid derivatives",12822246.1,12744503.6,9770525.409,23398609.4,15216699.9,6578915.12199999,23.6628299665677,23.4785074093823,0.184322557185361,0.701515638711466,0.536613039608145,"stable",0.352870024832
"2-Methylbutyroylcarnitine","Com_1039_neg","2-Methylbutyroylcarnitine","C12 H23 N O4",245.16277,5.293,290.161,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1080385.557,1162229.52,711921.3804,3176687.24,1111694.992,319043.9203,19.988938910797,19.8776456014905,0.111293309306475,0.900668646341472,0.597872664165914,"stable",0.121233945389701
"D-(+)-Tryptophan","Com_1044_neg","D-(+)-Tryptophan","C11 H12 N2 O2",204.09004,5.651,203.08275,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",22971339.2,14512523.13,4804918.172,29355393.45,31509305.11,8109087.859,24.2225016909971,23.4800690309008,0.742432660096316,0.0782344596595416,0.369561468358559,"stable",0.799937386283923
"DL-α-Methoxyphenylacetic acid","Com_1048_neg","DL-α-Methoxyphenylacetic acid","C9 H10 O3",120.05753,5.659,119.05024,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzylethers","Benzylethers",4123964.31699999,3697297.791,2761144.09,6337204.907,4667528.882,1715154.578,21.819849975626,21.7301583271533,0.0896916484726269,0.842189157993891,0.581631926471839,"stable",0.161262562070271
"SM 8:1;2O/24:0","Com_1076_neg","SM 8:1;2O/24:0","C37 H75 N2 O6 P",720.54263,11.441,719.53536,"No results","Invalid mass","No results",NA,NA,NA,NA,16920472.63,10945904.71,9931685.721,10819517.09,9497531.32899999,9198253.24200001,23.2263941316765,23.5465871921721,-0.320193060495583,0.19137043202793,0.437836900687931,"stable",1.16725339750403
"Lauric acid","Com_1090_neg","Lauric acid","C12 H24 O2",200.17753,8.741,199.17026,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",8974552.15499999,7428617.605,5456908.45100001,25764860.25,7169921.64499999,2081245.128,22.7938142726366,22.7672410866653,0.0265731859713334,0.977677804639506,0.617429453627795,"stable",0.0266779201914899
"H-Gly-Pro-OH","Com_1110_neg","H-Gly-Pro-OH","C7 H12 N2 O3",172.08478,1.704,171.07737,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1128834.663,2173627.988,2213481.177,1118020.306,985250.9054,2683149.709,20.4527142426585,20.7453206848837,-0.292606442225253,0.568634491061592,0.501258680886646,"stable",0.546447781415548
"Pyridoxal-5'-phosphate","Com_1145_neg","Pyridoxal-5'-phosphate","C8 H10 N O6 P",247.02436,2.374,246.01708,"No results","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",45957755.17,45126214.0799999,21046343.64,31650808.16,49512136.5000001,21643357.03,24.9481462742123,25.0694445624007,-0.121298288188488,0.622079304935719,0.513363987816489,"stable",0.25494957733631
"4-Nitrocatechol","Com_1149_neg","4-Nitrocatechol","C6 H5 N O4",155.02191,5.626,154.01463,"Full match","No results","No results","Benzenoids","Phenols","Nitrophenols","Nitrophenols",12276649.08,12239804.22,12408602.83,19286900.9,10784382.05,5218296.90799999,23.2929019284931,23.5531093286315,-0.260207400138412,0.682878168251829,0.530575879351306,"stable",0.49774173208239
"LPS 14:1","Com_1151_neg","LPS 14:1","C20 H38 N O9 P",467.22862,8.042,466.22135,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",13412670.82,13150916.39,11684740.69,304374.1501,19091092.48,17504084.83,22.1543569797906,23.6012918630533,-1.44693488326265,0.545894298578592,0.497599632362789,"stable",0.739459606969771
"8-iso-15-keto Prostaglandin E2","Com_1152_neg","8-iso-15-keto Prostaglandin E2","C20 H30 O5",332.19901,6.912,331.19173,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",5859747.957,1771491.333,3697656.382,4723939.79999999,1825465.066,1774518.437,21.2434626372321,21.6857066301156,-0.442243992883444,0.306611579380797,0.463339334105225,"stable",0.659892744052213
"PS 18:0_18:1","Com_1155_neg","PS 18:0_18:1","C42 H80 N O10 P",789.55298,11.164,788.54571,"No results","Full match","No results",NA,NA,NA,NA,123607762.5,73849363.1,56114064.73,49238393.69,54704644.0300001,624987.664499999,23.5039695093917,26.2537117779462,-2.74974226855451,0.282404518397132,0.459529375758099,"stable",1.15532469642213
"Pizotifen","Com_1160_neg","Pizotifen","C19 H21 N S",295.14564,5.933,294.13836,"No results","Invalid mass","No results","Organoheterocyclic compounds","Cycloheptathiophenes","Not available","Cycloheptathiophenes",2722387.055,15801633.3,5917232.282,4031257.174,8292771.304,4741482.626,22.3677093623252,22.5955007385703,-0.227791376245115,0.652361174073183,0.522195944574799,"stable",0.302854692605381
"2-Hydroxy-4-methylthiobutanoic acid","Com_1162_neg","2-Hydroxy-4-methylthiobutanoic acid","C5 H10 O3 S",150.03504,5.27,149.02775,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Thia fatty acids",8895735.23899999,17194368.5,12487714.24,11743529.14,7179049.884,3507581.309,22.6675897671944,23.5647071026443,-0.897117335449913,0.312239393327241,0.464148514826815,"stable",1.31870836632842
"CTP","Com_1246_neg","CTP","C9 H16 N3 O14 P3",482.9843,1.783,481.97703,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",186825958.8,162666807.7,117105039.3,179863884.2,86084262.59,54690293.84,26.4954526490895,27.1858974203877,-0.690444771298203,0.165264444249352,0.427937598564018,"stable",1.15746376320877
"trans-Cinnamic acid","Com_1258_neg","trans-Cinnamic acid","C9 H8 O2",148.05249,5.748,147.04521,"Full match","No results","No results","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",17288431.38,18668355.76,11671926.11,16831622.52,19540353.66,7570265.62899999,23.6921788848804,23.8913114965487,-0.199132611668297,0.451897861125579,0.480450647604123,"stable",0.441354397416411
"trans-2-Butene-1,4-dicarboxylic Acid","Com_1264_neg","trans-2-Butene-1,4-dicarboxylic Acid","C6 H8 O4",144.04226,5.138,143.03497,"No results","No results","Full match",NA,NA,NA,NA,29451159.52,27129919.38,19512828.76,36479747.33,28694929.63,9990324.659,24.3823283445613,24.5743740426888,-0.192045698127501,0.672991278772097,0.527915350163471,"stable",0.338043995865078
"Nicotinamide adenine dinucleotide phosphate","Com_1280_neg","Nicotinamide adenine dinucleotide phosphate","C21 H28 N7 O17 P3",743.07639,1.48,742.06912,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",3876015.819,3616542.048,1596099.682,8222899.51399999,10615609.96,8322681.972,23.099838926834,21.426147282607,1.67369164422692,0.0477187832992379,0.332486931807668,"up",1.91021208617561
"3-Indoxyl sulphate","Com_1333_neg","3-Indoxyl sulphate","C8 H7 N O4 S",213.01301,4.871,212.00574,"Invalid mass","No results","No results","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Arylsulfates",1335408.309,971632.4699,2573096.821,1792247.211,1034401.09,5360701.179,21.0358975909905,20.5113249939015,0.524572597088945,0.206058368687717,0.442455427739578,"stable",0.660228022929864
"N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","Com_1339_neg","N1-{3-[2-(2-pyridyl)ethyl]phenyl}-4-chlorobenzene-1-sulfonamide","C19 H17 Cl N2 O2 S",372.06697,11.958,371.05969,"Invalid mass","No results","No results",NA,NA,NA,NA,6058548.89,8514795.99499999,5585889.969,2120488.016,6265222.71,4286150.266,21.8753834203637,22.655145705783,-0.779762285419331,0.168115650627784,0.429143884769669,"stable",1.32882196537806
"2-Aminoadipic acid","Com_1377_neg","2-Aminoadipic acid","C6 H11 N O4",161.06881,3.917,160.06153,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",4982565.869,5122841.28399999,4312065.07,25550049.46,6742005.52300001,6642990.555,23.3183235197231,22.1923059097158,1.12601761000729,0.210828977869477,0.443835719720034,"stable",1.40625089817106
"4-Hydroxy-L-Glutamic Acid","Com_1384_neg","4-Hydroxy-L-Glutamic Acid","C5 H9 N O5",163.04805,1.47,162.0408,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2808122.179,4103117.394,6939812.49900001,3188159.169,2344354.779,2015010.066,21.2358024418674,22.0386428438114,-0.802840401944042,0.293018161848509,0.461269548191308,"stable",1.47227306065492
"1,3-Dimethyluracil","Com_1406_neg","1,3-Dimethyluracil","C6 H8 N2 O2",140.05853,3.604,139.05125,"No results","No results","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones",14807208.46,15684925.42,21956189.42,5550155.103,5958168.61,12420200.94,22.8255731191068,24.0369320113195,-1.21135889221271,0.0248958111913447,0.321127239699959,"down",1.77474459627171
"L-Ascorbate","Com_1429_neg","L-Ascorbate","C6 H8 O6",176.03206,3.659,175.02478,"No results","No results","Full match","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides",24238097.05,25899395.18,20311592.72,40679997.86,21850791.68,14612967.53,24.4865814435012,24.4776627361523,0.0089187073488084,0.983184110508319,0.618755186009281,"stable",0.0216378108767463
"5-Methyluridine","Com_1458_neg","5-Methyluridine","C10 H14 N2 O6",258.08525,2.641,257.07798,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",43590742.61,47075799.8500001,28093132.77,6419333.48299999,40824456.75,15006686.25,23.9120081783811,25.2032382984625,-1.29123012008134,0.23278905466136,0.449550074854415,"stable",1.34203069891329
"N-Methylglutamic acid","Com_1490_neg","N-Methylglutamic acid","C6 H11 N O4",161.06874,1.458,160.06146,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",10092173.95,10535647.71,5361859.606,22280402.01,9989978.59600001,5847044.516,23.3801994096012,22.9832704437385,0.39692896586272,0.403164737055443,0.474326815302454,"stable",0.632636867666904
"LPI 20:3","Com_1497_neg","LPI 20:3","C29 H51 O12 P",622.31245,10.083,621.30518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",6238323.66300001,7719381.986,13501447.13,13203161.35,17800572.43,15271308.04,23.8680402253735,23.0464638690628,0.821576356310729,0.126585727617357,0.407310423128323,"stable",1.62411479646714
"D-Ribulose 1,5-bisphosphate","Com_1499_neg","D-Ribulose 1,5-bisphosphate","C5 H12 O11 P2",309.98523,2.019,308.97776,"No results","Full match","Full match",NA,NA,NA,NA,38359106.37,42233638.12,25929030.94,41774648.11,44025357.04,38784951.29,25.3056497874432,25.0510066408194,0.254643146623749,0.261013094168645,0.455640116401216,"stable",1.06870688682968
"N-Carbamoyl-L-aspartate","Com_1515_neg","N-Carbamoyl-L-aspartate","C5 H8 N2 O5",176.04536,1.859,175.03809,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",33739925.39,34387137,22675858.07,15203131.39,33754217.61,18481132.8,24.3353264891098,24.8259909751627,-0.490664486052864,0.284421105863904,0.459868967321364,"stable",1.1262805699839
"4-Methylphenol","Com_1520_neg","4-Methylphenol","C7 H8 O",108.05757,5.58,107.0503,"Full match","No results","Full match","Benzenoids","Phenols","Cresols","Para cresols",16156478.63,16081209.44,12333737.15,17902044.85,14649593.89,6860107.321,23.53592603447,23.8135295675892,-0.277603533119187,0.447087274542471,0.47988093485831,"stable",0.644682836377751
"Lysope 18:1","Com_1532_neg","Lysope 18:1","C23 H46 N O7 P",479.30142,8.959,478.29415,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",10174339.94,11924590.39,9837562.49000001,7509485.223,21864819.66,15089271.01,23.6898034897714,23.338579235286,0.351224254485462,0.474063504456578,0.484347844088457,"stable",0.765290635343325
"LNAPE 16:1/N-18:1","Com_1568_neg","LNAPE 16:1/N-18:1","C39 H74 N O8 P",715.51609,9.728,714.50881,"No results","Full match","No results",NA,NA,NA,NA,58552474.12,45445893.12,33314312.16,69580354.08,79813875.4800001,11906604.7,25.2691905541474,25.4101707193376,-0.140980165190143,0.857236027766005,0.585934750030505,"stable",0.164889748683231
"N-Acetyl-D-galactosamine 4-sulfate","Com_1599_neg","N-Acetyl-D-galactosamine 4-sulfate","C8 H15 N O9 S",255.04105,1.373,300.03928,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",1148435.444,1094609.993,835156.4161,1122850.664,1120278.445,517281.015500001,19.7249164274725,19.9549702440855,-0.230053816613047,0.424740473666949,0.477084937094344,"stable",0.594787676097923
"PC 16:0_20:5","Com_1618_neg","PC 16:0_20:5","C44 H78 N O8 P",825.55234,10.426,824.54506,"No results","Invalid mass","No results",NA,NA,NA,NA,25002755.48,22137683.53,10623165.14,12459022.11,11115428.18,3835867.834,22.9492897573729,24.1054316786023,-1.15614192122946,0.0178913824162271,0.312390766361172,"down",1.40826386123141
"PC 16:0_20:4","Com_1626_neg","PC 16:0_20:4","C44 H80 N O8 P",827.56871,11.781,826.56154,"No results","Invalid mass","No results",NA,NA,NA,NA,28923895.11,24808922.34,13947606.47,10587394.81,12235398.3,4480408.042,22.9918669093691,24.3612094915894,-1.36934258222023,0.0174024274366469,0.311544335539947,"down",1.66775483466262
"2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","Com_1710_neg","2-(5-mercapto-4-methyl-4H-1,2,4-triazol-3-yl)acetonitrile","C5 H6 N4 S",154.02999,5.175,153.02272,"Invalid mass","No results","No results",NA,NA,NA,NA,1711244.353,2228775.326,2503221.996,10642074.83,14910550.85,8691327.81100001,23.4080838360955,21.0165963070132,2.3914875290823,0.0153141412405475,0.307388547792079,"up",2.08955376401557
"Thromoboxane B1","Com_1716_neg","Thromoboxane B1","C20 H36 O6",408.22782,8.95,407.22055,"Invalid mass","No match","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Thromboxanes",9329518.73100001,8715587.54800001,9518559.80199999,3414436.941,14206118.02,12723910.95,23.021421381262,23.1302831991994,-0.108861817937381,0.886812599457498,0.594139650135865,"stable",0.175882466559796
"Lysopc 17:0","Com_1729_neg","Lysopc 17:0","C25 H52 N O7 P",509.348,10.329,508.34072,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-acyl-sn-glycero-3-phosphocholines",2443892.323,4260576.974,5434515.487,14760644.7,3784572.64,4441618.544,22.5832018108355,21.8723622211504,0.710839589685133,0.529419972927287,0.494789201782721,"stable",0.963382043064442
"LPE O-17:1","Com_1742_neg","LPE O-17:1","C22 H46 N O6 P",451.30634,10.192,450.29906,"No results","Full match","No results",NA,NA,NA,NA,1865284.749,3165535.114,4816251.478,5126156.264,5391929.24299999,6053507.41800001,22.3937186721043,21.5414872384783,0.852231433625917,0.121977075321784,0.404165416495336,"stable",1.56035057025203
"1a,1b-Dihomo prostaglandin F2α","Com_1758_neg","1a,1b-Dihomo prostaglandin F2α","C22 H38 O5",418.2515,9.037,417.24422,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",118432.6011,114516.8711,1158222.279,133954.1341,107603.3171,7299116.77599999,18.8486776932203,17.9341293658001,0.914548327420178,0.405224030243594,0.474508403636799,"stable",0.424614573821932
"3-Phosphoglyceric acid","Com_1782_neg","3-Phosphoglyceric acid","C3 H7 O7 P",185.99282,1.563,184.98553,"Full match","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",54301806.24,46992774.05,39776576.43,122844099.9,47455990.34,18351689.95,25.5005832623861,25.4752827410454,0.0253005213406823,0.972992599729714,0.616294132769306,"stable",0.0338267470246368
"N4-Acetylcytidine","Com_1805_neg","N4-Acetylcytidine","C11 H15 N3 O6",285.09752,1.798,284.09024,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",8355881.58599999,7794983.187,5698427.33400001,38168925.57,1934172.724,2533827.207,22.4473557193641,22.7768691608221,-0.329513441457927,0.821413460034198,0.575541759729562,"stable",0.253585962342187
"PC 16:0_22:6","Com_1831_neg","PC 16:0_22:6","C46 H80 N O8 P",851.56875,11.393,850.56148,"No results","Invalid mass","No results",NA,NA,NA,NA,22890456.46,17643078.52,9571424.15,7531536.674,7564587.45699999,3079647.516,22.4165588665793,23.9037146829263,-1.48715581634702,0.00790574328304913,0.27838925679511,"down",1.70300457921783
"Oxaceprol","Com_1835_neg","Oxaceprol","C7 H11 N O4",173.06885,2.823,172.06157,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",24702866.5,25354612.79,17446853.92,14696130.38,21101838.13,13565398.17,23.9444087971933,24.4034612010751,-0.45905240388176,0.0899407950345757,0.379235970726435,"stable",1.41380761736908
"PE O-18:1_22:6","Com_1858_neg","PE O-18:1_22:6","C45 H78 N O7 P",775.55174,10.736,774.54447,"No results","Full match","No results",NA,NA,NA,NA,335084.546,308541.1325,13225691.75,597145.190100001,305970.77,182482.1245,18.2960507196216,20.0820362596014,-1.78598553997983,0.503896052035841,0.490142736158233,"stable",0.930721638223026
"N-Acetyl-L-asparagine","Com_1882_neg","N-Acetyl-L-asparagine","C6 H10 N2 O4",128.05847,1.505,173.05666,"No results","Invalid mass","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",1156800.394,3684390.7,5597622.913,2682632.516,9036406.22199999,4412780.27,22.1785973950474,21.4570286715735,0.721568723473847,0.30839845415023,0.463599147225011,"stable",0.838889308251567
"Ureidoglutaric acid","Com_1952_neg","Ureidoglutaric acid","C6 H10 N2 O5",190.05878,1.813,189.0515,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",9189563.96800001,8233400.83300001,3910410.63,12167743.2,11272883.22,4328588.34,23.0027922220771,22.6678368976497,0.334955324427405,0.0721680692841204,0.364134539737632,"stable",0.562543498140576
"Perillic acid","Com_1956_neg","Perillic acid","C10 H14 O2",166.09937,6.422,165.09208,"Full match","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids",7069984.30999999,7226387.769,6538316.526,11478086.56,9234250.758,6097936.758,23.0436106866736,22.7262022048,0.317408481873606,0.304026557539364,0.462958591595542,"stable",1.08369067372165
"N-Acetylcysteine","Com_2001_neg","N-Acetylcysteine","C5 H9 N O3 S",163.03031,3.704,162.02303,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",2335203.14,4935760.547,19585286,3203456.685,1317017.438,9017556.701,21.681448742897,22.5377414866545,-0.856292743757514,0.342796708945946,0.468118874824944,"stable",0.718723802395559
"Imidazoleacetic acid","Com_2010_neg","Imidazoleacetic acid","C5 H6 N2 O2",126.04295,4.869,125.03567,"Full match","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",15818137.87,13389435.91,11123229.42,5565168.59,3524826.992,2916836.056,21.8776959496748,23.665580218934,-1.78788426925918,0.0061111620347284,0.27838925679511,"down",2.0251107571947
"Levodopa","Com_2013_neg","Levodopa","C9 H11 N O4",197.06864,2.387,196.06136,"No results","No results","Full match",NA,NA,NA,NA,33280571.91,33963510.69,23199855.4,6958786.50899999,46316120.5,20550857.56,24.1627035527135,24.8244238748812,-0.661720322167675,0.503480767081901,0.490064000482452,"stable",0.809704558319077
"LPI 20:4","Com_2015_neg","LPI 20:4","C29 H49 O12 P",620.29661,9.314,619.28933,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",11007437.19,9079708.672,16947496.74,6131205.29999999,10274435.08,10404573.99,23.0503365263977,23.5069195705344,-0.456583044136703,0.289804083807801,0.46075466607107,"stable",1.13536487134176
"5-Hydroxytryptophol","Com_2044_neg","5-Hydroxytryptophol","C10 H11 N O2",177.07909,5.651,176.07182,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Hydroxyindoles","Hydroxyindoles",10859882.4,6461958.79299999,2355584.081,12256719.47,14776347.44,3668617.007,23.0568869274733,22.3878995543646,0.668987373108649,0.151029411407352,0.421355378312305,"stable",0.745215588721783
"N-Sulfo-glucosamine sodium salt","Com_2046_neg","N-Sulfo-glucosamine sodium salt","C6 H12 N Na O8 S",281.01809,1.539,280.01081,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses",11005326.92,11008231.65,7337110.03,6969477.776,7231771.555,4067252.571,22.491386651621,23.196852851621,-0.705466199999918,0.0109487863992393,0.294343049677966,"down",1.56312484430579
"D-Mannitol 1-phosphate","Com_2098_neg","D-Mannitol 1-phosphate","C6 H15 O9 P",262.04852,5.253,261.04124,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",8482857.52700001,9875488.45099999,5644583.26,19865467.54,10403722.3,5515603.47999999,23.3164810620633,22.8933250723701,0.423155989693189,0.404313738666948,0.474428345168379,"stable",0.729208071569941
"Dantron","Com_2109_neg","Dantron","C14 H8 O4",240.04156,1.678,239.03429,"Full match","No results","No results","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones",2428458.326,2305002.564,1730117.019,2405193.435,2119567.057,973002.066299999,20.7017143391616,21.0234614707761,-0.321747131614458,0.335967315120307,0.467288611715065,"stable",0.743336260094714
"LPE O-20:1","Com_2122_neg","LPE O-20:1","C25 H52 N O6 P",493.3533,11.314,492.34602,"No results","Full match","No results",NA,NA,NA,NA,784262.4879,1004701.582,1240289.368,10368307.33,1991419.756,1490629.911,21.5795112173451,19.9205193378626,1.65899187948251,0.256039347231846,0.454653285197787,"stable",1.46106558040802
"alpha-Ketoglutaric acid","Com_2138_neg","alpha-Ketoglutaric acid","C5 H6 O5",146.02158,1.682,145.0142,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",8853500.54099999,10889378.58,11109863.6,42959183.61,28874987.77,10454430.53,24.4857971276764,23.2865242055564,1.19927292212004,0.224756939234132,0.447573004424176,"stable",1.49667179330449
