"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Oxymatrine","Com_903_pos","Oxymatrine","C15 H24 N2 O2",264.18184,6.086,265.18912,"Invalid mass","No results","No results","Alkaloids and derivatives","Lupin alkaloids","Matrine alkaloids","Matrine alkaloids",2708183.109,3785089.575,3002247.426,4009147.769,7649183.676,2645234.887,22.0455676420741,21.5794671057705,0.466100536303621,0.313732200650858,0.343910746033704,"stable",0.726839378743186
"3-hydroxyquinuclidine-3-carbonitrile hydrochloride","Com_910_pos","3-hydroxyquinuclidine-3-carbonitrile hydrochloride","C8 H12 N2 O",152.09296,1.261,153.10024,"Invalid mass","No results","No results",NA,NA,NA,NA,95824910.7000001,77403853.4599999,81530427.63,60274866.06,75056210.54,78782267.46,26.079296308563,26.3335449047543,-0.254248596191236,0.344823102072418,0.35782792864296,"stable",1.05117611433787
"Epigallocatechin","Com_929_pos","Epigallocatechin","C15 H14 O7",306.07619,4.61,307.08347,"No results","Invalid mass","No results","Phenylpropanoids and polyketides","Flavonoids","Flavans","Epigallocatechins",166619219.6,206927756.5,216860550.7,147937261.2,135133440.5,143964396,27.0837855142936,27.5429079712677,-0.459122456974139,0.0858238702475282,0.210159713846879,"stable",1.43639720305975
"2'-Deoxycytidine","Com_948_pos","2'-Deoxycytidine","C9 H13 N3 O4",227.09081,1.916,228.09806,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",1268069.025,1204779.41,1174232.016,2719022.47,1809273.303,1385751.438,20.8546242132734,20.2126085011442,0.642015712129243,0.124228966292759,0.231856948922371,"stable",1.2200614199556
"Arachidonoyl amide","Com_964_pos","Arachidonoyl amide","C20 H33 N O",303.25422,9.941,304.26149,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","Fatty amides",162739414.1,110899288,93203684.5099999,55381663.9200001,117959039.9,144549021.2,26.5478664689397,26.8255156585396,-0.277649189599941,0.71398287545544,0.47093179824123,"stable",0.450028249143678
"(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine","Com_981_pos","(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine","C11 H22 N2 O2",214.1686,5.442,215.17587,"No results","No results","Full match","Organic nitrogen compounds","Organonitrogen compounds","Cyclohexylamines","Cyclohexylamines",1011810.465,2889555.724,957340.872500001,794962.3938,898556.2553,907806.934800001,19.7232674584242,20.4265323585885,-0.703264900164267,0.292805491440562,0.333625352806028,"stable",0.910867846846363
"2-(4-chlorophenyl)-4-(4-nitrophenyl)-1,3-thiazole","Com_989_pos","2-(4-chlorophenyl)-4-(4-nitrophenyl)-1,3-thiazole","C15 H9 Cl N2 O2 S",316.00878,1.298,317.01603,"Full match","No results","No results",NA,NA,NA,NA,578666.172,499804.2814,529722.1117,479099.404,485892.6443,470522.6121,18.8680493637401,19.0294172409292,-0.161367877189051,0.137842679014186,0.239486227049384,"stable",1.28598416165412
"3-hydroxy-2-octylpentanedioic acid","Com_1006_pos","3-hydroxy-2-octylpentanedioic acid","C13 H24 O5",242.15215,6.718,243.15969,"Invalid mass","No results","No results",NA,NA,NA,NA,1118354.487,889800.3401,995512.5031,815153.119399999,962598.701200001,1071812.025,19.848302328235,19.9270493860662,-0.0787470578311442,0.717054574511485,0.472001546369207,"stable",0.416043962119425
"PE O-16:1_22:6","Com_1010_pos","PE O-16:1_22:6","C43 H74 N O7 P",747.52081,9.092,748.5281,"No results","Full match","No results",NA,NA,NA,NA,209049049.4,199542177.4,208254155.4,131049359.1,172254320.4,147265122.3,27.1531135107823,27.6150515884817,-0.461938077699411,0.0754161680072162,0.204008640294188,"stable",1.45640990944749
"NADH","Com_1032_pos","NADH","C21 H29 N7 O14 P2",665.12533,2.789,333.56994,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",139581738.8,160539470.2,156989863,255031449.2,221874698.9,244337548.3,27.8385233960429,27.1803279779092,0.658195418133737,0.0300237525873722,0.187573963106741,"up",1.57722880015773
"PC O-16:0","Com_1065_pos","PC O-16:0","C24 H50 N O7 P",495.33312,9.312,496.34036,"No results","Full match","Full match",NA,NA,NA,NA,16584342.13,14543673.77,8688627.13000001,7804593.68900001,9871600.74500001,20664281.06,23.4771268489664,23.6093012213102,-0.132174372343776,0.869071478618042,0.520029857608907,"stable",0.209534232912631
"Prolylleucine","Com_1066_pos","Prolylleucine","C11 H20 N2 O3",228.14769,2.05,229.15497,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",122340448.1,136855948.4,145606588.6,124102170.7,94116252.23,102123578.1,26.6602114655554,27.0039698410108,-0.343758375455472,0.200112731414253,0.280298147481638,"stable",1.266671808959
"(S)-10-Hydroxycamptothecin","Com_1070_pos","(S)-10-Hydroxycamptothecin","C20 H16 N2 O5",364.10562,2.249,365.11288,"Full match","No results","No results","Alkaloids and derivatives","Camptothecins","Not available","Camptothecins",2878470.407,16624313.21,1568759.008,980761.923600001,1105237.952,922494.684600001,19.9315500314606,22.0082848890027,-2.07673485754205,0.159027584420755,0.252892835751378,"stable",1.1610376012205
"1-adamantyl piperidino sulfoxide","Com_1083_pos","1-adamantyl piperidino sulfoxide","C15 H25 N O S",267.16598,6.194,268.17327,"Full match","No results","No results",NA,NA,NA,NA,2133710.88,4528148.519,3597702.608,969327.305700001,1627941.493,324907.726,19.6103041038674,21.6380225415634,-2.02771843769597,0.108145099285394,0.22262896123074,"stable",1.30669565634294
"7-Ketocholesterol","Com_1094_pos","7-Ketocholesterol","C27 H44 O2",400.33463,10.101,401.34191,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives",1602925.005,1439039.818,597865.3256,893850.6285,3507832.737,2458054.409,20.9136360611905,20.0861371982765,0.827498862914037,0.438795123446207,0.392119430059942,"stable",0.793253495143388
"Estrone","Com_1100_pos","Estrone","C18 H22 O2",287.19216,8.266,288.19944,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",44165248.85,38367515.97,44422225.49,23496556.84,34741247.07,13118624.16,24.3937351061346,25.3315228893956,-0.937787783260976,0.182301371044111,0.268741560400824,"stable",1.22228250166649
"Cytidine 5'-monophosphate (hydrate)","Com_1142_pos","Cytidine 5'-monophosphate (hydrate)","C9 H14 N3 O8 P",345.03426,1.367,346.04149,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",15613252.49,71873531.64,16617060.11,19451304.28,18939633.81,15238060.49,24.0831482045091,24.6604622793678,-0.577314074858691,0.488263490673514,0.406605709172989,"stable",0.600789214156738
"2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid","Com_1143_pos","2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid","C10 H18 O4",224.10269,6.2,225.10996,"Invalid mass","No results","No results",NA,NA,NA,NA,37243308.38,36467689.23,38025091.04,31652102.59,39937732.94,35408290.54,25.0815436553155,25.1503472388326,-0.0688035835170311,0.585980571815731,0.433294578948165,"stable",0.53807508542721
"7-methyl-3-nitroimidazo[1,2-a]pyridine","Com_1170_pos","7-methyl-3-nitroimidazo[1,2-a]pyridine","C8 H7 N3 O2",199.0338,1.269,200.04107,"Invalid mass","No results","No results",NA,NA,NA,NA,6811266.545,6669768.63800001,7099502.25399999,18586746.04,13124141.79,13258323.88,23.8179619002698,22.709327798951,1.10863410131886,0.0230294996419355,0.187202118757004,"up",1.56119436140099
"Norfenefrine","Com_1173_pos","Norfenefrine","C8 H11 N O2",153.07693,1.245,154.08422,"Invalid mass","No results","No results","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids",74267347.1499999,57223256.09,62080345.23,43641118.68,57141670.68,54648526.4199999,25.6169679628604,25.9346520701121,-0.317684107251775,0.302421087968803,0.338450297852652,"stable",1.13521796625457
"4-Guanidinobutyric acid","Com_1176_pos","4-Guanidinobutyric acid","C5 H11 N3 O2",145.08532,1.818,146.0926,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",37852641.44,38784356.22,43778955.25,45324627.9,34149730.28,58656086.7299999,25.4216467255746,25.2555321171779,0.166114608396668,0.455657738395875,0.397289583150686,"stable",0.544340456576633
"3-(4-pyridylmethylidene)chroman-4-one","Com_1218_pos","3-(4-pyridylmethylidene)chroman-4-one","C15 H11 N O2",237.0826,5.931,238.08987,"Invalid mass","No results","No results",NA,NA,NA,NA,14430198.04,13100917.83,18241096.16,18663485.49,13512451.05,4790353.037,23.3444005711553,23.848813802744,-0.504413231588721,0.555355673270644,0.424439231048924,"stable",0.624252468617509
"N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide","Com_1243_pos","N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide","C13 H13 Cl N4 O",276.07664,6.359,277.08392,"Full match","No results","No results",NA,NA,NA,NA,10049545.9,8564380.62000001,9026421.008,7582599.80399999,8372823.46599999,10183520.7,23.04375900536,23.1320890331924,-0.0883300278324306,0.654846563426529,0.452905467074175,"stable",0.483483278950644
"Nonadecanoic acid","Com_1265_pos","Nonadecanoic acid","C19 H38 O2",298.28786,7.464,316.32169,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",67678197.4000001,4687809.079,35489531.33,3239867.738,23728525.41,12692251.86,23.2416891065498,24.4178534591133,-1.17616435256353,0.607216924934276,0.439104776437259,"stable",0.617511876829558
"N1-prop-2-ynyl-2,5-di(2,2,2-trifluoroethoxy)benzene-1-sulfonamide","Com_1281_pos","N1-prop-2-ynyl-2,5-di(2,2,2-trifluoroethoxy)benzene-1-sulfonamide","C13 H11 F6 N O4 S",391.02725,1.579,392.03452,"Invalid mass","No results","No results",NA,NA,NA,NA,27333997.07,16444989.14,25352517.16,10374083.45,14568693.96,17725366.91,23.72738697123,24.4236544946741,-0.696267523444074,0.196149347816552,0.277827323543295,"stable",1.19849772365003
"2-Phenylacetamide","Com_1316_pos","2-Phenylacetamide","C8 H9 N O",135.06633,1.227,153.10016,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetamides","Phenylacetamides",95824910.7000001,77403853.4599999,81530427.63,60274866.06,75056210.54,78782267.46,26.079296308563,26.3335449047543,-0.254248596191236,0.344823102072418,0.35782792864296,"stable",1.05117611433787
"Ciprostene","Com_1319_pos","Ciprostene","C22 H36 O4",381.28839,7.506,382.29561,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",7591735.011,11908736.66,6904958.47700001,2238359.491,5201813.247,6009778.879,21.9744913272651,23.0269055168647,-1.05241418959954,0.147555966400281,0.24566687035631,"stable",1.1750872629734
"PC O-16:1","Com_1360_pos","PC O-16:1","C24 H48 N O7 P",493.31749,8.741,494.3247,"No results","Full match","Full match",NA,NA,NA,NA,5462080.31300001,8885013.98399999,5379686.02000001,4582147.15,7505380.082,13316609.54,22.8779365132272,22.6076840853066,0.270252427920639,0.654297876405178,0.452744540332571,"stable",0.422042757297053
"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol","Com_1364_pos","7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol","C15 H28 O2",257.23586,8.427,258.24315,"Invalid mass","No results","No results",NA,NA,NA,NA,12344433.23,14580112.88,7745718.548,6805315.64799999,8079587.579,14662507.47,23.1499031260188,23.4132744887674,-0.263371362748622,0.699926708837826,0.465980786000955,"stable",0.474788436059114
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid","Com_1397_pos","(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid","C11 H20 O4",216.13648,6.405,234.17036,"Full match","No results","Full match",NA,NA,NA,NA,5640190.645,4704049.845,4494384.61,4546893.731,5461464.60599999,4148506.443,22.1604889709275,22.230825524306,-0.0703365533784819,0.691922517361456,0.463431041571417,"stable",0.363783215936031
"FNH","Com_1403_pos","FNH","C19 H24 N6 O5",208.08842,2.347,209.0957,"Invalid mass","No results","No results",NA,NA,NA,NA,1896513.395,12135571.24,1905805.165,1350565.895,1379974.711,1283251.722,20.3509052549792,21.7498753402751,-1.39897008529595,0.248750986676725,0.309082070936746,"stable",1.00619229868951
"UDP","Com_1404_pos","UDP","C9 H14 N2 O12 P2",404.0026,1.999,405.00988,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",170702292.2,164934808.2,166788002.4,175276644.6,192824982.4,167454971.5,27.4089910787651,27.3192227078609,0.0897683709041814,0.320067090734712,0.346872218584468,"stable",0.959109987958603
"N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea","Com_1422_pos","N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea","C23 H32 N4 O",380.25449,7.487,381.26176,"Invalid mass","No results","No results",NA,NA,NA,NA,664590.3675,2188592.691,685997.1944,439767.1326,899626.9287,735500.6725,19.3379049046448,19.9305070210938,-0.592602116448923,0.276033707251437,0.324777529692138,"stable",0.681687412892187
"Octopine","Com_1474_pos","Octopine","C9 H18 N4 O4",246.13314,1.994,247.14042,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",4318564.705,4808474.268,5374400.407,37740687.94,7408509.258,23913725.89,24.1672349393842,22.1989802073706,1.96825473201359,0.114093078307896,0.22625495893724,"stable",1.32524548240016
"GNH","Com_1483_pos","GNH","C12 H18 N6 O5",163.06688,5.016,164.07416,"Invalid mass","No results","No match",NA,NA,NA,NA,2143596.613,9651879.426,1357338.625,1663533.8,1650867.345,1904001.186,20.7270718207612,21.5354432426164,-0.808371421855153,0.465516676604579,0.400197562037368,"stable",0.69519405669285
"Noroxycodone-d3","Com_1495_pos","Noroxycodone-d3","C17 H16 [2]H3 N O4",304.15013,5.261,305.15741,"Full match","No results","No results",NA,NA,NA,NA,15516804.54,22314977.38,23372101.28,22133124,21481688.82,25377835.4,24.4511245087627,24.2590404230083,0.192084085754438,0.37086658376603,0.368391788785033,"stable",0.703040825896154
"4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one","Com_1544_pos","4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one","C16 H14 Cl N5 O2",343.0842,2.054,344.09148,"Full match","No results","No results",NA,NA,NA,NA,4391582.637,4754893.457,6199234.14,13256447.44,8871771.75899999,14113514.01,23.4971851963061,22.2703165562472,1.22686864005894,0.0258940292645116,0.187378513542716,"up",1.50291540562774
"5-OxoETE","Com_1549_pos","5-OxoETE","C20 H30 O3",318.21754,8.119,319.22482,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",12511770.17,13051413.55,15501177.68,14013724.16,32454164.48,20725066.01,24.3323702362214,23.7001199347268,0.632250301494683,0.211619840551417,0.287171016391655,"stable",1.07159397552194
"PC O-32:2","Com_1571_pos","PC O-32:2","C40 H78 N O7 P",715.55175,10.402,716.5589,"No results","Full match","No results",NA,NA,NA,NA,57075005.18,91808870.3399999,84081579.24,101916583.4,66820307.77,60429417.88,26.1484481930167,26.1812574648395,-0.0328092718228064,0.946702243289613,0.541335834751607,"stable",0.085441174730135
"5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one","Com_1597_pos","5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one","C13 H13 N O3",231.08758,5.613,232.09485,"Invalid mass","No results","No results",NA,NA,NA,NA,21129200.9,24581332.07,21790832.71,11773010.84,41729989.62,47217621.07,24.7654610783986,24.4203375416336,0.345123536764998,0.624884901368402,0.443919092520176,"stable",0.422168899367118
"4-(Diethylamino)benzaldehyde","Com_1611_pos","4-(Diethylamino)benzaldehyde","C11 H15 N O",177.11557,6.481,178.12287,"Full match","No results","No results",NA,NA,NA,NA,6805732.017,7726886.18,6537607.20100001,7074367.995,6159041.472,6703431.20500001,22.6616375191465,22.7400352992205,-0.0783977800739706,0.593294632061169,0.435325010701872,"stable",0.632817173154496
"SM 8:0;2O/26:0","Com_1627_pos","SM 8:0;2O/26:0","C39 H81 N2 O6 P",704.58393,8.862,705.59121,"No results","Full match","No results",NA,NA,NA,NA,125132669.1,125718351.6,129537055.4,181536536.5,201552712.8,180971053.6,27.484483457503,26.9177642947353,0.566719162767669,0.0107514081985791,0.185400394042678,"up",1.60235104855661
"L-Alanyl-L-proline","Com_1628_pos","L-Alanyl-L-proline","C8 H14 N2 O3",186.10083,1.408,187.10811,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",845061.211000001,811956.2162,869959.916200001,841111.635500001,799532.761100001,861345.217999999,19.6689891455162,19.68344271063,-0.0144535651137332,0.0838230908922497,0.20906943388189,"stable",0.271145226192904
"N-acetyl-D-glucosamine","Com_1662_pos","N-acetyl-D-glucosamine","C8 H15 N O6",221.09023,1.476,222.09745,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",966670.840299999,1298129.822,1670396.223,1915009.025,1286755.827,1268888.648,20.479786895071,20.2874757871184,0.192311107952623,0.686676476049706,0.461982301941972,"stable",0.497976000122762
"D-(+)-Maltose","Com_1673_pos","D-(+)-Maltose","C12 H22 O11",364.09863,1.395,365.1059,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","O-glycosyl compounds",24439419.02,30677259.07,827371.149899999,16823735.74,26512968.49,20005244.03,24.3060215075676,23.0238493440912,1.28217216347637,0.520550283977506,0.41504151287621,"stable",0.57644446299732
"PC O-30:0","Com_1675_pos","PC O-30:0","C38 H78 N O7 P",691.55216,10.295,692.55944,"No results","Full match","No results",NA,NA,NA,NA,90325282.3299999,82355726.87,77876596.02,45448872.8599999,62185388.0999999,61722462.4500001,25.7357019180127,26.3128928843189,-0.577190966306141,0.108881829677884,0.223093004434367,"stable",1.42282517576982
"2-morpholino-1-phenyl-1-ethanol","Com_1687_pos","2-morpholino-1-phenyl-1-ethanol","C12 H17 N O2",189.11896,6.911,190.12624,"Invalid mass","No results","No results",NA,NA,NA,NA,379939.0684,2263879.376,351095.4193,643392.8949,342068.2564,1249785.561,19.3108381098536,19.3557592838654,-0.0449211740118187,0.976921755415775,0.549126870076357,"stable",0.0355298210021011
"tetranor-12(R)-HETE","Com_1693_pos","tetranor-12(R)-HETE","C16 H26 O3",283.21506,7.145,306.20432,"Invalid mass","No results","No results",NA,NA,NA,NA,15187093.16,18241208.82,14681346.76,9966533.62700001,14072312.17,11723693.69,23.4926467633825,23.9281738029624,-0.43552703957992,0.0378835213254894,0.187828831087253,"down",1.27504883715661
"Nitrosonornicotine","Com_1695_pos","Nitrosonornicotine","C9 H11 N3 O",177.0923,6.234,178.09958,"Invalid mass","No results","No results","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines",14357768.38,14119015.63,13292126.22,17678041.67,15504579.21,12140838.24,23.8316702877268,23.7301776426527,0.101492645074128,0.503582245297045,0.410699731159017,"stable",0.486330075249485
"Nicotinic acid","Com_1723_pos","Nicotinic acid","C6 H5 N O2",123.02996,1.238,124.03726,"Invalid mass","No results","No results","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",48932752.4,39111143.59,42532519.22,34589229.51,20634802.68,44158545.95,24.9128617268769,25.3691454855401,-0.456283758663144,0.247979434656097,0.308612581680829,"stable",0.914078806724201
"PC O-32:0","Com_1725_pos","PC O-32:0","C40 H82 N O7 P",719.57656,11.277,720.58383,"No results","Invalid mass","No results",NA,NA,NA,NA,123603712,69175493.1800001,127872566.1,51478762.09,20737852.48,79244237.21,25.3876799601581,26.6183453524136,-1.2306653922555,0.0555714531456388,0.189792121375459,"stable",1.13150895796269
"Theobromine","Com_1728_pos","Theobromine","C7 H8 N4 O2",180.06368,1.512,181.07105,"Invalid mass","No match","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",93621055.5100001,95015753.3499999,156008396.1,73701655.3800001,67675354.6300001,67799890.4400001,26.0540335001783,26.733013840219,-0.678980340040752,0.124464626107805,0.231979362801907,"stable",1.32133235707174
"4-(2-chloro-6-fluorobenzyl)-3,5-dimethyl-4-prop-2-ynyl-4H-pyrazole","Com_1736_pos","4-(2-chloro-6-fluorobenzyl)-3,5-dimethyl-4-prop-2-ynyl-4H-pyrazole","C15 H14 Cl F N2",276.08269,1.486,277.08997,"Full match","No results","No results",NA,NA,NA,NA,770051.895199999,791945.234200001,773678.8806,863108.5974,1525662.908,1305565.765,20.1921436915409,19.5703375523864,0.621806139154472,0.118208635504351,0.228611970347066,"stable",1.27962196057568
"N1-(2-amino-2-oxoethyl)-2-(isopropylthio)acetamide","Com_1756_pos","N1-(2-amino-2-oxoethyl)-2-(isopropylthio)acetamide","C7 H14 N2 O2 S",190.07855,6.357,191.08583,"Invalid mass","No results","No results",NA,NA,NA,NA,7481823.132,5924086.992,7249027.989,4874332.705,6049524.455,7599989.135,22.5342431767782,22.707491984904,-0.173248808125781,0.518083033966068,0.414422301055523,"stable",0.61435658968684
"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one","Com_1760_pos","1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one","C15 H24 O3",274.15469,6.952,275.16197,"Invalid mass","No results","No results",NA,NA,NA,NA,20202654.08,30350274.57,43999214.86,9909940.82400001,16862855.24,30607338.13,24.0383882525736,24.8380740590401,-0.799685806466538,0.0323658101567373,0.187662777390531,"down",0.935357826377365
"1-[(3,5-dimethylisoxazol-4-yl)sulfonyl]piperidine","Com_1790_pos","1-[(3,5-dimethylisoxazol-4-yl)sulfonyl]piperidine","C10 H16 N2 O3 S",244.08848,5.737,245.09576,"Full match","No results","Full match",NA,NA,NA,NA,4791950.041,3423799.259,3597693.062,12678595.75,8723759.072,438576.708799999,21.7982932659085,21.8926629335526,-0.0943696676441341,0.95468281053429,0.543419387971373,"stable",0.0498312003353695
"CAR 14:1","Com_1804_pos","CAR 14:1","C21 H40 N O4",369.28834,7.307,370.29562,"No results","Invalid mass","No results",NA,NA,NA,NA,22539802.8,15940146.88,16341270.92,10610898.52,9492956.83000001,13042023.3,23.3847113165917,24.1047166668828,-0.72000535029111,0.0822246947853029,0.208168909510175,"stable",1.40914455786247
"NAD+","Com_1825_pos","NAD+","C21 H27 N7 O14 P2",663.10975,2.851,332.56215,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",308843457.6,323073038.9,343298255.9,305840796.2,267205691.5,304596824.9,28.1213022597847,28.2748243115094,-0.153522051724696,0.179400517130532,0.266743616906706,"stable",1.14540683160963
"N,N-Dimethyldecylamine N-oxide","Com_1838_pos","N,N-Dimethyldecylamine N-oxide","C12 H27 N O",201.20948,6.449,202.21676,"Full match","No results","No results","Organic nitrogen compounds","Organonitrogen compounds","Aminoxides","Long-chain alkyl amine oxides",2911411.295,3763578.831,4095649.836,2958125.681,4940300.91900001,7797499.41199999,22.2089998388173,21.7608739788605,0.448125859956818,0.230515404153339,0.297572096055133,"stable",0.753257720756865
"2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrole-3-carboxamide","Com_1840_pos","2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrole-3-carboxamide","C9 H16 N2 O",168.12653,5.557,169.13382,"Full match","No results","No results",NA,NA,NA,NA,12097141.15,11107943.47,17293791.51,11458996.81,13263505.83,10934193.84,23.4977599193287,23.6590006927472,-0.161240773418587,0.608565985551409,0.439465238227501,"stable",0.577532417876301
"WMH","Com_1884_pos","WMH","C22 H28 N6 O4 S",450.21102,5.775,473.20032,"Invalid mass","No results","No results",NA,NA,NA,NA,11349223.61,1077127.58,2993519.087,3599098.069,9872161.59300001,5621016.593,22.47884606828,21.6627530062888,0.816093061991243,0.619316388833916,0.442302076909938,"stable",0.581028147513754
"1-Phenyl-3-methyl-5-pyrazolone","Com_1915_pos","1-Phenyl-3-methyl-5-pyrazolone","C10 H10 N2 O",174.07956,5.261,175.08684,"Full match","No results","No results",NA,NA,NA,NA,765712.780500001,1057418.372,1133747.951,2588192.881,1488650.481,1749978.078,20.8493309193046,19.8904090639983,0.958921855306365,0.139206171881647,0.240208553163282,"stable",1.38984002722547
"Decanoylcarnitine","Com_1990_pos","Decanoylcarnitine","C17 H33 N O4",315.24184,6.555,316.24911,"Full match","Invalid mass","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",3606001.941,6946060.97499999,7016361.261,6798621.122,1476634.939,3704592.454,21.6705253064554,22.4173413294262,-0.746816022970819,0.499376792673812,0.409592740058087,"stable",0.75495100552678
"D-Erythrose 4-phosphate","Com_1999_pos","D-Erythrose 4-phosphate","C4 H9 O7 P",200.00921,1.275,201.01646,"No results","No results","Full match",NA,NA,NA,NA,32830621.97,34165614.64,33699775.76,37695375.99,29761873.51,28547701.2,24.9205724930342,25.0002720490737,-0.0796995560395466,0.62659063891137,0.44441099805488,"stable",0.491688162933013
"PC O-18:1","Com_2020_pos","PC O-18:1","C26 H52 N O7 P",521.34891,9.518,522.35619,"No results","Full match","Full match",NA,NA,NA,NA,21940483.07,18470540.84,12872891.53,8912387.98200001,14385664.66,18934698.29,23.6800127496679,24.047882514753,-0.367869765085032,0.563335724395535,0.42680350221612,"stable",0.695218320346785
"3-hydroxy-1,5-diphenylpentan-1-one","Com_2036_pos","3-hydroxy-1,5-diphenylpentan-1-one","C17 H18 O2",276.11298,7.319,277.12026,"Invalid mass","No results","No results",NA,NA,NA,NA,12699321.85,10491639.05,12464589.28,10306172.83,11043159.99,12451041.91,23.4211394045671,23.4974389587341,-0.0762995541670648,0.573944463344594,0.429883796955479,"stable",0.49971707632258
"5,6-Dihydroxyindole-2-Carboxylic Acid","Com_2056_pos","5,6-Dihydroxyindole-2-Carboxylic Acid","C9 H7 N O4",193.03778,2.482,194.04505,"No results","No results","Full match",NA,NA,NA,NA,1934538.715,1799268.182,1801237.74,2140232.971,2153579.049,2358934.793,21.0791151247514,20.8143647190052,0.264750405746163,0.063842354470538,0.195794970196465,"stable",1.49739191389531
