"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Creatine phosphate","Com_655_pos","Creatine phosphate","C4 H10 N3 O5 P",211.03605,1.4,212.04333,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",547656744.699999,655738066.700001,616970589.9,495196131.1,446019577.2,28.8079782985828,29.172622527496,-0.364644228913264,0.0501676170000261,0.162514803033634,"stable",1.364566009099
"1,2-dihydroxyheptadec-16-yn-4-yl acetate","Com_672_pos","1,2-dihydroxyheptadec-16-yn-4-yl acetate","C19 H34 O4",343.27268,7.12,344.27995,"Invalid mass","Invalid mass","No results",NA,NA,NA,NA,34579084.86,37457549.16,47042570.11,69166469.4599999,63132277.97,25.9777219768665,25.2298710235107,0.74785095335578,0.0182475199531768,0.119771741476037,"up",1.43231133705974
"PC 17:1_17:1","Com_699_pos","PC 17:1_17:1","C42 H80 N O8 P",757.56322,8.566,758.5705,"No results","Full match","No results",NA,NA,NA,NA,799712514.6,779979677.5,810315150.7,855274444.899999,788753809.499999,29.6134060099766,29.5692251306795,0.0441808792970981,0.58514438845355,0.38383303254792,"stable",0.724267742092756
"Palmitoylcarnitine","Com_702_pos","Palmitoylcarnitine","C23 H45 N O4",399.33539,8.379,400.34266,"Full match","Not the top hit","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",47509613.55,40303412.95,29375062.18,54870634.58,66925056.4600001,25.8527870200462,25.1914011277492,0.661385892297005,0.0765157655361469,0.182652501240045,"stable",1.24433497930579
"3-amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol","Com_719_pos","3-amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol","C12 H10 N4 O2",242.08077,5.923,243.08807,"Full match","No results","No results",NA,NA,NA,NA,43056591.49,35866935.44,39395200.53,39559758.6,37100906.27,25.191240689609,25.2291328231949,-0.0378921335859204,0.699684609992414,0.419105509917944,"stable",0.318709824872941
"PE O-16:1_22:5","Com_726_pos","PE O-16:1_22:5","C43 H76 N O7 P",749.53606,10.855,750.54338,"No results","Full match","No results",NA,NA,NA,NA,116948942.2,114600626.8,120735694,133843016.6,114797932.6,26.8852440228563,26.8068734262219,0.0783705966344179,0.606595195543087,0.389722365774622,"stable",0.713684798688563
"Phosphoethanolamine","Com_742_pos","Phosphoethanolamine","C2 H8 N O4 P",141.01934,1.338,142.02664,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",92827135.02,107939162.7,103945269.8,121673374.8,107686651.5,26.7703512258842,26.5949784278491,0.175372798035134,0.245808267993804,0.275451852185052,"stable",1.06571742553877
"2-(tert-butyl)-1,3-thiazolane-4-carboxylic acid","Com_803_pos","2-(tert-butyl)-1,3-thiazolane-4-carboxylic acid","C8 H15 N O2 S",189.08277,5.553,190.09004,"Full match","No results","No results",NA,NA,NA,NA,841296.946300001,799267.052300001,2173472.946,2006157.156,3103423.668,21.2507162134632,20.1140481276546,1.13666808580857,0.137967402028217,0.222907283959036,"stable",1.10159065244185
"D-Alanyl-D-alanine","Com_813_pos","D-Alanyl-D-alanine","C6 H12 N2 O3",160.08507,1.496,161.09233,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",60137291.27,71659802.76,44399799.38,35511149.25,41468446.85,25.1936396967309,25.7801557033035,-0.586516006572516,0.0881015580233562,0.191296634949687,"stable",1.20592715119679
"PS 16:0_16:1","Com_814_pos","PS 16:0_16:1","C38 H72 N O10 P",733.49002,10.191,734.49733,"No results","Full match","No results",NA,NA,NA,NA,57941947.16,56023347.4999999,65020952.3999999,15949878.37,9783499.566,23.5744806333193,25.8273436794157,-2.25286304609639,0.0897655068657197,0.19247086524866,"stable",1.51630196968534
"Benzamidine","Com_822_pos","Benzamidine","C7 H8 N2",120.0692,4.926,279.10156,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",8014351.998,7090450.48000001,10010081.33,19234219,35540800.76,24.6400723828611,22.9821835546732,1.65788882818788,0.137898788373408,0.222862246623678,"stable",1.4407138703106
"Normorphine","Com_824_pos","Normorphine","C16 H17 N O3",271.12456,5.725,272.13183,"Invalid mass","No results","No results","Alkaloids and derivatives","Morphinans","Not available","Morphinans",8025451.917,6196902.772,10056136.7,8958080.046,9516859.05500001,23.1384061005829,22.9202799785684,0.218126122014521,0.393506272055932,0.33302216805146,"stable",0.670416103355371
"2-Linoleoyl glycerol","Com_829_pos","2-Linoleoyl glycerol","C21 H38 O4",314.28231,10.402,337.27153,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",31885757.34,24312543.86,22343179.42,23360930.31,15019131.67,24.1589462313292,24.6249791627971,-0.4660329314679,0.355169770838332,0.320181289826117,"stable",1.01532831466872
"Dihydrothymine","Com_830_pos","Dihydrothymine","C5 H8 N2 O2",128.05872,1.419,129.06599,"Full match","No results","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydropyrimidines",42742948.84,29861322.22,38384670.71,21140778.49,34757438.75,24.6921718034977,25.1249949183259,-0.432823114828238,0.424189090307085,0.342219520505204,"stable",0.93105809056516
"2-methyl-2,3,4,5-tetrahydro-1,5-benzoxazepin-4-one","Com_839_pos","2-methyl-2,3,4,5-tetrahydro-1,5-benzoxazepin-4-one","C10 H11 N O2",159.06867,5.264,160.07593,"Invalid mass","No results","No results",NA,NA,NA,NA,14460115.17,13674259.76,13858315.8,16957787,19141394.71,24.1028185958475,23.7382612365335,0.364557359314066,0.128641148587174,0.216531487505067,"stable",1.46598055319525
"D-(+)-Camphor","Com_850_pos","D-(+)-Camphor","C10 H16 O",152.12036,6.017,153.12765,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Bicyclic monoterpenoids",44103534.81,67820766.4200001,54367155.16,46264397.19,65355681.4299999,25.7126041889269,25.701948903017,0.0106552859099409,0.975420806453348,0.50144821093686,"stable",0.0321286982415402
"Guanidineacetic acid","Com_869_pos","Guanidineacetic acid","C3 H7 N3 O2",117.05403,1.354,118.06131,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",42216181.94,43522329.87,32115804.1,57492027.7400001,72786972.3399999,25.947017749446,25.214441769131,0.732575980314923,0.0663950135124719,0.176305345323674,"stable",1.37489643784672
"Oxymatrine","Com_903_pos","Oxymatrine","C15 H24 N2 O2",264.18184,6.086,265.18912,"Invalid mass","No results","No results","Alkaloids and derivatives","Lupin alkaloids","Matrine alkaloids","Matrine alkaloids",2708183.109,3785089.575,3002247.426,1744503.694,6889479.427,21.7251743836442,21.5794671057705,0.145707277873697,0.907248642762739,0.483341277075795,"stable",0.170274521772636
"3-hydroxyquinuclidine-3-carbonitrile hydrochloride","Com_910_pos","3-hydroxyquinuclidine-3-carbonitrile hydrochloride","C8 H12 N2 O",152.09296,1.261,153.10024,"Invalid mass","No results","No results",NA,NA,NA,NA,95824910.7000001,77403853.4599999,81530427.63,87359981.1399999,87526948.4,26.3818465727245,26.3335449047543,0.0483016679702146,0.654404962909847,0.40438703299754,"stable",0.351632165990261
"Epigallocatechin","Com_929_pos","Epigallocatechin","C15 H14 O7",306.07619,4.61,307.08347,"No results","Invalid mass","No results","Phenylpropanoids and polyketides","Flavonoids","Flavans","Epigallocatechins",166619219.6,206927756.5,216860550.7,172772636.2,173538348.7,27.3674893827894,27.5429079712677,-0.175418588478259,0.27280622935617,0.286672723518529,"stable",0.862625377730009
"2'-Deoxycytidine","Com_948_pos","2'-Deoxycytidine","C9 H13 N3 O4",227.09081,1.916,228.09806,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",1268069.025,1204779.41,1174232.016,1142813.183,1166436.959,20.1389175301417,20.2126085011442,-0.0736909710024456,0.142443667877924,0.225789069901949,"stable",1.08379033584336
"Arachidonoyl amide","Com_964_pos","Arachidonoyl amide","C20 H33 N O",303.25422,9.941,304.26149,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","Fatty amides",162739414.1,110899288,93203684.5099999,84947341.9699999,90118806.85,26.3826951734634,26.8255156585396,-0.44282048507624,0.200370291276337,0.257711662180638,"stable",0.989436729589707
"(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine","Com_981_pos","(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine","C11 H22 N2 O2",214.1686,5.442,215.17587,"No results","No results","Full match","Organic nitrogen compounds","Organonitrogen compounds","Cyclohexylamines","Cyclohexylamines",1011810.465,2889555.724,957340.872500001,934068.2144,883656.572300001,19.7931473228608,20.4265323585885,-0.633385035727706,0.346156110722449,0.316915163615697,"stable",0.742609584007392
"2-(4-chlorophenyl)-4-(4-nitrophenyl)-1,3-thiazole","Com_989_pos","2-(4-chlorophenyl)-4-(4-nitrophenyl)-1,3-thiazole","C15 H9 Cl N2 O2 S",316.00878,1.298,317.01603,"Full match","No results","No results",NA,NA,NA,NA,578666.172,499804.2814,529722.1117,510572.5109,552288.9606,19.0184100524096,19.0294172409292,-0.0110071885196419,0.904111791279018,0.482476405408834,"stable",0.109337131162199
"3-hydroxy-2-octylpentanedioic acid","Com_1006_pos","3-hydroxy-2-octylpentanedioic acid","C13 H24 O5",242.15215,6.718,243.15969,"Invalid mass","No results","No results",NA,NA,NA,NA,1118354.487,889800.3401,995512.5031,929946.238899999,907747.997100001,19.8093600528458,19.9270493860662,-0.117689333220376,0.34152566386207,0.315197436909302,"stable",0.746677704395849
"PE O-16:1_22:6","Com_1010_pos","PE O-16:1_22:6","C43 H74 N O7 P",747.52081,9.092,748.5281,"No results","Full match","No results",NA,NA,NA,NA,209049049.4,199542177.4,208254155.4,272131458.5,233212490.5,27.9083991598208,27.6150515884817,0.29334757133908,0.220486645365612,0.266172638173646,"stable",1.37707540889348
"NADH","Com_1032_pos","NADH","C21 H29 N7 O14 P2",665.12533,2.789,333.56994,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",139581738.8,160539470.2,156989863,223189640.9,176269095.1,27.5634495689423,27.1803279779092,0.383121591033085,0.236362886795778,0.272150529863384,"stable",1.28169524891466
"PC O-16:0","Com_1065_pos","PC O-16:0","C24 H50 N O7 P",495.33312,9.312,496.34036,"No results","Full match","Full match",NA,NA,NA,NA,16584342.13,14543673.77,8688627.13000001,8451730.222,9173222.95800001,23.0699062806771,23.6093012213102,-0.539394940633048,0.19472465470683,0.255134444266711,"stable",0.9980487138948
"Prolylleucine","Com_1066_pos","Prolylleucine","C11 H20 N2 O3",228.14769,2.05,229.15497,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",122340448.1,136855948.4,145606588.6,124215566.6,133973705.4,26.9428226878757,27.0039698410108,-0.0611471531351029,0.552014476725277,0.374989967602132,"stable",0.5015421010134
"(S)-10-Hydroxycamptothecin","Com_1070_pos","(S)-10-Hydroxycamptothecin","C20 H16 N2 O5",364.10562,2.249,365.11288,"Full match","No results","No results","Alkaloids and derivatives","Camptothecins","Not available","Camptothecins",2878470.407,16624313.21,1568759.008,2694209.71,3011311.404,21.4416955981132,22.0082848890027,-0.566589290889478,0.635109065710623,0.398391134552256,"stable",0.37297802485319
"1-adamantyl piperidino sulfoxide","Com_1083_pos","1-adamantyl piperidino sulfoxide","C15 H25 N O S",267.16598,6.194,268.17327,"Full match","No results","No results",NA,NA,NA,NA,2133710.88,4528148.519,3597702.608,1137091.204,2789590.715,20.7642692903732,21.6380225415634,-0.873753251190145,0.382700712608546,0.32956475675294,"stable",0.963071851159716
"7-Ketocholesterol","Com_1094_pos","7-Ketocholesterol","C27 H44 O2",400.33463,10.101,401.34191,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives",1602925.005,1439039.818,597865.3256,1860244.903,1944161.11,20.8588887413671,20.0861371982765,0.772751543090639,0.228028207939162,0.269082881372138,"stable",0.942833893355299
"Estrone","Com_1100_pos","Estrone","C18 H22 O2",287.19216,8.266,288.19944,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",44165248.85,38367515.97,44422225.49,29307434.92,46204244.86,25.1331427166054,25.3315228893956,-0.198380172790241,0.653430510500369,0.404088518330931,"stable",0.623839476860921
"Cytidine 5'-monophosphate (hydrate)","Com_1142_pos","Cytidine 5'-monophosphate (hydrate)","C9 H14 N3 O8 P",345.03426,1.367,346.04149,"Invalid mass","No results","No results","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",15613252.49,71873531.64,16617060.11,79381037.4299999,19502932.53,25.2297394072361,24.6604622793678,0.569277127868343,0.691562272519527,0.416272270471781,"stable",0.410404947575783
"2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid","Com_1143_pos","2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid","C10 H18 O4",224.10269,6.2,225.10996,"Invalid mass","No results","No results",NA,NA,NA,NA,37243308.38,36467689.23,38025091.04,16095435.48,37789834.13,24.5558215628597,25.1503472388326,-0.594525675972879,0.511045222760083,0.364140300188517,"stable",0.927709310466773
"7-methyl-3-nitroimidazo[1,2-a]pyridine","Com_1170_pos","7-methyl-3-nitroimidazo[1,2-a]pyridine","C8 H7 N3 O2",199.0338,1.269,200.04107,"Invalid mass","No results","No results",NA,NA,NA,NA,6811266.545,6669768.63800001,7099502.25399999,10239820.08,11787475.94,23.3892192605414,22.709327798951,0.679891461590412,0.0776521401631496,0.183285982419828,"stable",1.51647810058323
"Norfenefrine","Com_1173_pos","Norfenefrine","C8 H11 N O2",153.07693,1.245,154.08422,"Invalid mass","No results","No results","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids",74267347.1499999,57223256.09,62080345.23,65943569.43,65666021.95,25.9716861839546,25.9346520701121,0.0370341138424557,0.770608104936007,0.442777764134145,"stable",0.228528215820706
"4-Guanidinobutyric acid","Com_1176_pos","4-Guanidinobutyric acid","C5 H11 N3 O2",145.08532,1.818,146.0926,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",37852641.44,38784356.22,43778955.25,50524299.36,55309585.0499999,25.6557501286483,25.2555321171779,0.4002180114704,0.0287078226209388,0.136460715315475,"up",1.42946659684482
"3-(4-pyridylmethylidene)chroman-4-one","Com_1218_pos","3-(4-pyridylmethylidene)chroman-4-one","C15 H11 N O2",237.0826,5.931,238.08987,"Invalid mass","No results","No results",NA,NA,NA,NA,14430198.04,13100917.83,18241096.16,12589132.64,18496782.89,23.8632232920863,23.848813802744,0.0144094893422206,0.968399810186789,0.499642228749625,"stable",0.0466644870538036
"N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide","Com_1243_pos","N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide","C13 H13 Cl N4 O",276.07664,6.359,277.08392,"Full match","No results","No results",NA,NA,NA,NA,10049545.9,8564380.62000001,9026421.008,12421922.58,8722096.47699999,23.3113143316459,23.1320890331924,0.179225298453517,0.608288831977415,0.390177055625042,"stable",0.686821550432038
"Nonadecanoic acid","Com_1265_pos","Nonadecanoic acid","C19 H38 O2",298.28786,7.464,316.32169,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",67678197.4000001,4687809.079,35489531.33,36201715.16,37746555.65,25.1396981922853,24.4178534591133,0.72184473317202,0.597362428603039,0.387217456017867,"stable",0.415439609837982
"N1-prop-2-ynyl-2,5-di(2,2,2-trifluoroethoxy)benzene-1-sulfonamide","Com_1281_pos","N1-prop-2-ynyl-2,5-di(2,2,2-trifluoroethoxy)benzene-1-sulfonamide","C13 H11 F6 N O4 S",391.02725,1.579,392.03452,"Invalid mass","No results","No results",NA,NA,NA,NA,27333997.07,16444989.14,25352517.16,26774292.04,36264240.92,24.8931947036643,24.4236544946741,0.469540208990228,0.242632590671272,0.274361794685382,"stable",0.971561608856835
"2-Phenylacetamide","Com_1316_pos","2-Phenylacetamide","C8 H9 N O",135.06633,1.227,153.10016,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetamides","Phenylacetamides",95824910.7000001,77403853.4599999,81530427.63,87359981.1399999,90002993.8599999,26.4019694326374,26.3335449047543,0.0684245278831312,0.540705851016593,0.372040463399928,"stable",0.481840138551191
"Ciprostene","Com_1319_pos","Ciprostene","C22 H36 O4",381.28839,7.506,382.29561,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",7591735.011,11908736.66,6904958.47700001,5330371.981,7138436.32799999,22.5564907204506,23.0269055168647,-0.470414796414076,0.243002081093192,0.274489639458837,"stable",0.949763517560686
"PC O-16:1","Com_1360_pos","PC O-16:1","C24 H48 N O7 P",493.31749,8.741,494.3247,"No results","Full match","Full match",NA,NA,NA,NA,5462080.31300001,8885013.98399999,5379686.02000001,2888626.408,7163313.603,22.1170739355671,22.6076840853066,-0.490610149739531,0.5880007651456,0.384631484058261,"stable",0.683316573657062
"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol","Com_1364_pos","7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol","C15 H28 O2",257.23586,8.427,258.24315,"Invalid mass","No results","No results",NA,NA,NA,NA,12344433.23,14580112.88,7745718.548,8122487.722,8055332.04100001,22.9475014272519,23.4132744887674,-0.465773061515513,0.230172288110588,0.269886511091857,"stable",0.939982730813597
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid","Com_1397_pos","(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid","C11 H20 O4",216.13648,6.405,234.17036,"Full match","No results","Full match",NA,NA,NA,NA,5640190.645,4704049.845,4494384.61,4644397.419,4494671.691,22.1234221531037,22.230825524306,-0.107403371202313,0.396609028359278,0.333993001509931,"stable",0.665763476470262
"FNH","Com_1403_pos","FNH","C19 H24 N6 O5",208.08842,2.347,209.0957,"Invalid mass","No results","No results",NA,NA,NA,NA,1896513.395,12135571.24,1905805.165,1573363.134,1734093.104,20.6555850914376,21.7498753402751,-1.09429024883751,0.344348790992093,0.316247994341015,"stable",0.745337442240049
"UDP","Com_1404_pos","UDP","C9 H14 N2 O12 P2",404.0026,1.999,405.00988,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",170702292.2,164934808.2,166788002.4,170165123.1,169665477,27.3402389658175,27.3192227078609,0.0210162579566635,0.285738560476937,0.292165137466387,"stable",0.836797580017193
"N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea","Com_1422_pos","N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea","C23 H32 N4 O",380.25449,7.487,381.26176,"Invalid mass","No results","No results",NA,NA,NA,NA,664590.3675,2188592.691,685997.1944,1022934.592,696003.081399999,19.6865083184856,19.9305070210938,-0.243998702608188,0.726531449921916,0.428299057551565,"stable",0.282831671755871
"Octopine","Com_1474_pos","Octopine","C9 H18 N4 O4",246.13314,1.994,247.14042,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",4318564.705,4808474.268,5374400.407,9489340.60100001,11414334.25,23.3111098947029,22.1989802073706,1.11212968733231,0.0220597732988837,0.125070132798067,"up",1.50732751843367
"GNH","Com_1483_pos","GNH","C12 H18 N6 O5",163.06688,5.016,164.07416,"Invalid mass","No results","No match",NA,NA,NA,NA,2143596.613,9651879.426,1357338.625,952634.426199999,936666.7353,19.8493697323998,21.5354432426164,-1.68607351021655,0.187315512112087,0.251602236927992,"stable",1.02528322637393
"Noroxycodone-d3","Com_1495_pos","Noroxycodone-d3","C17 H16 [2]H3 N O4",304.15013,5.261,305.15741,"Full match","No results","No results",NA,NA,NA,NA,15516804.54,22314977.38,23372101.28,21858993.25,22358343.9,24.3980168079921,24.2590404230083,0.138976384983895,0.534900594954148,0.370496622434806,"stable",0.488669640085761
"4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one","Com_1544_pos","4-chloro-5-morpholino-2-quinoxalin-2-ylpyridazin-3(2H)-one","C16 H14 Cl N5 O2",343.0842,2.054,344.09148,"Full match","No results","No results",NA,NA,NA,NA,4391582.637,4754893.457,6199234.14,12471845.56,11742454.49,23.5287011494198,22.2703165562472,1.2583845931726,0.00968598119752071,0.10561628766435,"up",1.4961173239234
"5-OxoETE","Com_1549_pos","5-OxoETE","C20 H30 O3",318.21754,8.119,319.22482,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",12511770.17,13051413.55,15501177.68,1815012.216,16311419.89,22.3754634321631,23.7001199347268,-1.32465650256362,0.556353441402924,0.37610182954053,"stable",0.839591942682523
"PC O-32:2","Com_1571_pos","PC O-32:2","C40 H78 N O7 P",715.55175,10.402,716.5589,"No results","Full match","No results",NA,NA,NA,NA,57075005.18,91808870.3399999,84081579.24,114942510.5,87051298.14,26.5758498501863,26.1812574648395,0.39459238534679,0.275430915649351,0.287811924646932,"stable",0.917309299248723
"5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one","Com_1597_pos","5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one","C13 H13 N O3",231.08758,5.613,232.09485,"Invalid mass","No results","No results",NA,NA,NA,NA,21129200.9,24581332.07,21790832.71,21898169.89,12132959.75,23.9583675803363,24.4203375416336,-0.461969961297257,0.471357689569646,0.354795042554299,"stable",0.976278915981809
"4-(Diethylamino)benzaldehyde","Com_1611_pos","4-(Diethylamino)benzaldehyde","C11 H15 N O",177.11557,6.481,178.12287,"Full match","No results","No results",NA,NA,NA,NA,6805732.017,7726886.18,6537607.20100001,6997777.62099999,10687022.23,23.0439109884949,22.7400352992205,0.303875689274406,0.496747979227019,0.36089090621352,"stable",0.899445393303184
"SM 8:0;2O/26:0","Com_1627_pos","SM 8:0;2O/26:0","C39 H81 N2 O6 P",704.58393,8.862,705.59121,"No results","Full match","No results",NA,NA,NA,NA,125132669.1,125718351.6,129537055.4,319538018.1,270481750.2,28.1311841828087,26.9177642947353,1.21341988807341,0.0590223065234125,0.170703327696497,"stable",1.53687922073694
"L-Alanyl-L-proline","Com_1628_pos","L-Alanyl-L-proline","C8 H14 N2 O3",186.10083,1.408,187.10811,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",845061.211000001,811956.2162,869959.916200001,825185.081299999,824084.155800001,19.6533951805286,19.68344271063,-0.0300475301013066,0.407095552500193,0.337204473321004,"stable",0.654238207700695
"N-acetyl-D-glucosamine","Com_1662_pos","N-acetyl-D-glucosamine","C8 H15 N O6",221.09023,1.476,222.09745,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars",966670.840299999,1298129.822,1670396.223,1307837.378,1286497.381,20.3068844099806,20.2874757871184,0.0194086228622581,0.939965882645982,0.492192500966899,"stable",0.0589335340263601
"D-(+)-Maltose","Com_1673_pos","D-(+)-Maltose","C12 H22 O11",364.09863,1.395,365.1059,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","O-glycosyl compounds",24439419.02,30677259.07,827371.149899999,1024844.367,16662259.03,21.978527041608,23.0238493440912,-1.04532230248328,0.724064209470847,0.427466325631421,"stable",0.345123481111908
"PC O-30:0","Com_1675_pos","PC O-30:0","C38 H78 N O7 P",691.55216,10.295,692.55944,"No results","Full match","No results",NA,NA,NA,NA,90325282.3299999,82355726.87,77876596.02,83152366.5499999,73765615.2999999,26.2228495676052,26.3128928843189,-0.0900433167137109,0.485698791758351,0.358291105912884,"stable",0.697801732535716
"2-morpholino-1-phenyl-1-ethanol","Com_1687_pos","2-morpholino-1-phenyl-1-ethanol","C12 H17 N O2",189.11896,6.911,190.12624,"Invalid mass","No results","No results",NA,NA,NA,NA,379939.0684,2263879.376,351095.4193,340112.4948,341580.9359,18.3787602074847,19.3557592838654,-0.976999076380711,0.381597937814159,0.329205065707285,"stable",0.690624053938114
"tetranor-12(R)-HETE","Com_1693_pos","tetranor-12(R)-HETE","C16 H26 O3",283.21506,7.145,306.20432,"Invalid mass","No results","No results",NA,NA,NA,NA,15187093.16,18241208.82,14681346.76,11538601.26,12622649.12,23.524738198351,23.9281738029624,-0.40343560461146,0.0410810398636449,0.153199339871722,"down",1.34216505750716
"Nitrosonornicotine","Com_1695_pos","Nitrosonornicotine","C9 H11 N3 O",177.0923,6.234,178.09958,"Invalid mass","No results","No results","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines",14357768.38,14119015.63,13292126.22,14032679.54,13071608.3,23.6911102520765,23.7301776426527,-0.0390673905761751,0.592786461546529,0.385959313077615,"stable",0.562288515594116
"Nicotinic acid","Com_1723_pos","Nicotinic acid","C6 H5 N O2",123.02996,1.238,124.03726,"Invalid mass","No results","No results","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","Pyridinecarboxylic acids",48932752.4,39111143.59,42532519.22,46515961.29,47298019.91,25.4832494787669,25.3691454855401,0.114103993226859,0.349568753926766,0.318163640933086,"stable",0.736251240344019
"PC O-32:0","Com_1725_pos","PC O-32:0","C40 H82 N O7 P",719.57656,11.277,720.58383,"No results","Invalid mass","No results",NA,NA,NA,NA,123603712,69175493.1800001,127872566.1,98041782.65,69436463.08,26.2980417535593,26.6183453524136,-0.320303598854331,0.463816496262098,0.352898895822042,"stable",0.63078915470337
"Theobromine","Com_1728_pos","Theobromine","C7 H8 N4 O2",180.06368,1.512,181.07105,"Invalid mass","No match","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",93621055.5100001,95015753.3499999,156008396.1,82462480.15,90288649.1,26.3626379037252,26.733013840219,-0.370375936493847,0.263013749186225,0.28230693493424,"stable",0.868090250432546
"4-(2-chloro-6-fluorobenzyl)-3,5-dimethyl-4-prop-2-ynyl-4H-pyrazole","Com_1736_pos","4-(2-chloro-6-fluorobenzyl)-3,5-dimethyl-4-prop-2-ynyl-4H-pyrazole","C15 H14 Cl F N2",276.08269,1.486,277.08997,"Full match","No results","No results",NA,NA,NA,NA,770051.895199999,791945.234200001,773678.8806,772212.5036,759061.656,19.5462479694787,19.5703375523864,-0.0240895829076635,0.27450262831705,0.287410476529797,"stable",0.928238365268314
